Competition,Team 1,Team 2,Result,Round,Year,Date
Serie B,Oeste / SP,Avaí / SC,1 x 1,1,2013
Serie B,Boa / MG,Chapecoense / SC,1 x 4,1,2013,24/05/2013
Serie B,Figueirense / SC,América / RN,3 x 2,1,2013,25/05/2013
Serie B,Joinville / SC,Bragantino / SP,3 x 0,1,2013,25/05/2013
Serie B,Icasa / CE,Sport / PE,2 x 1,1,2013,25/05/2013
Serie B, X Paraná / PR,Paraná / PR,0 x 2,1,2013,25/05/2013
Serie B,Palmeiras / SP,Atlético / GO,1 x 0,1,2013,25/05/2013
Serie B,São Caetano / SP,Ceará / CE,0 x 0,1,2013,24/05/2013
Serie B,Guaratinguetá / SP,América / MG,1 x 0,1,2013,25/05/2013
Serie B, X Palmeiras / SP,Palmeiras / SP,0 x 3,2,2013,28/05/2013
Serie B,América / MG,Figueirense / SC,2 x 4,2,2013,28/05/2013
Serie B,Avaí / SC,Guaratinguetá / SP,2 x 1,2,2013,28/05/2013
Serie B,Chapecoense / SC,Oeste / SP,1 x 1,2,2013,28/05/2013
Serie B,Ceará / CE,Paysandu / PA,1 x 0,2,2013,28/05/2013
Serie B,Paraná / PR,São Caetano / SP,0 x 0,2,2013,28/05/2013
Serie B,Atlético / GO,Joinville / SC,2 x 1,2,2013
Serie B,Bragantino / SP,Boa / MG,0 x 1,2,2013,28/05/2013
Serie B,Oeste / SP,Paraná / PR,1 x 0,3,2013,31/05/2013
Serie B,Boa / MG,Atlético / GO,0 x 0,3,2013
Serie B,Figueirense / SC,Sport / PE,3 x 2,3,2013
Serie B,Icasa / CE,Avaí / SC,3 x 4,3,2013,31/05/2013
Serie B,Palmeiras / SP,América / MG,0 x 1,3,2013,01/06/2013
Serie B,São Caetano / SP,Chapecoense / SC,0 x 1,3,2013
Serie B,Bragantino / SP,Guaratinguetá / SP,2 x 0,3,2013,01/06/2013
Serie B,Paysandu / PA,América / RN,1 x 1,3,2013,31/05/2013
Serie B,Oeste / SP,Ceará / CE,2 x 1,4,2013,04/06/2013
Serie B,Figueirense / SC,Chapecoense / SC,0 x 2,4,2013,04/06/2013
Serie B,Joinville / SC,América / RN,3 x 1,4,2013,04/06/2013
Serie B,Icasa / CE,América / MG,1 x 2,4,2013,04/06/2013
Serie B, X Bragantino / SP,Bragantino / SP,1 x 1,4,2013,04/06/2013
Serie B,Palmeiras / SP,Avaí / SC,2 x 1,4,2013,04/06/2013
Serie B,São Caetano / SP,Atlético / GO,4 x 2,4,2013,04/06/2013
Serie B,Guaratinguetá / SP,Sport / PE,1 x 4,4,2013,04/06/2013
Serie B,Paysandu / PA,Paraná / PR,2 x 0,4,2013,04/06/2013
Serie B, X Icasa / CE,Icasa / CE,3 x 1,5,2013,07/06/2013
Serie B,América / MG,Oeste / SP,4 x 3,5,2013,07/06/2013
Serie B,Avaí / SC,Joinville / SC,0 x 2,5,2013,07/06/2013
Serie B,Ceará / CE,Boa / MG,2 x 2,5,2013,08/06/2013
Serie B,América / RN,Guaratinguetá / SP,2 x 2,5,2013
Serie B,Paraná / PR,Figueirense / SC,1 x 0,5,2013
Serie B,Atlético / GO,Paysandu / PA,1 x 0,5,2013,07/06/2013
Serie B,Bragantino / SP,São Caetano / SP,1 x 0,5,2013,08/06/2013
Serie B,Sport / PE,Palmeiras / SP,1 x 0,5,2013,08/06/2013
Serie B,Oeste / SP,São Caetano / SP,0 x 3,6,2013,11/06/2013
Serie B,Avaí / SC,América / MG,1 x 2,6,2013
Serie B,Chapecoense / SC,Paysandu / PA,3 x 2,6,2013,11/06/2013
Serie B,Ceará / CE,Figueirense / SC,1 x 1,6,2013,11/06/2013
Serie B,América / RN,Palmeiras / SP,0 x 2,6,2013,11/06/2013
Serie B,Atlético / GO,Icasa / CE,0 x 3,6,2013,11/06/2013
Serie B,Guaratinguetá / SP,Joinville / SC,1 x 3,6,2013,11/06/2013
Serie B,Sport / PE,Bragantino / SP,0 x 2,6,2013,11/06/2013
Serie B,América / MG,Paraná / PR,2 x 2,7,2013,05/07/2013
Serie B,Figueirense / SC,Boa / MG,3 x 0,7,2013
Serie B,Joinville / SC,Sport / PE,2 x 3,7,2013,06/07/2013
Serie B,Icasa / CE,Ceará / CE,1 x 0,7,2013,06/07/2013
Serie B, X Atlético / GO,Atlético / GO,0 x 1,7,2013,06/07/2013
Serie B,Palmeiras / SP,Oeste / SP,4 x 0,7,2013,06/07/2013
Serie B,São Caetano / SP,Avaí / SC,0 x 0,7,2013,06/07/2013
Serie B,Bragantino / SP,América / RN,0 x 1,7,2013,02/07/2013
Serie B,Paysandu / PA,Guaratinguetá / SP,4 x 3,7,2013
Serie B,Oeste / SP,Boa / MG,0 x 0,8,2013,09/07/2013
Serie B,América / MG,Bragantino / SP,2 x 2,8,2013,13/07/2013
Serie B,Avaí / SC,Paraná / PR,2 x 2,8,2013,13/07/2013
Serie B,Joinville / SC,Chapecoense / SC,2 x 2,8,2013,13/07/2013
Serie B,Ceará / CE,Asa / AL,4 x 1,8,2013
Serie B,América / RN,Sport / PE,2 x 4,8,2013,13/07/2013
Serie B,Atlético / GO,Figueirense / SC,2 x 3,8,2013,12/07/2013
Serie B,Guaratinguetá / SP,Icasa / CE,3 x 0,8,2013,13/07/2013
Serie B,Paysandu / PA,São Caetano / SP,2 x 2,8,2013,09/07/2013
Serie B, X Atlético / GO,Atlético / GO,0 x 1,9,2013,20/07/2013
Serie B,Boa / MG,Paysandu / PA,1 x 0,9,2013,20/07/2013
Serie B,Figueirense / SC,Palmeiras / SP,2 x 3,9,2013,20/07/2013
Serie B,Chapecoense / SC,América / MG,2 x 0,9,2013,20/08/2013
Serie B,Icasa / CE,Oeste / SP,0 x 3,9,2013,16/07/2013
Serie B,Paraná / PR,América / RN,4 x 0,9,2013,19/07/2013
Serie B,São Caetano / SP,Guaratinguetá / SP,0 x 1,9,2013,19/07/2013
Serie B,Bragantino / SP,Ceará / CE,2 x 0,9,2013
Serie B,Sport / PE,Avaí / SC,2 x 0,9,2013,16/07/2013
Serie B, X Bragantino / SP,Bragantino / SP,2 x 1,10,2013,23/07/2013
Serie B,Boa / MG,América / MG,1 x 1,10,2013,27/07/2013
Serie B,Figueirense / SC,São Caetano / SP,3 x 1,10,2013,27/07/2013
Serie B,Chapecoense / SC,Avaí / SC,3 x 1,10,2013,27/07/2013
Serie B,Icasa / CE,Joinville / SC,2 x 1,10,2013,23/07/2013
Serie B, X Paysandu / PA,Paysandu / PA,3 x 0,10,2013,27/07/2013
Serie B,Paraná / PR,Ceará / CE,3 x 0,10,2013,27/07/2013
Serie B,Atlético / GO,América / RN,0 x 1,10,2013,26/07/2013
Serie B,Guaratinguetá / SP,Palmeiras / SP,1 x 1,10,2013
Serie B,Sport / PE,Oeste / SP,2 x 0,10,2013,26/07/2013
Serie B,Oeste / SP,Guaratinguetá / SP,1 x 0,11,2013,30/07/2013
Serie B,América / MG,Sport / PE,5 x 0,11,2013,30/07/2013
Serie B,Avaí / SC,Atlético / GO,1 x 0,11,2013,30/07/2013
Serie B,Joinville / SC,Boa / MG,2 x 3,11,2013,30/07/2013
Serie B,Ceará / CE,Chapecoense / SC,3 x 1,11,2013,30/07/2013
Serie B,Palmeiras / SP,Icasa / CE,4 x 0,11,2013,30/07/2013
Serie B,Bragantino / SP,Paraná / PR,0 x 0,11,2013,30/07/2013
Serie B,Paysandu / PA,Figueirense / SC,2 x 1,11,2013,30/07/2013
Serie B,América / MG,Ceará / CE,2 x 2,12,2013,02/08/2013
Serie B,Avaí / SC,Paysandu / PA,2 x 0,12,2013,03/08/2013
Serie B,Joinville / SC,Figueirense / SC,3 x 1,12,2013,03/08/2013
Serie B,Icasa / CE,São Caetano / SP,3 x 2,12,2013,03/08/2013
Serie B,América / RN,Boa / MG,0 x 0,12,2013,02/08/2013
Serie B,Palmeiras / SP,Bragantino / SP,2 x 1,12,2013,02/08/2013
Serie B,Atlético / GO,Paraná / PR,0 x 2,12,2013
Serie B,Sport / PE,Chapecoense / SC,1 x 2,12,2013,03/08/2013
Serie B,Boa / MG,Guaratinguetá / SP,2 x 0,13,2013,06/08/2013
Serie B,Figueirense / SC,Icasa / CE,3 x 0,13,2013,06/08/2013
Serie B,Chapecoense / SC,Atlético / GO,3 x 0,13,2013,06/08/2013
Serie B,Ceará / CE,América / RN,2 x 1,13,2013,06/08/2013
Serie B, X Oeste / SP,Oeste / SP,0 x 0,13,2013,06/08/2013
Serie B,Paraná / PR,Joinville / SC,1 x 1,13,2013,06/08/2013
Serie B,São Caetano / SP,Palmeiras / SP,1 x 2,13,2013,06/08/2013
Serie B,Bragantino / SP,Avaí / SC,1 x 1,13,2013,06/08/2013
Serie B,Paysandu / PA,América / MG,0 x 2,13,2013,06/08/2013
Serie B,Boa / MG,Icasa / CE,1 x 0,14,2013,09/08/2013
Serie B,Figueirense / SC,Avaí / SC,1 x 3,14,2013,10/08/2013
Serie B,Chapecoense / SC,Guaratinguetá / SP,1 x 0,14,2013
Serie B,Ceará / CE,Atlético / GO,0 x 1,14,2013,09/08/2013
Serie B,Palmeiras / SP,Paraná / PR,2 x 1,14,2013,10/08/2013
Serie B,São Caetano / SP,Sport / PE,2 x 1,14,2013,10/08/2013
Serie B,Bragantino / SP,Oeste / SP,2 x 0,14,2013,10/08/2013
Serie B,Paysandu / PA,Joinville / SC,2 x 1,14,2013
Serie B,Oeste / SP,Paysandu / PA,1 x 0,15,2013,13/08/2013
Serie B,América / MG,São Caetano / SP,2 x 1,15,2013,13/08/2013
Serie B,Joinville / SC,Palmeiras / SP,0 x 1,15,2013
Serie B,América / RN,Chapecoense / SC,0 x 1,15,2013,27/08/2013
Serie B,Paraná / PR,Boa / MG,3 x 1,15,2013,13/08/2013
Serie B,Atlético / GO,Bragantino / SP,0 x 1,15,2013,13/08/2013
Serie B,Guaratinguetá / SP,Figueirense / SC,1 x 1,15,2013,14/08/2013
Serie B,Sport / PE,Ceará / CE,2 x 1,15,2013,13/08/2013
Serie B,Oeste / SP,Joinville / SC,0 x 2,16,2013,16/08/2013
Serie B,América / MG,América / RN,1 x 1,16,2013,17/08/2013
Serie B,Avaí / SC,Ceará / CE,1 x 1,16,2013,16/08/2013
Serie B,Chapecoense / SC,Paraná / PR,2 x 2,16,2013,17/08/2013
Serie B,Icasa / CE,Bragantino / SP,4 x 1,16,2013,17/08/2013
Serie B,Palmeiras / SP,Paysandu / PA,3 x 2,16,2013,17/08/2013
Serie B,São Caetano / SP,Boa / MG,0 x 1,16,2013,16/08/2013
Serie B,Sport / PE,Atlético / GO,3 x 2,16,2013,16/08/2013
Serie B,Boa / MG,Palmeiras / SP,1 x 0,17,2013,24/08/2013
Serie B,Figueirense / SC,Oeste / SP,3 x 0,17,2013,24/08/2013
Serie B,Joinville / SC,São Caetano / SP,1 x 0,17,2013,23/08/2013
Serie B,Ceará / CE,Guaratinguetá / SP,2 x 0,17,2013,20/08/2013
Serie B,América / RN,Avaí / SC,2 x 3,17,2013
Serie B,Paraná / PR,Sport / PE,1 x 0,17,2013,24/08/2013
Serie B,Atlético / GO,América / MG,1 x 1,17,2013,24/08/2013
Serie B,Bragantino / SP,Chapecoense / SC,1 x 0,17,2013,24/08/2013
Serie B,Paysandu / PA,Icasa / CE,1 x 2,17,2013,24/08/2013
Serie B, X Figueirense / SC,Figueirense / SC,3 x 1,18,2013,27/08/2013
Serie B,América / MG,Joinville / SC,0 x 2,18,2013,27/08/2013
Serie B,Chapecoense / SC,Icasa / CE,1 x 2,18,2013,31/08/2013
Serie B,Ceará / CE,Palmeiras / SP,2 x 2,18,2013,31/08/2013
Serie B,América / RN,São Caetano / SP,2 x 1,18,2013,31/08/2013
Serie B,Paraná / PR,Guaratinguetá / SP,4 x 0,18,2013
Serie B,Atlético / GO,Oeste / SP,4 x 0,18,2013
Serie B,Bragantino / SP,Paysandu / PA,0 x 0,18,2013,31/08/2013
Serie B,Sport / PE,Boa / MG,2 x 2,18,2013,31/08/2013
Serie B,Oeste / SP,América / RN,4 x 1,19,2013,03/09/2013
Serie B,Boa / MG,Avaí / SC,0 x 0,19,2013,03/09/2013
Serie B,Figueirense / SC,Bragantino / SP,2 x 1,19,2013,03/09/2013
Serie B,Joinville / SC,Ceará / CE,1 x 1,19,2013,03/09/2013
