Competition,Team 1,Team 2,Result,Round,Year,Date
Serie C,Sampaio Correa / MA,Brasiliense / DF,5 x 1,1,2013,02/06/2013
Serie C,Baraúnas / RN,Fortaleza / CE,1 x 4,1,2013
Serie C,Santa Cruz / PE,Luverdense / MT,2 x 0,1,2013,02/06/2013
Serie C,Cuiabá / MT,Treze / PB,4 x 0,1,2013,05/06/2013
Serie C,Mogi Mirim / SP,Duque de Caxias / RJ,3 x 2,1,2013,01/06/2013
Serie C, X Betim / MG,Betim / MG,0 x 0,1,2013,01/06/2013
Serie C,Madureira / RJ,Guarani / SP,0 x 0,1,2013,01/06/2013
Serie C,Vila Nova / GO,Grêmio Barueri / SP,3 x 1,1,2013,02/06/2013
Serie C,Caxias / RS,Macae / RJ,2 x 1,1,2013,04/06/2013
Serie C,Fortaleza / CE,Aguia / PA,2 x 2,2,2013,08/06/2013
Serie C, ALSanta Cruz / PE,Santa Cruz / PE,2 x 1,2,2013
Serie C,Luverdense / MT,Cuiabá / MT,1 x 1,2,2013
Serie C,Treze / PB,Sampaio Correa / MA,1 x 1,2,2013,08/06/2013
Serie C,Brasiliense / DF,Baraúnas / RN,0 x 0,2,2013
Serie C,Betim / MG,Caxias / RS,0 x 1,2,2013,08/06/2013
Serie C,Guarani / SP,Mogi Mirim / SP,1 x 0,2,2013,09/06/2013
Serie C,Macae / RJ,Madureira / RJ,2 x 1,2,2013
Serie C,Duque de Caxias / RJ,Vila Nova / GO,1 x 1,2,2013
Serie C,Baraúnas / RN,Treze / PB,0 x 2,3,2013,10/07/2013
Serie C,Aguia / PA,Sampaio Correa / MA,0 x 2,3,2013
Serie C,Santa Cruz / PE,Cuiabá / MT,1 x 0,3,2013
Serie C,Brasiliense / DF,Luverdense / MT,0 x 1,3,2013,07/07/2013
Serie C,Mogi Mirim / SP,Vila Nova / GO,1 x 0,3,2013,06/07/2013
Serie C,Grêmio Barueri / SP,Betim / MG,1 x 1,3,2013,06/07/2013
Serie C,Macae / RJ,Duque de Caxias / RJ,1 x 0,3,2013,06/07/2013
Serie C,Caxias / RS,Guarani / SP,0 x 0,3,2013,06/07/2013
Serie C,Sampaio Correa / MA,Baraúnas / RN,4 x 1,4,2013,14/07/2013
Serie C, X Brasiliense / DF,Brasiliense / DF,0 x 1,4,2013,14/07/2013
Serie C,Luverdense / MT,Treze / PB,4 x 0,4,2013,14/07/2013
Serie C,Santa Cruz / PE,Fortaleza / CE,2 x 1,4,2013,13/07/2013
Serie C,Cuiabá / MT,Aguia / PA,3 x 0,4,2013,14/07/2013
Serie C,Betim / MG,Macae / RJ,3 x 0,4,2013,14/07/2013
Serie C,Guarani / SP,Grêmio Barueri / SP,0 x 0,4,2013,14/07/2013
Serie C,Madureira / RJ,Duque de Caxias / RJ,2 x 1,4,2013,13/07/2013
Serie C,Caxias / RS,Mogi Mirim / SP,1 x 0,4,2013,14/07/2013
Serie C,Sampaio Correa / MA,Luverdense / MT,1 x 1,5,2013,24/07/2013
