"",,Arbitragem
Arbitro:,Wilton Pereira Sampaio (FIFA / GO),
Arbitro Assistente 1:,Kleber Lucio Gil (FIFA / SC),
Arbitro Assistente 2:,Carlos Berkenbrock (ESP-1 / SC),
Quarto Arbitro:,Roger Goulart (CBF-1 / RS),
Assessor:,Luiz Cunha Martins (ASS / RS),
"",,,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,,
Entrada do mandante:,19:52Atraso:,,2 min,Entrada do mandante: 21:01,Atraso:,,Não Houve
Entrada do visitante:,19:53Atraso:,,3 min,Entrada do visitante: 21:03,Atraso:,,1 min
Início 1o Tempo:,20:00 Atraso:,,Não Houve,Início do 2o Tempo: 21:04,Atraso:,,1 min
Término do 1o Tempo:,20:48 Acréscimo:,,3 min,Término do 2o Tempo: 21:55,Acréscimo:,,6 min
Resultado do 1o Tempo: 0 X 2,,,,Resultado Final: 0 X 2,,,
"",,,,Relação de Jogadores,,,
"",,Grêmio / RS,,,Santos / SP,,
No,Apelido,Nome Completo,T/R P/A,CBF No Apelido,Nome Completo T/R P/A,,CBF
1,Marcelo,Marcelo Grohe,T P,168351 1 Aranha,Mario Lucio Duarte Costa T,P,142720
2,Pará,Marcos Rogerio Ricci ...,T P,165065 2 Edu Dracena,Eduardo Luis Abonizi... T,P,136752
4,Rhodolfo,Luiz Rhodolfo Dini G ...,T P,169286 4 Cicinho,Neuciano de Jesus Gusmao T,P,185679
5,Werley,Werley Ananias da Silva,T P,172411 5 Marcos,Marcos Arouca da Silva T,P,161941
7,Dudu,Eduardo Pereira Rodr ...,T P,291738 7 Robinho,Robson de Souza T,P,152954
9,Barcos,Hernan Barcos,T P,402375 10 Gabriel,Gabriel Barbosa Almeida T,P,337830
10,Ze Roberto,Jose Roberto da Silv ...,T P,120815 11 Thiago Rib ...,Thiago Ribeiro Cardoso T,P,164974
17,Ramiro,Ramiro Moschen Benetti,T P,295418 14 David,David Braz Oliveira ... T,P,168008
26,Luan,Luan Guilherme de Je ...,T P,409960 15 Eugenio,Eugenio Esteban Mena... T,P,445840
33,Walace,Walace Souza Silva,T P,387400 20 Lucas,Lucas Rafael Araujo Lima T,P,331937
88,Giuliano,Giuliano Victor de Paula,T P,178486 29 Alison,Alison Lopes Ferreira T,P,308980
3,Geromel,Pedro Tonon Geromel,R P,165322 9 Leandro Da ...,Leandro Damiao da Si... R,P,291866
11,Alan Ruiz,Alan Nahuel Ruiz,R P,459864 12 Vladimir,Vladimir Orlando Car... R,P,180622
14,Leandro,Leandro Porto Torma,R P,348945 17 Rodriguez,Patricio Julian Rodr... R,P,420299
18,Matias,Matias Nicolas Rodriguez,R P,507398 19 Stefano Yu ...,Stefano Yuri Goncalv... R,P,312228
19,Matheus,Matheus Bitencourt d ...,R P,347193 31 Rildo,Rildo de Andrade Fel... R,P,318254
21,Breno,Breno Lorran da Silv ...,R P,345720 33 Alan,Alan Santos da Silva R,P,186142
24,Tiago,Tiago Machowski,R P,296640 35 Souza,Elierce Barbosa de Souza R,P,182944
28,Lucas,Lucas Heinzen Coelho,R P,344221 37 Jose,Jose Carlos Cracco Neto R,P,294382
77,Fernandinho,Luiz Fernando Pereir ...,R P,173277 40 Nailson,Nailson Fernando Med... R,P,330803
"",,,,45 Gigio,Geuvanio Santos Silva R,P,311336
"",,Comissão Técnica,
"",Grêmio / RS,,Santos / SP
Tecnico:,Luiz Felepe Scolari - 6006990839,Tecnico:,Oswaldo De Oliveira Filho - 2751822
Auxiliar Tecnico:,Flavio Da Gunha Teixeira - 1017559871,Auxiliar Tecnico:,Luiz Alberto Da Silva - 2937926
Medico:,Marcio Augusto Bolzoni - 12567,Medico:,Rodrigo Kallas Zogaib - 94754
Preparador Fisico:,Fabio Mahseredjian - 013325,Preparador Fisico:,Ricardo Pereira Rosa - 004304
Massagista:,Marco Aurelio Zeilmann - 3025111241,Massagista:,Jose Jorge Jesuino - 123721337
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
37:00,1T,14,NR,David Braz Oliveira Filho,,Santos/SP
44:00,1T,7,NR,Robson de Souza,,Santos/SP
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
+4:00,2T,Santos/SP,,33 - Alan Santos da Silva,11 - Thiago Ribeiro Cardoso
45:00,INT,Grêmio/RS,,19 - Matheus Bitencourt da Sil ...,33 - Walace Souza Silva
45:00,INT,Grêmio/RS,,11 - Alan Nahuel Ruiz,26 - Luan Guilherme de Jesus V ...
25:00,2T,Santos/SP,,31 - Rildo de Andrade Feliciss ...,7 - Robson de Souza
29:00,2T,Grêmio/RS,,18 - Matias Nicolas Rodriguez,10 - Jose Roberto da Silva Jun ...
36:00,2T,Santos/SP,,9 - Leandro Damiao da Silva d ...,10 - Gabriel Barbosa Almeida
