Campeonato:,Copa do Brasil - Profissional / 2014,Rodada:,Volta,,
Jogo:,Cruzeiro / MG X Atlético / MG,,,,
Data:,26/11/2014,Horário:,22:00,Estádio:,Governador Magalhães Pinto / Belo Horizonte
Arbitragem,
Arbitro:,Luiz Flavio de Oliveira (ASP-FIFA / SP)
Arbitro Assistente 1:,Marcelo Carvalho Van Gasse (FIFA / SP)
Arbitro Assistente 2:,Emerson Augusto de Carvalho (FIFA / SP)
Quarto Arbitro:,Anderson Daronco (ASP-FIFA / RS)
Arbitro Assist Adic 1:,Raphael Claus (ASP-FIFA / SP)
Arbitro Assist Adic 2:,Paulo H Godoy Bezerra (ESP-2 / SC)
Assessor:,Alicio Pena Junior (ASS / MG)
Delegado  Especial:,Nilson de Souza Monção (000 / SP)
Tutor:,Antonio Pereira da Silva (ASS / GO)
Quinto Arbitro:,Guilherme Dias Camilo (ASP-FIFA / MG)
Cronologia,,,,,,,
1o Tempo,2o Tempo,,,,,,
Entrada do mandante:,21:50,Atraso:,Não Houve,Entrada do mandante:,23:02,Atraso:,Não Houve
Entrada do visitante:,21:50,Atraso:,Não Houve,Entrada do visitante:,23:02,Atraso:,Não Houve
Início 1o Tempo:,22:00,Atraso:,Não Houve,Início do 2o Tempo:,23:03,Atraso:,Não Houve
Término do 1o Tempo:,22:48,Acréscimo:,3 min,Término do 2o Tempo:,23:48,Acréscimo:,Não Houve
Resultado do 1o Tempo: 0 X 1,Resultado Final: 0 X 1,,,,,,
Relação de Jogadores,,,,,,,,,,,
Cruzeiro / MG,,Atlético / MG,,,,,,,,,
No,Apelido,Nome Completo,T/R,P/A,CBF,No,Apelido,Nome Completo,T/R,P/A,CBF
1,Fabio,Fabio Deivson Lopes  ...,T,P,129292,1,Victor,Victor Leandro Bagy,T,P,156659
2,Ceara,Marcos Venancio de A ...,T,P,138932,2,Marcos Rocha,Marcos Luis Rocha Aquino,T,P,176390
3,Leo,Leonardo Renan Simoe ...,T,P,174360,3,Leo Silva,Leonardo Fabiano da ...,T,P,137705
4,Bruno Rodr ...,Bruno Rodrigo Fenelo ...,T,P,166647,8,Leandro Do ...,Leandro Donizete Gon...,T,P,163939
6,Egidio,Egidio de Araujo Per ...,T,P,157280,9,Diego Tard ...,Diego Tardelli Martins,T,P,150201
8,Henrique,Henrique Pacheco de Lim,T,P,170812,13,Carlos Alb ...,Carlos Alberto Carva...,T,P,353824
17,Everton Ri ...,Everton Augusto de B ...,T,P,177444,18,Rafael,Rafael de Souza Pereira,T,P,181262
18,Marcelo Mo ...,Marcelo Moreno Martins,T,P,172142,23,Datolo,Jesus Alberto Datolo,T,P,402208
19,Nilton,Nilton Ferreira Junior,T,P,163518,27,Luan,Luan Madson Gedeao d...,T,P,298595
25,Willian,Willian Gomes de Siq ...,T,P,166061,35,Jemerson,Jemerson de Jesus Na...,T,P,335312
28,Ricardo Go ...,Ricardo Goulart Pereira,T,P,191616,94,Douglas,Douglas dos Santos J...,T,P,395471
10,Julio Bapt ...,Julio Cesar Baptista,R,P,138321,4,Rever,Rever Humberto Alves...,R,P,167509
11,Dagoberto,Dagoberto Pelentier,R,P,150591,5,Lucas Pierre,Lucas Pierre Santos ...,R,P,156034
15,Willian,Willian Roberto de F ...,R,P,180083,16,Pedro Bote ...,Pedro Roberto Silva ...,R,P,183902
16,Lucas Silva,Lucas Silva Borges,R,P,320111,20,Alex,Alex da Silva,R,P,345933
21,Miguel Ang ...,Miguel Angel Ramon S ...,R,P,459473,22,Marion,Marion Silva Fernandes,R,P,299878
23,Johnath,Johnath Marlone Azev ...,R,P,307366,31,Dodo,Raphael Guimaraes de...,R,P,315101
30,Alex,Alex Flavio Santos Luz,R,P,318335,40,Uilson,Uilson Pedruzzi de O...,R,P,319430
31,Eurico Nic ...,Eurico Nicolau de Li ...,R,P,328399,43,Tiago,Tiago Pagnussat,R,P,188260
32,Elisson,Elisson Aparecido Rosa,R,P,171973,70,Maicon,Maicosuel Reginaldo ...,R,P,161269
33,Messias,Manoel Messias Silva ...,R,P,182423,87,Giovanni,Giovanni Aparecido A...,R,P,175445
35,Neilton,Neilton Meira Mestzk,R,P,316754,95,Eduardo,Eduardo Henrique da ...,R,P,345333
"",,,,,,,,,,,
T = Titular | R = Reserva | P = Profissional | A = Amador,,,,,,,,,,,
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
+1,1T,9,NR,Diego Tardelli Martins,,Atlético/MG
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
45:00,INT,Cruzeiro/MG,,15 - Willian Roberto de Farias ...,8 - Henrique Pacheco de Lima
30:00,1T,Atlético/MG,,70 - Maicosuel Reginaldo de Ma ...,27 - Luan Madson Gedeao de Pai ...
16:00,2T,Cruzeiro/MG,,11 - Dagoberto Pelentier,25 - Willian Gomes de Siqueira ...
24:00,2T,Atlético/MG,,5 - Lucas Pierre Santos Olive ...,18 - Rafael de Souza Pereira
32:00,2T,Cruzeiro/MG,,10 - Julio Cesar Baptista,2 - Marcos Venancio de Albuqu ...
38:00,2T,Atlético/MG,,95 - Eduardo Henrique da Silva ...,9 - Diego Tardelli Martins
