Campeonato:,Copa do Brasil - Profissional/2019,,,Rodada:,Volta
Jogo:,Sobradinho / DF X América / RN,,,,
Data:,06/02/2019 Horário: 20:30,Estádio:,Augustinho Pires de Lima / Sobradinho,,
"",Arbitragem
Arbitro:,Marcelo Aparecido Ribeiro de Souza (AB / PB)
Arbitro Assistente 1:,Kildenn Tadeu Morais de Lucena (CD / PB)
Arbitro Assistente 2:,Oberto da Silva Santos (AB / PB)
Quarto Arbitro:,Vanderlei Soares de Macedo (CD / DF)
Analista de Campo:,Raimundo Nonato Lopo de Abreu (CBF / DF)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,20:20Atraso:,,Não Houve Entrada do mandante: 21:31,,Atraso:,Não Houve
Entrada do visitante:,20:20Atraso:,,Não Houve Entrada do visitante: 21:30,,Atraso:,Não Houve
Início 1o Tempo:,20:30Atraso:,,Não Houve Início do 2o Tempo: 21:33,,Atraso:,Não Houve
Término do 1o Tempo:,21:18Acréscimo:,,3 min Término do 2o Tempo: 22:23,Acréscimo:,,5 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,Sobradinho / DF,,,,América / RN,,,
No,Apelido,Nome Completo T/R,,P/A,CBF No Apelido,Nome Completo,T/R,P/A,CBF
12,Michael,Michael Henrique Alv ... T(g),,P,416129 1 Ewerton Fe ...,Ewerton Ferreira da Silva,T(g),P,507551
2,Dionatan,Dionatan de Oliveira ... T,,P,351662 2 Vinicius,Vinicius Henrique de...,T,P,331923
3,Igor,Igor Francisco Ribeiro T,,P,525681 3 Adriano,Adriano Alves dos Santos,T,P,154599
4,Humberto,Humberto Fernandes d ... T,,P,466793 4 Alisson,Alisson Christhian Brand,T,P,303987
5,Werick,Werick Souza de Assis T,,P,508734 5 Ronilson,Ronilson Donizetti G...,T,P,171958
6,Julio,Julio Cesar Ferrari T,,P,184096 6 Kaike,Kaike Silva Mendes,T,P,379282
7,Fernando d ...,Fernando da Silva Sampaio T,,P,458641 7 Adenilson,Adenilson Martins do...,T,P,366127
8,Natanael,Natanael Gomes do Na ... T,,P,301847 8 Judson,Judson John Matos de...,T,P,457504
9,Lucas,Lucas Victor Souza d ... T,,P,504924 9 Tony,Antonio Benvenutti d...,T,P,324066
10,Lucivanio,Lucivanio Sa Mamede T,,P,157231 10 Hilton,Hilton Conceição d...,T,P,346926
11,Rafael,Rafael Silva Fontes T,,P,330800 11 Adriano Pa ...,Antonio Adriano Antu...,T,P,172563
1,Guilherme,Guilherme da Silva Santos R(g),,P,458154 12 Lucas,Lucas Gomes da Silva,R(g),P,403319
13,Caio,Caio Sergio Guimaraes R,,P,426913 13 Claudio,Claudio Henrique da ...,R,P,548382
14,Guilherme,Ricardo Guilherme Mo ... R,,P,518052 14 Jadson,Jadson da Silva Nasc...,R,P,463536
15,Joao Manoel,Joao Manoel Cabral Vieira R,,P,331535 15 Diego,Diego Pereira Correa,R,P,161603
16,Marlos,Marlos Azevedo dos Santos R,,P,333446 16 Carlos,Luis Carlos dos Sant...,R,P,429554
17,Ferreira,Joao de Deus Ferreir ... R,,P,354568 17 Jean Patric,Jean Patric Lima dos Reis,R,P,462674
18,Gabriel Xa ...,Gabriel Lima Xavier R,,P,528595,,,,
19,Paulao,Paulo Roberto do Carmo R,,P,172403,,,,
20,Jefferson,Jefferson da Silva D ... R,,P,427531,,,,
22,Ewertton Jose,Ewertton Jose Costa Silva R,,P,516991,,,,
"",,Comissão Técnica,
"",Sobradinho / DF,,América / RN
Técnico:,Victor Santana Da Silva,Técnico:,Moacir Vieira Araujo Junior
Auxiliar Técnico:,JOAO PAULO DOS REIS DA SILVA,Auxiliar Técnico:,ALEXSANDER NASCIF DE BARROS
Médico:,WILLIAM ROBERTO PEREIRA,Médico:,IDEMAR AMARAL DOS SANTOS FILHO
Treinador De Goleiros:,OSMAIR GONZAGA DE SANTANA,Treinador De Goleiros:,RODRIGO GOMES DAS NEVES
Preparador Físico:,LUCIANO SIQUEIRA BARBOSA,Preparador Físico:,HEBERT ARAUJO DA SILVA
Massagista:,SEBASTIAO GUEDES MONTEIRO,Massagista:,EDCARLOS AUGUSTO FERNANDES DA SILVA
"",,,,Cartões Amarelos
Tempo,1T/2T,No,Nome do Jogador,Equipe
01:00,1T,9,Antonio Benvenutti de Souza,América/RN
"",,,"Motivo: A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser) - Com a bola parada",
"",,,insistir em segurar um adversário (agarra-agarra).,
"Ocorrências / ObservaçõesO pagamento das taxas de arbitragem, diárias e ressarcimento de transporte foram pagos mediantes os seguintes cheques: árbitro, chequeno 56, valor r$ 4.199,00 (quatro mil e cento e noventa e nove reais). árbitro assistente no 01, cheque no 57 valor r$ 3732,00 (três mil esetecentos e trinta e dois reais). árbitro assistente no 02, cheque no 58, valor r$ 3303,00 (três mil e trezentos e três reais). quarto árbitro eanalista de campo, cheque no 59, valor r$ 1395,00 (mil e trezentos e noventa e cinco reais). todos os cheques do banco de brasília, agência100, conta 100.056822-6.Motivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido ao atendimento ao goleiro do américa, retirada de atletas pela maca e substituições.Observações EventuaisNada houve.Relatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTSobradinho/DF15 - Joao Manoel Cabral Vieira8 - Natanael Gomes do Nascimento10:002TSobradinho/DF17 - Joao de Deus Ferreira Silva10 - Lucivanio Sa Mamede18:002TSobradinho/DF19 - Paulo Roberto do Carmo9 - Lucas Victor Souza de Andrade20:002TAmérica/RN17 - Jean Patric Lima dos Reis9 - Antonio Benvenutti de Souza44:002TAmérica/RN15 - Diego Pereira Correa10 - Hilton Conceição de Sousa",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,Sobradinho/DF,15 - Joao Manoel Cabral Vieira,8 - Natanael Gomes do Nascimento
10:00,2T,Sobradinho/DF,17 - Joao de Deus Ferreira Silva,10 - Lucivanio Sa Mamede
18:00,2T,Sobradinho/DF,19 - Paulo Roberto do Carmo,9 - Lucas Victor Souza de Andrade
20:00,2T,América/RN,17 - Jean Patric Lima dos Reis,9 - Antonio Benvenutti de Souza
44:00,2T,América/RN,15 - Diego Pereira Correa,10 - Hilton Conceição de Sousa
"Ocorrências / ObservaçõesO pagamento das taxas de arbitragem, diárias e ressarcimento de transporte foram pagos mediantes os seguintes cheques: árbitro, chequeno 56, valor r$ 4.199,00 (quatro mil e cento e noventa e nove reais). árbitro assistente no 01, cheque no 57 valor r$ 3732,00 (três mil esetecentos e trinta e dois reais). árbitro assistente no 02, cheque no 58, valor r$ 3303,00 (três mil e trezentos e três reais). quarto árbitro eanalista de campo, cheque no 59, valor r$ 1395,00 (mil e trezentos e noventa e cinco reais). todos os cheques do banco de brasília, agência100, conta 100.056822-6.Motivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido ao atendimento ao goleiro do américa, retirada de atletas pela maca e substituições.Observações EventuaisNada houve.Relatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTSobradinho/DF15 - Joao Manoel Cabral Vieira8 - Natanael Gomes do Nascimento10:002TSobradinho/DF17 - Joao de Deus Ferreira Silva10 - Lucivanio Sa Mamede18:002TSobradinho/DF19 - Paulo Roberto do Carmo9 - Lucas Victor Souza de Andrade20:002TAmérica/RN17 - Jean Patric Lima dos Reis9 - Antonio Benvenutti de Souza44:002TAmérica/RN15 - Diego Pereira Correa10 - Hilton Conceição de Sousa"
"Motivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido ao atendimento ao goleiro do américa, retirada de atletas pela maca e substituições."
