Campeonato:,Copa do Brasil - Profissional/2020,,,Rodada:,Volta
Jogo:,São Luiz / RS X América / RN,,,,
Data:,05/02/2020 Horário: 20:30,Estádio:,19 de Outubro / Ijui,,
"",,Arbitragem
Arbitro:,Leonardo Sígari Zanon (AB / PR),
Arbitro Assistente 1:,Joao Fabio Machado Brischiliari (AB / PR),
Arbitro Assistente 2:,Andrey Luiz de Freitas (INT / PR),
Quarto Arbitro:,Daniel Aloysius Soder (CD / RS),
Delegado Local:,Enio Agostinho Damasceno Vianna ( / ),
Analista de Campo:,Paulo Ricardo Silva Conceição (CBF / RS),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,20:20Atraso:,,Não Houve Entrada do mandante: 21:30,,Atraso:,Não Houve
Entrada do visitante:,20:20Atraso:,,Não Houve Entrada do visitante: 21:31,,Atraso:,Não Houve
Início 1o Tempo:,20:30Atraso:,,Não Houve Início do 2o Tempo: 21:33,,Atraso:,Não Houve
Término do 1o Tempo:,21:18Acréscimo:,,3 min Término do 2o Tempo: 22:24,Acréscimo:,,6 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,São Luiz / RS,,,América / RN,,,,
No,Apelido,Nome Completo T/R,,P/A,CBF No Apelido Nome Completo,T/R,,P/A,CBF
12,Lucio,Lucio Hernandes da S ... T(g),,P,305608 1 Ewerton Fe ... Ewerton Ferreira da Silva,T(g),,P,507551
2,Lucas Carv ...,Lucas Carvalho da Silva T,,P,411414 2 Andre Krobel Andre Diego Krobel,T,,P,338920
4,Silvio,Silvio Henderson San ... T,,P,171894 3 Adriano Adriano Alves dos Santos,T,,P,154599
5,Maycon,Maycon Lucas Azevedo ... T,,P,354866 4 Nilo Nilo Eduardo Rodrigu ...,T,,P,292131
6,Samuel Bal ...,Samuel Jose Balbino T,,P,311053 5 Cesar Sampaio Julio Cesar Azevedo  ...,T,,P,401228
7,Elias,Elias dos Santos Bueno T,,P,362991 6 Renan Renan Luis Neves dos ...,T,,P,333459
8,Tassio,Tassio Santos da Paixao T,,P,334793 7 Tiago Orobo Tiago Pereira da Silva,T,,P,341594
9,Michel,Michel das Chagas He ... T,,P,293136 8 Leandro Leandro Domingos de Melo,T,,P,163929
10,Jean,Jean Carlo Bernieri  ... T,,P,394762 9 Wallace Wallace Philipe Frei ...,T,,P,372006
11,Carrilho,Rafael Carrilho Delvaux T,,P,347208 15 Michael Michael Heberth Alve ...,T,,P,320929
14,Ramon,Ramon dos Santos Souza T,,P,399451 17 Arez Herbton Ferreira da Silva,T,,P,313762
1,Reynaldo,Reynaldo Moura Macha ... R(g),,P,294101 12 Vitor Vitor Ferreira de Paiva,R(g),,P,294280
3,Joao Marcus,Joao Marcus Felix de Lima R,,P,372614 10 Dione Dione Miguel Ribas,R,,P,313855
13,Fernando,Fernando Augusto Per ... R,,P,528447 11 ADILIO Adilio Hommerito Gom ...,R,,P,456571
15,Jadson,Wender Jadson Silva  ... R,,P,378939 13 GENINHO Genisson Correia dos ...,R,,P,340109
16,Galego,Erwin Spitzner R,,P,297064 14 WILSON Wilson Bezerra Matias,R,,P,640450
17,Itaqui,Gerethes Cleucir Sou ... R,,P,187895 16 Felipe Pará Felipe de Andrade Sousa,R,,P,457692
18,Joao Paulo,Joao Paulo Dias Silva R,,P,182890 18 Rômulo Romulo Oliveira Amorim,R,,P,341465
19,Mateus Toto,Mateus Eduardo Infor ... R,,P,414567,,,,
20,Ariel,Ariel Felipe Gomes d ... R,,P,504667,,,,
21,Everton Ju ...,Everton Luiz Ferrao  ... R,,P,335478,,,,
22,Polaco,Jardson Almeida Monteiro R,,P,340932,,,,
"",,Comissão Técnica,
"",São Luiz / RS,,América / RN
Técnico:,Edemar Antonio Picoli,Técnico:,Jose Roberto Fernandes Barros
Médico:,Bernardo Arais Pydd,Auxiliar Técnico:,Leandro Ribeiro Sena
Treinador De Goleiros:,Cleber Sgarbi,Médico:,Cassiano Dei Ricardi Da Rosa
Preparador Físico:,Anderson Claiton De Lazari,Treinador De Goleiros:,Rodrigo Gomes Das Neves
Preparador Físico:,Fernando Berwig Antes,Preparador Físico:,Leonardo Bassotto
Massagista:,Jose Carlos Maragno Graber,Massagista:,David Felipe Do Nascimento Silva
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
01:00,2T,América/RN,,10 - Dione Miguel Ribas,17 - Herbton Ferreira da Silva
13:00,2T,São Luiz/RS,,22 - Jardson Almeida Monteiro,11 - Rafael Carrilho Delvaux
22:00,2T,São Luiz/RS,,17 - Gerethes Cleucir Souza da Si...,2 - Lucas Carvalho da Silva
24:00,2T,América/RN,,18 - Romulo Oliveira Amorim,9 - Wallace Philipe Freitas da S...
29:00,2T,São Luiz/RS,,21 - Everton Luiz Ferrao de Olive...,10 - Jean Carlo Bernieri Fernandes
34:00,2T,América/RN,,11 - Adilio Hommerito Gomes Brito,6 - Renan Luis Neves dos Santos ...
