Campeonato:,Copa do Brasil - Profissional/2021,,,Rodada:,Volta
Jogo:,Sergipe / SE X Cuiabá / MT,,,,
Data:,16/03/2021 Horário: 19:15,Estádio:,Etelvino Mendonça / Itabaiana,,
"",,Arbitragem
Arbitro:,Vinicius Furlan (AB / SP),
Arbitro Assistente 1:,Herman Brumel Vani (AB / SP),
Arbitro Assistente 2:,Fabrini Bevilaqua Costa (FIFA / SP),
Quarto Arbitro:,Thayslane de Melo Costa (FIFA / SE),
Analista de Campo:,Edmo Oliveira Santos (CBF / SE),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,19:05Atraso:,,Não Houve Entrada do mandante: 20:15,,Atraso:,Não Houve
Entrada do visitante:,19:05Atraso:,,Não Houve Entrada do visitante: 20:14,,Atraso:,Não Houve
Início 1o Tempo:,19:15Atraso:,,Não Houve Início do 2o Tempo: 20:18,,Atraso:,Não Houve
Término do 1o Tempo:,20:03Acréscimo:,,3 min Término do 2o Tempo: 21:07,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,Sergipe / SE,,,Cuiabá / MT,,,,
No,Apelido,Nome Completo,T/R,P/A,CBF No Apelido Nome Completo,T/R,,P/A,CBF
1,Marcos,Marcos Vinicius Frag ...,T(g),P,172262 1 Walter Walter Leandro Capel ...,T(g),,P,177853
2,PAULO FERN ..P. aulo Fernando Gomes ...,,T,P,394020 2 Lucas Ramon Lucas Ramon Batista Silva,T,,P,376828
3,Matheus,Matheus Morais de Ol ...,T,P,393523 3 Walber Jose Walber Mota de  ...,T,,P,386746
4,Júlio Césa ...,Júlio César Cantanhe ...,T,P,341434 4 Anderson Anderson Conceição B ...,T,,P,170178
5,Brendon,Brendon Luis de Andrade,T,P,305530 5 Auremir Auremir Evangelista  ...,T,,P,341763
6,Matheus,Matheus Padilha Marq ...,T,P,436430 6 Alexandre  ... Alexandre Melo Ribei ...,T,,P,502946
7,José,Jeilson José da Silva,T,P,538640 7 Raulzinho Raul Di Orlando Barb ...,T,,P,521278
8,JOELSON,Joelson Fernando Tei ...,T,P,595179 8 RAFAEL GAVARafael Gustavo Meneg ...,T,,P,313001
9,Paulo,Paulo Sergio Simionato,T,P,295231 9 Elton Elton Rodrigues Brandao,T,,P,162905
10,Doda,Josimar Alves Lira,T,P,160515 10 Elvis Elvis Vieira Araujo,T,,P,183975
11,Abner,Abner Gomes Faria,T,P,518632 11 Osman Junior Osman de Menezes Ven ...,T,,P,335599
12,IGOR,Igor Rayan de Olivei ...,R(g),P,299792 12 Joao Carlos Joao Carlos Heidemann,R(g),,P,174755
13,Fábio,Fábio do Nascimento  ...,R,P,331015 13 Vitor Vitor Hugo Paes do Santo,R,,P,650303
14,Felipe,Jose Felipe Almeida  ...,R,P,373479 14 Marllon Marllon Goncalves Je ...,R,,P,299840
15,Thiago,Thiago Silvy Coelho,R,P,160336 15 Gabriel He ... Gabriel Henrique Pierini,R,,P,509628
16,Italo,Italo Ferreira Ribeiro,R,P,417033 16 Uillian Co ... Uillian Correia Granemann,R,,P,180789
17,Hiago,Hiago Henrique Model ...,R,P,555511 17 RIKELME Rikelme Hernandes Am ...,R,,P,605568
"",,,,,18 Josiel Josiel Ortega de Arruda,R,,P,521439
"",,,,,19 Cafu Jonathan Renato Barbosa,R,,P,302451
"",,Comissão Técnica,
"",Sergipe / SE,,Cuiabá / MT
Auxiliar Técnico:,Eduardo Silva Sales,Auxiliar Técnico:,Luiz Fernando Iubel
Médico:,Luiz Alberto Dias Padua,Médico:,Jhone Maykon Monteiro Pereira
Treinador De Goleiros:,Sandro Marcio Viana Monteiro,Treinador De Goleiros:,William Jose De Castro
Preparador Físico:,Carlos Alberto Silva Dos Santos,Preparador Físico:,Jorge Alberto Pinto Soter
Massagista:,Edivaldo Souza Santos,Massagista:,Jose Aparecido De Oliveira
"",,,,Cartões Amarelos
Tempo,1T/2T,No,Nome do Jogador,Equipe
11:00,2T,8,Joelson Fernando Teixeira Nunes,Sergipe/SE
"",,,Motivo: A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Dar um calço,
"",,,temerário em seu adversário na disputa de bola.,
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos, devido entrada para atendimento médico a jogadores supostamente lesionados e substituições. foi concedido 1 min. de silêncio, em homenagempóstuma as vítimas de covid-19.Observações EventuaisNada houve de anormalRelatório do AssistenteNada houve.SubstituiçõesTempo1T/2TEquipeEntrouSaiu+3:002TSergipe/SE14 - Jose Felipe Almeida dos Santos6 - Matheus Padilha Marques da S...12:002TCuiabá/MT19 - Jonathan Renato Barbosa11 - Osman de Menezes Venancio Ju...24:002TCuiabá/MT18 - Josiel Ortega de Arruda7 - Raul Di Orlando Barbosa Mendes35:002TCuiabá/MT17 - Rikelme Hernandes Amorim Rocha10 - Elvis Vieira Araujo35:002TCuiabá/MT16 - Uillian Correia Granemann8 - Rafael Gustavo Meneghel Gava36:002TSergipe/SE15 - Thiago Silvy Coelho10 - Josimar Alves Lira36:002TSergipe/SE13 - Fábio do Nascimento Menezes7 - Jeilson José da Silva"
Ocorrências / Observações
Nada houve de anormal
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos, devido entrada para atendimento médico a jogadores supostamente lesionados e substituições. foi concedido 1 min. de silêncio, em homenagempóstuma as vítimas de covid-19.Observações EventuaisNada houve de anormalRelatório do AssistenteNada houve.SubstituiçõesTempo1T/2TEquipeEntrouSaiu+3:002TSergipe/SE14 - Jose Felipe Almeida dos Santos6 - Matheus Padilha Marques da S...12:002TCuiabá/MT19 - Jonathan Renato Barbosa11 - Osman de Menezes Venancio Ju...24:002TCuiabá/MT18 - Josiel Ortega de Arruda7 - Raul Di Orlando Barbosa Mendes35:002TCuiabá/MT17 - Rikelme Hernandes Amorim Rocha10 - Elvis Vieira Araujo35:002TCuiabá/MT16 - Uillian Correia Granemann8 - Rafael Gustavo Meneghel Gava36:002TSergipe/SE15 - Thiago Silvy Coelho10 - Josimar Alves Lira36:002TSergipe/SE13 - Fábio do Nascimento Menezes7 - Jeilson José da Silva"
Observações Eventuais
Nada houve de anormal
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos, devido entrada para atendimento médico a jogadores supostamente lesionados e substituições. foi concedido 1 min. de silêncio, em homenagempóstuma as vítimas de covid-19.Observações EventuaisNada houve de anormalRelatório do AssistenteNada houve.SubstituiçõesTempo1T/2TEquipeEntrouSaiu+3:002TSergipe/SE14 - Jose Felipe Almeida dos Santos6 - Matheus Padilha Marques da S...12:002TCuiabá/MT19 - Jonathan Renato Barbosa11 - Osman de Menezes Venancio Ju...24:002TCuiabá/MT18 - Josiel Ortega de Arruda7 - Raul Di Orlando Barbosa Mendes35:002TCuiabá/MT17 - Rikelme Hernandes Amorim Rocha10 - Elvis Vieira Araujo35:002TCuiabá/MT16 - Uillian Correia Granemann8 - Rafael Gustavo Meneghel Gava36:002TSergipe/SE15 - Thiago Silvy Coelho10 - Josimar Alves Lira36:002TSergipe/SE13 - Fábio do Nascimento Menezes7 - Jeilson José da Silva",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
+3:00,2T,Sergipe/SE,14 - Jose Felipe Almeida dos Santos,6 - Matheus Padilha Marques da S...
12:00,2T,Cuiabá/MT,19 - Jonathan Renato Barbosa,11 - Osman de Menezes Venancio Ju...
24:00,2T,Cuiabá/MT,18 - Josiel Ortega de Arruda,7 - Raul Di Orlando Barbosa Mendes
35:00,2T,Cuiabá/MT,17 - Rikelme Hernandes Amorim Rocha,10 - Elvis Vieira Araujo
