Campeonato:,Campeonato Brasileiro - Série A / 2013,Rodada:,38,,
Jogo:,Internacional / RS X Ponte Preta / SP,,,,
Data:,08/12/2013,Horário:,17:00,Estádio:,Francisco Stédille / Caxias do Sul
Arbitragem,
Arbitro:,Alicio Pena Junior (ESP / MG)
Arbitro Assistente 1:,Rodrigo Pereira Joia (FIFA / RJ)
Arbitro Assistente 2:,Edilson Frasao Pereira (CBF-1 / TO)
Quarto Arbitro:,Francisco de Paula dos Santos Silva Neto (CBF-2 / RS)
Arbitro Assist Adic 1:,Sebastiao Rufino Ribeiro Filho (CBF-2 / PE)
Arbitro Assist Adic 2:,Marcos Vinícius de Sá dos Santos (CBF-2 / MG)
Delegado:,Edson Rezende de Oliveira (  / )
Delegado:,Vayran da Silva Rosa (  / SC)
Quinto Arbitro:,Neuza Ines Back (ASP-FIFA / SC)
Cronologia,,,,,,,
1o Tempo,2o Tempo,,,,,,
Entrada do mandante:,16:55,Atraso:,Não Houve,Entrada do mandante:,18:01,Atraso:,Não Houve
Entrada do visitante:,16:54,Atraso:,Não Houve,Entrada do visitante:,18:01,Atraso:,Não Houve
Início 1o Tempo:,17:00,Atraso:,Não Houve,Início do 2o Tempo:,18:03,Atraso:,Não Houve
Término do 1o Tempo:,17:48,Acréscimo:,3 min,Término do 2o Tempo:,18:51,Acréscimo:,3 min
Resultado do 1o Tempo: 0 X 0,Resultado Final: 0 X 0,,,,,,
Relação de Jogadores,,,,,,,,,,,
Internacional / RS,,Ponte Preta / SP,,,,,,,,,
Horário de Entrega da Relação de Jogadores: 16:05,Horário de Entrega da Relação de Jogadores: 16:12,,,,,,,,,,
No,Apelido,Nome Completo,T/R,P/A,CBF,No,Apelido,Nome Completo,T/R,P/A,CBF
1,Muriel,Muriel Gustavo Becker,T,P,165925,1,Daniel,Daniel Martins Guimaraes,T,P,174365
3,Indio,Marcos Antonio de Lima,T,P,123208,2,Sousa,Regis Ribeiro de Sousa,T,P,190286
4,Juan,Juan Silveira dos Santos,T,P,123816,3,Ebert Will ...,Ebert Willian Amancio,T,P,144059
9,Leandro Da ...,Leandro Damiao da Si ...,T,P,291866,4,Raphael,Raphael da Silva Arruda,T,P,308305
10,Dalessandro,Andres Nicolas Dales ...,T,P,299481,5,Alef,Alef dos Santos Saldanha,T,P,351749
14,Fabricio,Fabricio dos Santos  ...,T,P,172408,6,Mauricio,Mauricio de Oliveira...,T,P,378543
15,Ednei,Ednei Ferreira de Ol ...,T,P,171685,7,Ferrugem,Weverton Almeida Santos,T,P,181437
23,Jorge Henr ...,Jorge Henrique de Souza,T,P,153189,8,Matheus,Matheus do Amaral Olavo,T,P,313743
27,Josimar,Josimar Rosado da Si ...,T,P,168939,9,Ademir,Ademir Candido de So...,T,P,322119
33,Otavio,Otavio Edmilson da S ...,T,P,348196,10,Adriano,Adriano Laaber,T,P,133023
35,Joao,Joao Afonso Crispim,T,P,374486,11,Giovanni,Giovanni Piccolomo,T,P,318493
2,Gabriel,Gabriel Rodrigues do ...,R,P,145180,12,Eduardo,Eduardo Costa da Silva,R,P,381331
7,Forlan,Diego Forlan Corazo,R,P,419995,13,Eduardo,Eduardo Ezequiel de ...,R,P,352795
11,Rafael Moura,Rafael Martiniano de ...,R,P,151437,14,Francis,Francis Obidikwa Ilo...,R,P,383779
12,Alex,Alex Raphael Meschini,R,P,141158,15,Ian Prado,Ian Prado Barreto,R,P,378583
17,Caio,Caio Canedo Correia,R,P,292179,16,Luiz Henri ...,Luiz Henrique Alves ...,R,P,356113
19,Alan Patrick,Alan Patrick Lourenço,R,P,305976,17,Andre,Andre Augusto dos Santos,R,P,345240
22,Alisson,Alisson Ramses Becker,R,P,293033,,,,,,
25,Ronaldo,Ronaldo Luiz Alves,R,P,174941,,,,,,
29,Wanderson,Wanderson Ferreira d ...,R,P,339155,,,,,,
36,Alan,Alan Henrique Costa,R,P,188990,,,,,,
37,Indio,Nathan dos Santos Cu ...,R,P,313503,,,,,,
38,Artur,Artur Sergio Batista ...,R,P,377697,,,,,,
T = Titular | R = Reserva | P = Profissional | A = Amador,,,,,,,,,,,
"",,Comissão Técnica,
"",Internacional / RS,,Ponte Preta / SP
Tecnico:,Clemer Melo Da Silva - 001565/P-MA,Tecnico:,Ailton Dos Santos Ferraz - 2779389-6
Auxiliar Tecnico:,Odair Hellmann - 015895/P-RS,Auxiliar Tecnico:,José Msérgio Preste - 5934020-4
Medico:,Guilherme Velho Caputo - 25786,Medico:,Reginaldo Cassio Fernandes - 85173/SP
Preparador Fisico:,João Roberto Ramos Goulart - 004422/G-RS,Preparador Fisico:,Thiago Santi Maria - 0489356-G/SP
Massagista:,Paulo Juarez Quintanilha Da Silva - 3018383681,Massagista:,Thiago Henrique Julietti Silva - 49524478-8SP
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,Internacional/RS,7 - Diego Forlan Corazo,23 - Jorge Henrique de Souza
14:00,2T,Ponte Preta/SP,17 - Andre Augusto dos Santos,9 - Ademir Candido de Sousa N ...
19:00,2T,Internacional/RS,11 - Rafael Martiniano de Mira ...,9 - Leandro Damiao da Silva d ...
42:00,2T,Internacional/RS,12 - Alex Raphael Meschini,27 - Josimar Rosado da Silva T ...
42:00,2T,Ponte Preta/SP,15 - Ian Prado Barreto,10 - Adriano Laaber
44:00,2T,Ponte Preta/SP,16 - Luiz Henrique Alves Angel ...,11 - Giovanni Piccolomo
