"",,Arbitragem
Arbitro:,Vinicius Furlan (ASP-FIFA / SP),
Arbitro Assistente 1:,Bruno Salgado Rizo (CBF-1 / SP),
Arbitro Assistente 2:,Fabricio Porfirio de Moura (CBF-1 / SP),
Quarto Arbitro:,Marcio Henrique de Gois (CBF-2 / SP),
Inspetor:,Almir Alves de Mello (000 / SP),
Delegado Local:,Flaubert Dias Machado (000 / ),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:50Atraso:,,Não Houve Entrada do mandante: 17:03,Atraso:,,Não Houve
Entrada do visitante:,15:50Atraso:,,Não Houve Entrada do visitante: 17:03,Atraso:,,Não Houve
Início 1o Tempo:,16:00 Atraso:,,Não Houve Início do 2o Tempo: 17:05,Atraso:,,2 min
Término do 1o Tempo:,16:48 Acréscimo:,,3 min Término do 2o Tempo: 17:53,Acréscimo:,,3 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 1 X 0,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,15:50,Atraso:,Não Houve Entrada do mandante:,17:03,Atraso:,Não Houve
Início 1o Tempo:,16:00,Atraso:,Não Houve,Início do 2o Tempo:,17:05,Atraso:,2 min
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Joao Carlos,Joao Carlos Heidemann,T P,174755,1,Denis,Denis Cesar de Matos,T P,172292
"",Comissão Técnica
Ponte Preta / SP,São Paulo / SP
Treinador De GoleirosA:n dre Luis Dias - 9401131805,Técnico: Edgardo Bauza - 23045781890
Técnico: Eduardo Alexandre Baptista - 15851855827,Auxiliar Técnico: José Daniel Di Leo - 23845786850
Preparador Físico: Luis Fernando Goulart - 007361,Médico: Auro De Freitas Rayel - 44694-D
Auxiliar Técnico: Pedro Faria Gama - 7606312630,Preparador Físico: Bruno Militano  - G 215465-5
Médico: Roberto Itiro Nishimura - 100502,Massagista: Almir Rosano De Oliveira Lima - 55445730697
Massagista: Rogerio De Mello Silva - 26547809889,Preparador De GoleiroC:a rlos Roberto Gallo - 77435370800
Preparador De GoleiroA:n dre Luis Dias - 09401131805,
"",Gols
Tempo 1T/2T No Tipo Nome do Jogador,Equipe
12:00 2T 7 NR Clayson Henrique da Silva Vieira,Ponte Preta/SP
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
17:00,1T,São Paulo/SP,6 - Carlos Andrade Souza,31 - Luiz de Araujo Guimaraes  ...
23:00,1T,Ponte Preta/SP,20 - Ravanelli Ferreira dos Sa ...,10 - Matheus Sousa de Jesus
26:00,2T,Ponte Preta/SP,17 - Thiago Galhardo do Nascim ...,8 - Rene dos Santos Junior
33:00,2T,São Paulo/SP,12 - Jonathan Calleri,16 - Mateus Lucena dos Santos
39:00,2T,São Paulo/SP,37 - Ytalo Jose Oliveira dos S ...,20 - Ricardo Adrian Centurion
40:00,2T,Ponte Preta/SP,19 - Roger Rodrigues da Silva,9 - William de Oliveira Pottk ...
