Campeonato:,Campeonato Brasileiro - Série A/2018,,Rodada:,37
Jogo:,Corinthians / SP X Chapecoense / SC,,,
Data:,25/11/2018 Horário: 19:00 Estádio:,Arena Corinthians / Sao Paulo,,
"",Arbitragem
Arbitro:,Paulo Roberto Alves Junior (AB / PR)
Arbitro Assistente 1:,Luciano Roggenbaum (AB / PR)
Arbitro Assistente 2:,Luiz H Souza Santos Renesto (AB / PR)
Quarto Arbitro:,Joao Fabio Machado Brischiliari (CD / PR)
Arbitro Assist Adic 1:,Anderson da Silveira Farias (CD / RS)
Arbitro Assist Adic 2:,Fabio Filipus (CD / PR)
Inspetor:,Alicio Pena Junior (CBF / BRA)
Delegado Local:,Carlos Roberto Fernandes Silva (CBF / )
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,18:51Atraso:,,Não Houve Entrada do mandante: 19:58,,Atraso:,Não Houve
Entrada do visitante:,18:51Atraso:,,Não Houve Entrada do visitante: 19:59,,Atraso:,Não Houve
Início 1o Tempo:,19:00Atraso:,,Não Houve Início do 2o Tempo: 20:01,,Atraso:,Não Houve
Término do 1o Tempo:,19:46Acréscimo:,,1 min Término do 2o Tempo: 20:50,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,Corinthians / SP,,,Chapecoense / SC,,,,
No,Apelido,Nome Completo T/R,,P/A,CBF No Apelido Nome Completo,,T/R,P/A,CBF
12,Cássio,Cassio Ramos T(g),,P,166276 93 Jandrei Jandrei Chitolina Carniel,,T(g),P,295557
3,Henrique,Henrique Adriano Buss T,,P,161301 2 Eduardo Carlos Eduardo Santo...,,T,P,170077
10,Jadson,Jadson Rodrigues da Silva T,,P,149233 6 Bruno Pacheco Bruno de Jesus Pacheco,,T,P,333975
11,Angel Romero,Angel Rodrigo Romero ... T,,P,507462 8 Hector Hector Miguel Canteros,,T,P,507566
14,Léo Santos,Leonardo Rodrigues d ... T,,P,429853 9 Wellington ... Wellington Pereira d...,,T,P,152788
15,Ralf,Ralf de Souza Teles T,,P,168387 14 Fabricio B ... Fabricio Bruno Soare...,,T,P,389228
17,Tiaguinho,Thiago Beserra dos Santos T,,P,406069 15 Marcio Araujo Marcio Rodrigues Araujo,,T,P,162907
22,Mateus,Mateus da Silva Vita ... T,,P,405246 23 Douglas Douglas Silva Bacelar,,T,P,295957
23,Fagner,Fagner Conserva Lemos T,,P,177050 55 Amaral William Jose de Souza,,T,P,169939
33,Carlos,Carlos Augusto Zopol ... T,,P,410804 72 Diego Torres Diego Fabian Torres,,T,P,633725
38,Pedro,Pedro Victor Delmino ... T,,P,429638 90 Leandro Leandro Marcos Peruc...,,T,P,306149
27,Walter,Walter Leandro Capel ... R(g),,P,177853 84 Ivan Gilsivan Soares da Silva,,R(g),P,169226
5,Gabriel,Gabriel Girotto Franco R,,P,320839 10 Odair Odair Souza,,R,P,146284
9,Roger,Roger Rodrigues da Silva R,,P,155541 19 Vinicius Vinicius Santos Silva,,R,P,312048
16,Angelo Araos,Angelo Giovani Araos ... R,,P,633271 21 Luiz Luiz Otavio da Silva...,,R,P,335012
19,Jefferson  ...,Jefferson Gabriel Na ... R,,P,538843 22 Nery Bareiro Nery Ruben Bareiro Z...,,R,P,542125
20,Danilo,Danilo Gabriel de Andrade R,,P,137978 28 Alan Ruschel Alan Luciano Ruschel,,R,P,187597
25,Clayson,Clayson Henrique da  ... R,,P,376734 29 Bruno Bruno da Silva Costa,,R,P,509608
30,Douglas,Douglas Augusto Soar ... R,,P,308376 34 Agustin Agustin Doffo,,R,P,623615
31,Bilu,Rafael Bilu Mudesto R,,P,387443 77 Osman Osman de Menezes Ven...,,R,P,335599
34,Pedro,Pedro Henrique Ribei ... R,,P,352037 86 Elicarlos Elicarlos Souza Santos,,R,P,169835
35,Danilo,Danilo Fernando Avelar R,,P,183755 95 Barreto Gustavo Bonatto Barreto,,R,P,360443
47,Emerson Sheik Marcio Passos de Alb ...,R,,P,310950 97 Marcos Marcos Vinicius da S...,,R,P,374251
"",,Comissão Técnica,
"",Corinthians / SP,,Chapecoense / SC
Técnico:,Jair Zaksauskas Ribeiro Ventura,Técnico:,CLAUDINEI DOS SANTOS OLIVEIRA
Auxiliar Técnico:,EMILIO CARLOS TANNUS FARO,Auxiliar Técnico:,LUCIANO GUSSO PINTO
Médico:,IVAN FURLAN GRAVA DE SOUSA,Médico:,CARLOS HENRIQUE MENDONCA SILVA
Treinador De Goleiros:,LEANDRO IDALINO ALVES PORFIRIO,Treinador De Goleiros:,WLAMIR NEY MACHADO
Preparador Físico:,ANSELMO PEREIRA SBRAGIA,Preparador Físico:,ROBSON LUIZ MARTINS GOMES
Massagista:,CLEBER COSTA DE SOUZA,Massagista:,ADRIANO ANTONIO FERREIRA DE JESUS
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
+2:00,2T,Chapecoense/SC,10 - Odair Souza,90 - Leandro Marcos Peruchena Per...
19:00,2T,Corinthians/SP,20 - Danilo Gabriel de Andrade,11 - Angel Rodrigo Romero Villama...
25:00,2T,Chapecoense/SC,86 - Elicarlos Souza Santos,72 - Diego Fabian Torres
35:00,2T,Chapecoense/SC,77 - Osman de Menezes Venancio Ju...,8 - Hector Miguel Canteros
35:00,2T,Corinthians/SP,47 - Marcio Passos de Albuquerque,22 - Mateus da Silva Vital Assump...
35:00,2T,Corinthians/SP,31 - Rafael Bilu Mudesto,38 - Pedro Victor Delmino da Silva
