Campeonato:,Campeonato Brasileiro - Série A/2020,Rodada:,3
Jogo:,Fortaleza / CE X Botafogo / RJ,,
Data:,16/08/2020 Horário: 19:30 Estádio:,Governador Plácido Aderaldo Castelo / Fortaleza,
"",,Arbitragem
Arbitro:,Marielson Alves Silva (AB / BA),
Arbitro Assistente 1:,Alessandro Alvaro Rocha de Matos (FIFA / BA),
Arbitro Assistente 2:,Elicarlos Franco de Oliveira (AB / BA),
Quarto Arbitro:,Luiz César de Oliveira Magalhães (AB / CE),
Analista de Campo:,Francisco José de Sousa Soares (CBF / CE),
VAR:,Emerson de Almeida Ferreira (AB / MG),
AVAR1:,Marco Aurelio Augusto Fazekas Ferreira (AB / MG),
AVAR2:,Paulo de Tarso Bregalda Gussen (AB / BA),
Quality manager:,Mikael Silva de Araujo (CBF / RJ),
Operador de replay 1:,Douglas Diego de Lima Silva (AB / CE),
Técnico Provedora VAR 1:Germano de Carvalho Araujo (AB / CE),,
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,19:20Atraso:,,Não Houve Entrada do mandante: 20:28,,Atraso:,Não Houve
Entrada do visitante:,19:20Atraso:,,Não Houve Entrada do visitante: 29:31,,Atraso:,Não Houve
Início 1o Tempo:,19:30Atraso:,,Não Houve Início do 2o Tempo: 20:32,,Atraso:,Não Houve
Término do 1o Tempo:,20:17Acréscimo:,,2 min Término do 2o Tempo: 21:22,Acréscimo:,,5 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,Fortaleza / CE,,,,Botafogo / RJ,,,
No,Apelido,Nome Completo T/R,,P/A,CBF No Apelido,Nome Completo T/R,,P/A,CBF
12,Felipe,Felipe Alves Raymundo T(g),,P,177931 1 Gatito Fer ...,Roberto Junior Ferna ... T(g),,P,511533
3,Juan Quintero,Juan Sebastian Quint ... T,,P,646848 2 Federico B ...,Federico Ricardo Bar ... T,,P,692836
5,Juninho,Paulo Roberto Valour ... T,,P,179395 3 Victor,Victor Hugo Soares d ... T,,P,355418
6,Carlinho,Carlos Emiliano Pereira T,,P,186140 4 Honda,Keisuke Honda T,,P,695304
11,Osvaldo,Osvaldo Lourenco Filho T,,P,177411 6 Victor,Victor Luis Chuab Za ... T,,P,309431
13,Gabriel,Gabriel Dias de Oliveira T,,P,317697 7 Luis Henrique,Luis Henrique Tomaz  ... T,,P,551311
15,Luis,Luis Antonio Ferreir ... T,,P,420080 8 Caio,Caio Alexandre Sousa ... T,,P,336119
17,David,David Correa da Fonseca T,,P,430588 9 Macae,Matheus Barcelos da Silva T,,P,405543
19,Edson Carius,Jose Edson Barros da ... T,,P,298941 10 Bruno Nazario,Bruno dos Santos Nazario T,,P,314287
20,Romarinho,Jose Romario Silva d ... T,,P,413857 11 Guilherme,Guilherme Oliveira Santos T,,P,181106
25,Paulão,Paulo Marcos de Jesu ... T,,P,293393 14 Marcelo,Marcelo da Conceiçao ... T,,P,402719
23,Max,Max Walef Araujo da Silva R(g),,P,337210 12 Diego Cava ...,Diego Cavalieri R(g),,P,137990
2,Guilherme,Guilherme de Jesus d ... R,,P,348138 5 Otavio,Luiz Otavio Alves Ma ... R,,P,374917
8,Derley,Wanderley de Jesus Sousa R,,P,166491 13 Rafael,Rafael Forster R,,P,175720
9,Wellington ...,Wellington Pereira d ... R,,P,152788 15 Ruan,Ruan Renato Bonifaci ... R,,P,326569
26,Jackson,Jackson de Souza R,,P,299142 16 Danilo,Danilo Carvalho Barcelos R,,P,313755
28,Marlon,Marlon Adriano Prezotti R,,P,294484 17 Luiz Fernando,Luiz Fernando Moraes ... R,,P,451607
29,Tiago Orobo,Tiago Pereira da Silva R,,P,341594 18 Rafael Nav ...,Rafael Navarro Leal R,,P,505714
30,Bruno,Bruno Ferreira Melo R,,P,329952 19 Rhuan da S ...,Rhuan da Silveira Castro R,,P,466025
31,Madson,Madson de Souza Silva R,,P,503940 20 Alexander  ...,Alexander Lecaros Aragon R,,P,693058
32,Mariano,Mariano Vazquez R,,P,674254 21 Fernando,Fernando Peixoto Costanza R,,P,308413
57,Yuri Cesar,Yuri Cesar Santos de ... R,,P,505134 22 Kevin,Kevin Peterson dos S ... R,,P,502001
91,Ederson,Ederson Alves Ribeir ... R,,P,176522 23 Matheus Na ...,Matheus Nascimento d ... R,,P,612641
"",,Comissão Técnica,
"",Fortaleza / CE,,Botafogo / RJ
Técnico:,Rogerio Ceni,Técnico:,Paulo Autuori De Mello
Auxiliar Técnico:,Charles Alexandre Patrice Francis Hembert,Auxiliar Técnico:,Rene Carmo Kreuz Weber
Médico:,Rafael Luis Cavalcanti Veras Ribeiro,Médico:,Ricardo Do Carmo Bastos
Treinador De Goleiros:,Jose Augusto Da Cruz Albuquerque,Treinador De Goleiros:,Flavio De Britto Pereira Tenius
Preparador Físico:,Danilo Augusto Da Silva,Preparador Físico:,Luiz Felippe Capella Caldas
Massagista:,Jose Wellington Nunes De Moura,Massagista:,Reginaldo De Oliveira
"",,,,Cartões Amarelos
Tempo,1T/2T,No,Nome do Jogador,Equipe
17:00,1T,8,Caio Alexandre Sousa E Silva,Botafogo/RJ
"",,,Motivo: A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Ao calçar o seu adversário na,
"",,,disputa de bola.,
"Ocorrências / ObservaçõesNada houve.Motivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido a entrada da maca em campo para retirada de atletas, supostamente lesionados , substituições, reposição de bola e checagem (var). houve 1(um) minuto de silêncio antes do início do jogo em memória das vitimas de covid 19 e ao sr. alex ponciano e o sr. alano lemos saldanha.Observações EventuaisNada houveRelatório do AssistenteNada houve.SubstituiçõesTempo1T/2TEquipeEntrouSaiu+4:002TBotafogo/RJ5 - Luiz Otavio Alves Marcolino4 - Keisuke Honda15:002TFortaleza/CE57 - Yuri Cesar Santos de Oliveir...11 - Osvaldo Lourenco Filho15:002TFortaleza/CE9 - Wellington Pereira do Nascim...19 - Jose Edson Barros da Silva27:002TBotafogo/RJ17 - Luiz Fernando Moraes dos San...8 - Caio Alexandre Sousa E Silva42:002TFortaleza/CE30 - Bruno Ferreira Melo20 - Jose Romario Silva de Souza42:002TBotafogo/RJ19 - Rhuan da Silveira Castro7 - Luis Henrique Tomaz de Lima42:002TFortaleza/CE32 - Mariano Vazquez6 - Carlos Emiliano Pereira"
Ocorrências / Observações
Nada houve.
"Ocorrências / ObservaçõesNada houve.Motivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido a entrada da maca em campo para retirada de atletas, supostamente lesionados , substituições, reposição de bola e checagem (var). houve 1(um) minuto de silêncio antes do início do jogo em memória das vitimas de covid 19 e ao sr. alex ponciano e o sr. alano lemos saldanha.Observações EventuaisNada houveRelatório do AssistenteNada houve.SubstituiçõesTempo1T/2TEquipeEntrouSaiu+4:002TBotafogo/RJ5 - Luiz Otavio Alves Marcolino4 - Keisuke Honda15:002TFortaleza/CE57 - Yuri Cesar Santos de Oliveir...11 - Osvaldo Lourenco Filho15:002TFortaleza/CE9 - Wellington Pereira do Nascim...19 - Jose Edson Barros da Silva27:002TBotafogo/RJ17 - Luiz Fernando Moraes dos San...8 - Caio Alexandre Sousa E Silva42:002TFortaleza/CE30 - Bruno Ferreira Melo20 - Jose Romario Silva de Souza42:002TBotafogo/RJ19 - Rhuan da Silveira Castro7 - Luis Henrique Tomaz de Lima42:002TFortaleza/CE32 - Mariano Vazquez6 - Carlos Emiliano Pereira"
Observações Eventuais
Nada houve
"Ocorrências / ObservaçõesNada houve.Motivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido a entrada da maca em campo para retirada de atletas, supostamente lesionados , substituições, reposição de bola e checagem (var). houve 1(um) minuto de silêncio antes do início do jogo em memória das vitimas de covid 19 e ao sr. alex ponciano e o sr. alano lemos saldanha.Observações EventuaisNada houveRelatório do AssistenteNada houve.SubstituiçõesTempo1T/2TEquipeEntrouSaiu+4:002TBotafogo/RJ5 - Luiz Otavio Alves Marcolino4 - Keisuke Honda15:002TFortaleza/CE57 - Yuri Cesar Santos de Oliveir...11 - Osvaldo Lourenco Filho15:002TFortaleza/CE9 - Wellington Pereira do Nascim...19 - Jose Edson Barros da Silva27:002TBotafogo/RJ17 - Luiz Fernando Moraes dos San...8 - Caio Alexandre Sousa E Silva42:002TFortaleza/CE30 - Bruno Ferreira Melo20 - Jose Romario Silva de Souza42:002TBotafogo/RJ19 - Rhuan da Silveira Castro7 - Luis Henrique Tomaz de Lima42:002TFortaleza/CE32 - Mariano Vazquez6 - Carlos Emiliano Pereira",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
+4:00,2T,Botafogo/RJ,5 - Luiz Otavio Alves Marcolino,4 - Keisuke Honda
15:00,2T,Fortaleza/CE,57 - Yuri Cesar Santos de Oliveir...,11 - Osvaldo Lourenco Filho
15:00,2T,Fortaleza/CE,9 - Wellington Pereira do Nascim...,19 - Jose Edson Barros da Silva
27:00,2T,Botafogo/RJ,17 - Luiz Fernando Moraes dos San...,8 - Caio Alexandre Sousa E Silva
42:00,2T,Fortaleza/CE,30 - Bruno Ferreira Melo,20 - Jose Romario Silva de Souza
42:00,2T,Botafogo/RJ,19 - Rhuan da Silveira Castro,7 - Luis Henrique Tomaz de Lima
42:00,2T,Fortaleza/CE,32 - Mariano Vazquez,6 - Carlos Emiliano Pereira
