"",,Arbitragem
Arbitro:,Fabricio Neves Correa (CBF-1 / RS),
Arbitro Assistente 1:,Jose Antônio Chaves Franco Filho (CBF-1 / RS),
Arbitro Assistente 2:,Roberto Soares dos Santos Junior (CBF-2 / AP),
Quarto Arbitro:,Mayron F dos Reis Novais (CBF-1 / MA),
Assessor:,Marcelo Bispo Nunes Filho (ASS / MA),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,19:20Atraso:,,Não Houve Entrada do mandante: 20:31,Atraso:,,Não Houve
Entrada do visitante:,19:19Atraso:,,Não Houve Entrada do visitante: 20:30,Atraso:,,Não Houve
Início 1o Tempo:,19:30 Atraso:,,Não Houve Início do 2o Tempo: 20:32,Atraso:,,Não Houve
Término do 1o Tempo:,20:17 Acréscimo:,,2 min Término do 2o Tempo: 21:34,Acréscimo:,,2 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 3 X 0,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,19:20,Atraso:,Não Houve Entrada do mandante:,20:31,Atraso:,Não Houve
Início 1o Tempo:,19:30,Atraso:,Não Houve,Início do 2o Tempo:,20:32,Atraso:,Não Houve
"",Relação de Jogadores,,
Sampaio Correa / MA,América / RN,,
Horário de Entrega da Relação de Jogadores: 18:25,Horário de Entrega da Relação de Jogadores: 18:27,,
No Apelido Nome Completo T/R P/A,CBF No Apelido Nome Completo,T/R P/A,CBF
1 Rodrigo Ra ... Rodrigo Ramos Massensini T P,135603 1 Fernando Fernando Henrique do...,T P,156439
2 Hilton Hilton Conceição de  ... T P,346926 2 Walber Walber da Silva Sous...,T P,173921
3 Paulo Sergio Paulo Sergio Marques ... T P,178927 3 Cleber Cleber Antonio de Ol...,T P,155544
4 Edimar Edimar de Oliveira M ... T P,185649 4 Roberto Roberto Dias Correia...,T P,295323
5 Jonas Jonas Gomes de Sousa T P,334490 5 Paulo Henr ... Paulo Henrique Soare...,T P,310698
6 Wilian Wilian Simoes T P,187522 6 Wanderson Wanderson Carvalho O...,T P,360298
7 Marcio Diogo Marcio Diogo Lobato  ... T P,161597 7 Dudu Carlos Eduardo Passo...,T P,161590
8 Uillian Uillian Correia Gran ... T P,180789 8 Jean Jean Cleber Santos d...,T P,291982
9 William William Gomes Martins T P,188113 9 Max Max Brendon Costa Pi...,T P,178836
10 Eloir Eloir Silva Moreira T P,184656 10 Jeferson Jeferson Rodrigues G...,T P,160843
11 Anderson Anderson Wanderllan  ... T P,183546 11 Pimpao Rodrigo Pimpao Vianna,T P,291732
12 Luiz Carlos Luiz Carlos Muller R P,143759 12 Valdemar Valdemar Pereira Junior,R P,180236
13 Mimica Ademilson Silva Marques R P,172741 13 Marcelinho Marcelo Ribeiro Santos,R P,292366
14 Paulo Paulo Ricardo Alves  ... R P,177727 14 Adalberto Adalberto Hilario Fe...,R P,165391
15 Luis Luis Arlindo de Jesu ... R P,139757 15 Thiago Cri ... Thiago Cristian Alve...,R P,186502
16 Marino Marino da Silva R P,341779 16 Daniel Maikel Daniel Costa,R P,175913
17 Cleiton Cleiton Cortes Souza R P,185401 17 Alfredo Alfredo Francisco Ma...,R P,298469
18 Waldir Waldir da Silva Filho R P,292182 18 Isac Isac Felix da Silva,R P,176302
19 Aloisio Aloisio Pereira Magnago R P,169861,,
20 Can Gladson do Nascimento R P,178848,,
21 David David Henrique Batista R P,292446,,
22 Valber Valber Mendes Ferreira R P,148584,,
"",,Comissão Técnica,
"",Sampaio Correa / MA,,América / RN
Tecnico:,Flavio José Araujo - 2000002298245,Tecnico:,Oliveira Dos Santos Lopes - 20080961236
Auxiliar Tecnico:,Francisco Hélio Alves Pinheiro - 2006029238676,Auxiliar Tecnico:,Orlando Gonçalves Junior - 002001
Medico:,André Luis Neves - 3527,Medico:,Marcio Cabral Fagundes Rego - 6574
Preparador Fisico:,Pedro Henrique Dos Santos - 1711,Preparador Fisico:,Roberto Farias Figueiredo - 004802
Massagista:,Manoel Haroldo Alves Da Silva - 906313988,Massagista:,Rennê Augustho Da Silveira Coutinho - 1690721
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
22:00,2T,10,NR,Eloir Silva Moreira,,Sampaio Correa/MA
37:00,2T,6,NR,Wilian Simoes,,Sampaio Correa/MA
45:00,2T,10,NR,Eloir Silva Moreira,,Sampaio Correa/MA
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
13:00,2T,América/RN,,15 - Thiago Cristian Alves de  ...,5 - Paulo Henrique Soares Per ...
17:00,2T,Sampaio Correa/MA,,20 - Gladson do Nascimento,7 - Marcio Diogo Lobato Rodri ...
23:00,2T,América/RN,,13 - Marcelo Ribeiro Santos,7 - Carlos Eduardo Passos Far ...
38:00,2T,América/RN,,18 - Isac Felix da Silva,10 - Jeferson Rodrigues Goncal ...
44:00,2T,Sampaio Correa/MA,,18 - Waldir da Silva Filho,11 - Anderson Wanderllan de Mo ...
45:00,2T,Sampaio Correa/MA,,16 - Marino da Silva,5 - Jonas Gomes de Sousa
