"",,Arbitragem
Arbitro:,Rodrigo Batista Raposo (AB / DF),
Arbitro Assistente 1:,Jose Reinaldo Nascimento Junior (CBF / DF),
Arbitro Assistente 2:,Leila Naiara Moreira da Cruz (CBF / DF),
Quarto Arbitro:,Jonathan Benkenstein Pinheiro (CD / RS),
Analista de Campo:,Alexandre Lourenço Barreto (CBF / RS),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,18:50Atraso:,,Não Houve Entrada do mandante: 20:01,Atraso:,,Não Houve
Entrada do visitante:,18:50Atraso:,,Não Houve Entrada do visitante: 20:02,Atraso:,,Não Houve
Início 1o Tempo:,19:00 Atraso:,,Não Houve Início do 2o Tempo: 20:04,Atraso:,,Não Houve
Término do 1o Tempo:,19:49 Acréscimo:,,4 min Término do 2o Tempo: 20:52,Acréscimo:,,3 min
Resultado do 1o Tempo: 1 X 0,,,Resultado Final: 3 X 0,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,18:50,Atraso:,Não Houve Entrada do mandante:,20:01,Atraso:,Não Houve
Início 1o Tempo:,19:00,Atraso:,Não Houve,Início do 2o Tempo:,20:04,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Eduardo,Eduardo Martini,T(g) P,133435,1,Wendel,Wendell Pericles Fer...,T(g) P,310072
"",Comissão Técnica
Brasil / RS,Vila Nova / GO
Treinador De GoleirosA:l ex Lessa Afonso - 341985040,Técnico: Hemerson Jose Maria - 2582106
Administrador: Armando Severo Desessards - 50958232091,Auxiliar Técnico: Emerson Pereira Nunes - 6070589
Auxiliar Técnico: Joao Francisco Beschorner - 48507105068,Médico: Rodrigo Brito - 29652
Auxiliar Técnico: Jose Ney Dutra Martins - 9024711633,Preparador Físico: Renan De Lima Pinto - 016070
Médico: Leandro Jose Reckers - 241166652,Massagista: Almir Carlos De Sousa - 1726310
Massagista: Paulo Sergio Goncalves Teixeira - 2,Preparador De GoleiroJu: arez Francisco Dos Santos - 2658586
Supervisor: Rafael Bengochea Maydana - 1183025076,
Técnico: Rogerio Garcia Zimermann - 8027081581,Gols
PrepTaeramdpoor Físico1: T/2JToao FrNaonciscoT BipeoschoNrnoemr e-  0d0o2 J8o89gador,Equipe
Prep4ar2a:d0o0r De Gole1irToA:l ex Le9ssa AfonNsRo - 60O66rl7a9n1d3o74 Francisco Pires Junior,Brasil/RS
26:00 2T 9 NR Orlando Francisco Pires Junior,Brasil/RS
+1 2T 10 FT Rafael Diniz Alves E Silva,Brasil/RS
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
+1:00,2T,Brasil/RS,,18 - Gustavo Saibt Martins,9 - Orlando Francisco Pires J ...
45:00,INT,Vila Nova/GO,,14 - Hugo Gomes dos Santos Sil ...,7 - Mateus Anderson Veloso So ...
29:00,1T,Brasil/RS,,17 - Marcio Augusto da Silva B ...,11 - Elias dos Santos Bueno
15:00,2T,Vila Nova/GO,,15 - Fernando Medeiros da Silv ...,9 - Marcos Paulo da Silva Per ...
31:00,2T,Vila Nova/GO,,17 - Vinicius Leite Silva,10 - Alan Cassio da Cruz
35:00,2T,Brasil/RS,,15 - Rogisvaldo Joao dos Santo ...,7 - Bruno Henrique Lopes
