"",,Arbitragem
Arbitro:,Marcelo de Lima Henrique (AB / RJ),
Arbitro Assistente 1:,Dibert Pedrosa Moises (AB / RJ),
Arbitro Assistente 2:,Wendel de Paiva Gouveia (AB / RJ),
Quarto Arbitro:,Antonio Marcio Teixeira da Silva (INT / MG),
Delegado Local:,Ernani Marcos do Carmo (CBF / ),
Analista de Campo:,Rogério Pereira da Costa (CBF / MG),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,21:23Atraso:,,Não Houve Entrada do mandante: 22:29,Atraso:,,Não Houve
Entrada do visitante:,21:23Atraso:,,Não Houve Entrada do visitante: 22:29,Atraso:,,Não Houve
Início 1o Tempo:,21:30 Atraso:,,Não Houve Início do 2o Tempo: 22:31,Atraso:,,Não Houve
Término do 1o Tempo:,22:16 Acréscimo:,,1 min Término do 2o Tempo: 23:20,Acréscimo:,,4 min
Resultado do 1o Tempo: 00 X 00,,,Resultado Final: 0 X 0,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,21:23,Atraso:,Não Houve Entrada do mandante:,22:29,Atraso:,Não Houve
Início 1o Tempo:,21:30,Atraso:,Não Houve,Início do 2o Tempo:,22:31,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,João Ricardo,Joao Ricardo Riedi,T(g) P,298660,1,Luiz Silva ...,Luiz Silva Filho,T(g) P,155426
"",,Comissão Técnica
"",América / MG,Criciúma / SC
Técnico:,Enderson Alves Moreira - MG487873,Auxiliar Técnico: Jose Carlos Marques Da Silva - 45662002053
Auxiliar Técnico:,Luiz Fernando Rosa Flores - 13282344,Preparador Físico: Luciano Ilha - 89402189068
Médico:,Cimar Eustáquio Marques Da Silva - 8712,Técnico: Luiz Carlos Coelho Winck - 38627426015
Preparador Físico:,Edy Carlos Toporowicz - 007447-G/PR,Treinador De GoleirosM: auricio Gustavo Tho Dacoregio - 99883597991
Massagista:,Silvio Junio Nunes Da Silva - MG 4761735,Médico: Raphael Villatore Dias - 2380824908
Preparador De GoleiroS:i lvio Siqueira Jardim - M3153303,,Massagista: Welliton Marcilio Martins - 906074908
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Não houve atraso. Acréscimos, devido a entrada da maca, para a retirada de atletas supostamente lesionados, reposição de bola e substituições.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu20:002TCriciúma/SC16 - Alexsandro Carvalho Lopes ...10 - Joao Henrique Lago Souza22:002TCriciúma/SC15 - Gustavo Bonatto Barreto7 - Ricardo Ribeiro de Lima24:002TAmérica/MG22 - Hugo da Silva Cabral23 - Renan Henrique Oliveira V ...31:002TAmérica/MG21 - Ruy Franco de Almeida Jun ...2 - Marcos Venancio de Albuqu ...37:002TCriciúma/SC14 - Caique Ferreira da Silva  ...9 - Lucas Vinicius Goncalves  ...41:002TAmérica/MG16 - Antonio Francisco Moura N ...10 - Matheus Leonardo Sales Ca ..."
"Motivo de atraso no início e/ou reinício, e de acréscimos:"
"Não houve atraso. Acréscimos, devido a entrada da maca, para a retirada de atletas supostamente lesionados, reposição de bola e substituições."
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Não houve atraso. Acréscimos, devido a entrada da maca, para a retirada de atletas supostamente lesionados, reposição de bola e substituições.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu20:002TCriciúma/SC16 - Alexsandro Carvalho Lopes ...10 - Joao Henrique Lago Souza22:002TCriciúma/SC15 - Gustavo Bonatto Barreto7 - Ricardo Ribeiro de Lima24:002TAmérica/MG22 - Hugo da Silva Cabral23 - Renan Henrique Oliveira V ...31:002TAmérica/MG21 - Ruy Franco de Almeida Jun ...2 - Marcos Venancio de Albuqu ...37:002TCriciúma/SC14 - Caique Ferreira da Silva  ...9 - Lucas Vinicius Goncalves  ...41:002TAmérica/MG16 - Antonio Francisco Moura N ...10 - Matheus Leonardo Sales Ca ...",,,,
Ocorrências / Observações,,,,
Nada houve de anormal,,,,
"Motivo de atraso no início e/ou reinício, e de acréscimos:",,,,
"Não houve atraso. Acréscimos, devido a entrada da maca, para a retirada de atletas supostamente lesionados, reposição de bola e substituições.",,,,
Observações Eventuais,,,,
NADA HOUVE DE ANORMAL,,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
20:00,2T,Criciúma/SC,16 - Alexsandro Carvalho Lopes ...,10 - Joao Henrique Lago Souza
22:00,2T,Criciúma/SC,15 - Gustavo Bonatto Barreto,7 - Ricardo Ribeiro de Lima
24:00,2T,América/MG,22 - Hugo da Silva Cabral,23 - Renan Henrique Oliveira V ...
31:00,2T,América/MG,21 - Ruy Franco de Almeida Jun ...,2 - Marcos Venancio de Albuqu ...
37:00,2T,Criciúma/SC,14 - Caique Ferreira da Silva  ...,9 - Lucas Vinicius Goncalves  ...
41:00,2T,América/MG,16 - Antonio Francisco Moura N ...,10 - Matheus Leonardo Sales Ca ...
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Não houve atraso. Acréscimos, devido a entrada da maca, para a retirada de atletas supostamente lesionados, reposição de bola e substituições.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu20:002TCriciúma/SC16 - Alexsandro Carvalho Lopes ...10 - Joao Henrique Lago Souza22:002TCriciúma/SC15 - Gustavo Bonatto Barreto7 - Ricardo Ribeiro de Lima24:002TAmérica/MG22 - Hugo da Silva Cabral23 - Renan Henrique Oliveira V ...31:002TAmérica/MG21 - Ruy Franco de Almeida Jun ...2 - Marcos Venancio de Albuqu ...37:002TCriciúma/SC14 - Caique Ferreira da Silva  ...9 - Lucas Vinicius Goncalves  ...41:002TAmérica/MG16 - Antonio Francisco Moura N ...10 - Matheus Leonardo Sales Ca ...",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
