Campeonato:,Campeonato Brasileiro - Série B/2020,,Rodada:,11
Jogo:,Chapecoense / SC X America / MG,,,
Data:,25/09/2020 Horário: 19:15 Estádio:,Índio Condá / Chapeco,,
"",Arbitragem
Arbitro:,Zandick Gondim Alves Junior (AB / RN)
Arbitro Assistente 1:,Jean Marcio dos Santos (AB / RN)
Arbitro Assistente 2:,Flavio Gomes Barroca (AB / RN)
Quarto Arbitro:,Evandro Tiago Bender (CD / SC)
Delegado Local:,Sidinei Dal Piva ( / )
Analista de Campo:,Marco Antônio Martins (CBF / SC)
"",,,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,,
Entrada do mandante:,19:07Atraso:,,2 min,Entrada do mandante: 20:14,,Atraso:,Não Houve
Entrada do visitante:,19:05Atraso:,,Não Houve,Entrada do visitante: 20:17,,Atraso:,4 min
Início 1o Tempo:,19:15Atraso:,,Não Houve,Início do 2o Tempo: 20:19,,Atraso:,2 min
Término do 1o Tempo:,20:02Acréscimo:,,2 min,Término do 2o Tempo: 21:08,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,Chapecoense / SC,,,,America / MG,,,
No,Apelido,Nome Completo,T/R,P/A,CBF No Apelido,Nome Completo T/R,,P/A,CBF
1,João Ricardo,Joao Ricardo Riedi,T(g),P,298660 1 Matheus,Matheus Fernando Cav ... T(g),,P,168926
3,Luiz,Luiz Otavio da Silva ...,T,P,335012 2 Diego,Diego Ferreira Matheus T,,P,318082
8,Denner,Denner Fernando Melz,T,P,502079 3 Messias,Messias Rodrigues da ... T,,P,381149
9,Anselmo RamonAnselmo Ramon Alves  ...,,T,P,182466 4 Eduardo,Eduardo Gabriel dos  ... T,,P,304071
18,Aylon,Aylon Darwin Tavella,T,P,355362 5 Ze Ricardo,Jose Ricardo Barbosa ... T,,P,358808
26,Anderson,Anderson Leite Morais,T,P,323184 7 Leo,Leonardo da Silva Passos T,,P,336999
28,Alan Ruschel,Alan Luciano Ruschel,T,P,187597 8 Juninho,Adilson dos Anjos Ol ... T,,P,337261
29,Willian,Willian Osmar de Oli ...,T,P,334881 9 Rodolfo,Rodolfo Jose da Silv ... T,,P,423003
30,Ezequiel,Ezequiel Jacinto de Biasi,T,P,302436 10 Felipe Aze ...,Felipe Azevedo dos Santos T,,P,175557
33,Joilson,Joilson de Jesus Dem ...,T,P,326727 11 Ale,Alexandre Egea T,,P,311988
94,Paulo,Paulo Roberto Moccelin,T,P,360467 16 Savio,Savio Antonio Alves T,,P,376801
98,Tiepo,Giovanni Silva Tiepo,R(g),P,365361 12 Airton,Airton Moraes Michellon R(g),,P,332840
4,Kadu,Ricardo Martins de Araujo,R,P,167600 6 Lucas,Lucas Luan Martins Pinto R,,P,540652
7,Thiago Rib ...,Thiago Ribeiro Cardoso,R,P,164974 14 Anderson S ...,Anderson de Jesus Santos R,,P,366405
10,Vinicius,Vinicius Farias Locatelli,R,P,465659 15 Rickson,Rickson Barbosa Sa d ... R,,P,317454
14,Bruno,Bruno da Silva Costa,R,P,509608 17 Marcelo Mi ...,Marcelo Aparecido Toscano R,,P,169747
15,Ronei,Ronei Gebing,R,P,443894 18 Guilherme,Guilherme Milhomem GusmaRo,,P,171975
19,Lucas Toca ...,Lucas Costa da Silva,R,P,430405 20 Geovane,Geovane Nascimento Silva R,,P,393447
21,Evandro,Evandro Goebel,R,P,160810 21 Ademir,Ademir da Silva Sant ... R,,P,438212
34,Derlan,Derlan de Oliveira Bento,R,P,310802 23 Neto Berola,Sosthenes Jose Santo ... R,,P,291855
36,Rafael,Rafael Lucas Cardoso ...,R,P,444618,,,,
77,Pedro,Pedro Henrique Perotti,R,P,419436,,,,
90,Busanello,Gabriel Dal Toe Busanello,R,P,439733,,,,
"",,Comissão Técnica,
"",Chapecoense / SC,,America / MG
Técnico:,Umberto Lourenco Louzer Filho,Técnico:,Luiz Carlos Cirne Lima De Lorenzi
Auxiliar Técnico:,Felipe Paiva Endres,Auxiliar Técnico:,Marcio Henrique Borges Hahn
Médico:,Carlos Henrique Mendonca Silva,Médico:,Afonso Rangel De Souza
Treinador De Goleiros:,Cezar Augusto Capelari,Treinador De Goleiros:,Marcos Paulo Gontijo Soares
Preparador Físico:,Marcelo Rohling,Preparador Físico:,Gerson Oliveira Rocha
Massagista:,Vilson Fragoso,Massagista:,Silvio Junio Nunes Da Silva
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
45:00,INT,America/MG,,21 - Ademir da Silva Santos Junior,10 - Felipe Azevedo dos Santos
25:00,1T,America/MG,,18 - Guilherme Milhomem Gusmao,9 - Rodolfo Jose da Silva Bardella
21:00,2T,America/MG,,23 - Sosthenes Jose Santos Salles,7 - Leonardo da Silva Passos
29:00,2T,Chapecoense/SC,,14 - Bruno da Silva Costa,18 - Aylon Darwin Tavella
35:00,2T,Chapecoense/SC,,21 - Evandro Goebel,8 - Denner Fernando Melz
41:00,2T,Chapecoense/SC,,7 - Thiago Ribeiro Cardoso,94 - Paulo Roberto Moccelin
41:00,2T,Chapecoense/SC,,77 - Pedro Henrique Perotti,9 - Anselmo Ramon Alves Herculano
