"",,Arbitragem
Arbitro:,Wagner Reway (ASP-FIFA / MT),
Arbitro Assistente 1:,Lincoln Ribeiro Taques (CBF-1 / MT),
Arbitro Assistente 2:,Ramires Santos Candido (CBF-1 / ES),
Quarto Arbitro:,Eduardo Cordeiro Guimaraes (CBF-2 / RJ),
Assessor:,Sergio Cristiano Nascimento (ASS / RJ),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,14:50Atraso:,,Não Houve Entrada do mandante: 16:00,Atraso:,,Não Houve
Entrada do visitante:,14:50Atraso:,,Não Houve Entrada do visitante: 16:00,Atraso:,,Não Houve
Início 1o Tempo:,15:00 Atraso:,,Não Houve Início do 2o Tempo: 16:02,Atraso:,,Não Houve
Término do 1o Tempo:,15:47 Acréscimo:,,2 min Término do 2o Tempo: 16:51,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,14:50,Atraso:,Não Houve Entrada do mandante:,16:00,Atraso:,Não Houve
Início 1o Tempo:,15:00,Atraso:,Não Houve,Início do 2o Tempo:,16:02,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Jonathan,Jonathan Ribeiro Louredo,T P,299473,1,Wanderson,Wanderson Ferreira d...,T P,133743
"",,Comissão Técnica,
"",Madureira / RJ,,Guarani / SP
Tecnico:,Leston Izaias Do Nascimento Junior - 8482644,Tecnico:,Evaristo De Toledo Piza - 200303521
Auxiliar Tecnico:,Alessandro Fahel Matos - 7211762,Auxiliar Tecnico:,Neri Caldeira Junior - 29084977-9
Medico:,Andre Luis Abrantes De Menezes - 5267792-2,Medico:,Andre Luis Abrantes De Menezes - 5267792-2/rj
Preparador Fisico:,Rodrigo Melo Da Silva - 074226-G,Preparador Fisico:,Thiago Gomes Vegette - 011694-g/sp
Massagista:,Paulo Adriano Da Silva - 062520432,Massagista:,Almir Ramos Da Silva - 13054093-6
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido retirada de atletas supostamente lesionados de campo e substituiçõesObservações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTMadureira/RJ17 - Carlos Alberto Rogger Dia ...7 - Evandro Teixeira Magalhae ...45:00INTGuarani/SP17 - Alexandre Capelin E Silva ...8 - Cassio Gabriel Vilela Fer ...28:002TMadureira/RJ20 - Rodrigo Cunha Pereira de  ...9 - Clebson Fontoura Souto28:002TGuarani/SP16 - Jose Ovidio Ramos Junior7 - Renan Carvalho Mota35:002TGuarani/SP18 - Jhon Adolfo Obregon Quino ...11 - Pedro Henrique de Souza C ...37:002TMadureira/RJ19 - Dairo Pinheiro Santana11 - Felipe Augusto Ferreira B ..."
"Motivo de atraso no início e/ou reinício, e de acréscimos:"
Acréscimos devido retirada de atletas supostamente lesionados de campo e substituições
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido retirada de atletas supostamente lesionados de campo e substituiçõesObservações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTMadureira/RJ17 - Carlos Alberto Rogger Dia ...7 - Evandro Teixeira Magalhae ...45:00INTGuarani/SP17 - Alexandre Capelin E Silva ...8 - Cassio Gabriel Vilela Fer ...28:002TMadureira/RJ20 - Rodrigo Cunha Pereira de  ...9 - Clebson Fontoura Souto28:002TGuarani/SP16 - Jose Ovidio Ramos Junior7 - Renan Carvalho Mota35:002TGuarani/SP18 - Jhon Adolfo Obregon Quino ...11 - Pedro Henrique de Souza C ...37:002TMadureira/RJ19 - Dairo Pinheiro Santana11 - Felipe Augusto Ferreira B ...",,,,
Ocorrências / Observações,,,,
Nada houve de anormal,,,,
"Motivo de atraso no início e/ou reinício, e de acréscimos:",,,,
Acréscimos devido retirada de atletas supostamente lesionados de campo e substituições,,,,
Observações Eventuais,,,,
NADA HOUVE DE ANORMAL,,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,Madureira/RJ,17 - Carlos Alberto Rogger Dia ...,7 - Evandro Teixeira Magalhae ...
45:00,INT,Guarani/SP,17 - Alexandre Capelin E Silva ...,8 - Cassio Gabriel Vilela Fer ...
28:00,2T,Madureira/RJ,20 - Rodrigo Cunha Pereira de  ...,9 - Clebson Fontoura Souto
28:00,2T,Guarani/SP,16 - Jose Ovidio Ramos Junior,7 - Renan Carvalho Mota
35:00,2T,Guarani/SP,18 - Jhon Adolfo Obregon Quino ...,11 - Pedro Henrique de Souza C ...
37:00,2T,Madureira/RJ,19 - Dairo Pinheiro Santana,11 - Felipe Augusto Ferreira B ...
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido retirada de atletas supostamente lesionados de campo e substituiçõesObservações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTMadureira/RJ17 - Carlos Alberto Rogger Dia ...7 - Evandro Teixeira Magalhae ...45:00INTGuarani/SP17 - Alexandre Capelin E Silva ...8 - Cassio Gabriel Vilela Fer ...28:002TMadureira/RJ20 - Rodrigo Cunha Pereira de  ...9 - Clebson Fontoura Souto28:002TGuarani/SP16 - Jose Ovidio Ramos Junior7 - Renan Carvalho Mota35:002TGuarani/SP18 - Jhon Adolfo Obregon Quino ...11 - Pedro Henrique de Souza C ...37:002TMadureira/RJ19 - Dairo Pinheiro Santana11 - Felipe Augusto Ferreira B ...",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,Madureira/RJ,17 - Carlos Alberto Rogger Dia ...,7 - Evandro Teixeira Magalhae ...
45:00,INT,Guarani/SP,17 - Alexandre Capelin E Silva ...,8 - Cassio Gabriel Vilela Fer ...
28:00,2T,Madureira/RJ,20 - Rodrigo Cunha Pereira de  ...,9 - Clebson Fontoura Souto
28:00,2T,Guarani/SP,16 - Jose Ovidio Ramos Junior,7 - Renan Carvalho Mota
35:00,2T,Guarani/SP,18 - Jhon Adolfo Obregon Quino ...,11 - Pedro Henrique de Souza C ...
37:00,2T,Madureira/RJ,19 - Dairo Pinheiro Santana,11 - Felipe Augusto Ferreira B ...
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos devido retirada de atletas supostamente lesionados de campo e substituiçõesObservações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTMadureira/RJ17 - Carlos Alberto Rogger Dia ...7 - Evandro Teixeira Magalhae ...45:00INTGuarani/SP17 - Alexandre Capelin E Silva ...8 - Cassio Gabriel Vilela Fer ...28:002TMadureira/RJ20 - Rodrigo Cunha Pereira de  ...9 - Clebson Fontoura Souto28:002TGuarani/SP16 - Jose Ovidio Ramos Junior7 - Renan Carvalho Mota35:002TGuarani/SP18 - Jhon Adolfo Obregon Quino ...11 - Pedro Henrique de Souza C ...37:002TMadureira/RJ19 - Dairo Pinheiro Santana11 - Felipe Augusto Ferreira B ..."
Observações Eventuais
NADA HOUVE DE ANORMAL
