"",,Arbitragem
Arbitro:,Alisson Sidnei Furtado (CBF-1 / TO),
Arbitro Assistente 1:,Fabio Pereira (MAST / TO),
Arbitro Assistente 2:,Natal da Silva Ramos Júnior (CBF-2 / TO),
Quarto Arbitro:,Katiucia da Mota Lima (ASP-FIFA / SP),
Assessor:,Gilberto Corrale (ASS / SP),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:20Atraso:,,Não Houve Entrada do mandante: 16:32,Atraso:,,Não Houve
Entrada do visitante:,15:20Atraso:,,Não Houve Entrada do visitante: 16:31,Atraso:,,Não Houve
Início 1o Tempo:,15:30 Atraso:,,Não Houve Início do 2o Tempo: 16:33,Atraso:,,Não Houve
Término do 1o Tempo:,16:18 Acréscimo:,,3 min Término do 2o Tempo: 17:22,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,Relação de Jogadores,,,
"",,Mogi Mirim / SP,,,Macaé / RJ,,
No,Apelido,Nome Completo,T/R P/A,CBF No Apelido,Nome Completo,T/R P/A,CBF
1,Gustavo,Gustavo Gomes da Silva T(g),P,186286 1 Milton,Milton Raphael Guima...,T(g) P,298748
2,Edvan,Edvan Franca de Moraes,T P,295795 2 dos Santos,Leonardo Santos do Vale,T P,189941
3,Henrique,Henrique Marcelino Motta,T P,187333 3 Matheus,Matheus Gomes Santos...,T P,310480
4,Gladstone,Gladstone Pereira De ...,T P,158421 4 Robinho,Robson Mauricio Mour...,T P,175123
5,Alan,Alan Girotto Mota,T P,182534 5 Tiago,Tiago de Souza Nasci...,T P,184800
6,Bruno Re,Bruno Re Sentoma,T P,295473 6 Guilherme,Guilherme dos Santos...,T P,324767
7,Edmar,Edmar dos Santos Oli ...,T P,174444 7 Fabinho,Fabio Almeida de Jesus,T P,168544
8,Café,Gilson de Jesus do N ...,T P,296072 8 Willean Be ...,Willean Bernardo Wil...,T P,447189
9,Ronieli,Ronieli Gomes dos Santos,T P,185467 9 Aperibe,Maycon Carvalho Inez,T P,175439
10,Carlos Alb ...,Carlos Alberto Rogge ...,T P,184989 10 Magnum,Magnum Rafael Farias...,T P,143402
11,Diego,Diego Jose Clementino,T P,153810 11 Ebert,Ebert Cardoso da Silva,T P,294228
12,William,William Fernando Nobre,R P,298782 12 Marcos,Marcos Danilo Ferraz...,R P,156525
13,Renato Cam ... Renato Bezerra Camilo,,R P,341125 13 Lucas,Lucas Goncalves Reis...,R P,321448
14,Paulao,Paulo Rogerio Rodrig ...,R P,163197 14 Nilo,Nilo Eduardo Rodrigu...,R P,292131
15,Murilo Fre ...,Murilo Henrique Frei ...,R P,181198 15 Matheus,Matheus Guimaraes do...,R P,379940
16,Danyel,Danyel Nunes da Silva,R P,336223 16 Juninho,Junio Cesar Arcanjo,R P,160706
17,Marlon,Marlon Luiz Lopes,R P,351619 17 Deivison,Deivison William Borges,R P,343887
18,Luan,Luan Cesar Messias,R P,351539 18 Bruno Luiz,Bruno Luiz de Almeid...,R P,159628
19,Jo,Joarlem Batista Santos,R P,402803 19 Luan,Luan Cristian Honori...,R P,522103
20,Paulo,Paulo de Souza Junior,R P,412193,,,
"",,Comissão Técnica
"",Mogi Mirim / SP,Macaé / RJ
Técnico:,Leston Izaias Do Nascimento Junior - 8482644,Técnico: Josué Amaral Teixeira - 340406 MD-RJ
Auxiliar Técnico:,Leonardo Devanir De Paula - 7479683,Auxiliar Técnico: José Carlos Macedo Dos Santos - 05165918-3
Médico:,Alexandre V. V. Carvalhal - 128984T-CRM,Médico: O Mesmo - .
Preparador Físico:,Gustavo Mendes Shiroma - 65854G-SP,Preparador Físico: Rafael Lima Rangel - 024073-G/SP
Massagista:,Marcus V. B. Do E. Santos - 377907145,Massagista: Alberto Guedes Da Costa - 08989848-0
Preparador De GoleiroD:o uglas Ramos De Paiva - 47580780,,Preparador De GoleiroH:e lton De Souza Gonçalves - 20128064-1
"Ocorrências / ObservaçõesInformo que não houve o pagamento das taxas, diárias e outras despesas do quarteto de arbitragem, delegado da partida, assessor dearbitragem e o motorista. comunico ainda que os recibos e demais documentos da partida foram colocados no envelope que seráencaminhado à cbf.informo que foi respeitado momento de silencio em homenagem póstuma ao senhor joão havelange.Motivo de atraso no início e/ou reinício, e de acréscimos:AVALIAÇÃO E RETIRADA DE ATLETAS SUPOSTAMENTE LESIONADOS; ATENDIMENTO AO GOLEIRO DO MACAE E SUBSTITUIÇÕES.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu04:001TMogi Mirim/SP19 - Joarlem Batista Santos9 - Ronieli Gomes dos Santos18:001TMogi Mirim/SP20 - Paulo de Souza Junior11 - Diego Jose Clementino22:002TMacaé/RJ16 - Junio Cesar Arcanjo10 - Magnum Rafael Farias Tava ...24:002TMacaé/RJ18 - Bruno Luiz de Almeida Rod ...9 - Maycon Carvalho Inez32:002TMogi Mirim/SP18 - Luan Cesar Messias5 - Alan Girotto Mota41:002TMacaé/RJ13 - Lucas Goncalves Reis Sant ...8 - Willean Bernardo Willemen ..."
Observações Eventuais
NADA HOUVE DE ANORMAL
"Ocorrências / ObservaçõesInformo que não houve o pagamento das taxas, diárias e outras despesas do quarteto de arbitragem, delegado da partida, assessor dearbitragem e o motorista. comunico ainda que os recibos e demais documentos da partida foram colocados no envelope que seráencaminhado à cbf.informo que foi respeitado momento de silencio em homenagem póstuma ao senhor joão havelange.Motivo de atraso no início e/ou reinício, e de acréscimos:AVALIAÇÃO E RETIRADA DE ATLETAS SUPOSTAMENTE LESIONADOS; ATENDIMENTO AO GOLEIRO DO MACAE E SUBSTITUIÇÕES.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu04:001TMogi Mirim/SP19 - Joarlem Batista Santos9 - Ronieli Gomes dos Santos18:001TMogi Mirim/SP20 - Paulo de Souza Junior11 - Diego Jose Clementino22:002TMacaé/RJ16 - Junio Cesar Arcanjo10 - Magnum Rafael Farias Tava ...24:002TMacaé/RJ18 - Bruno Luiz de Almeida Rod ...9 - Maycon Carvalho Inez32:002TMogi Mirim/SP18 - Luan Cesar Messias5 - Alan Girotto Mota41:002TMacaé/RJ13 - Lucas Goncalves Reis Sant ...8 - Willean Bernardo Willemen ...",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
04:00,1T,Mogi Mirim/SP,19 - Joarlem Batista Santos,9 - Ronieli Gomes dos Santos
18:00,1T,Mogi Mirim/SP,20 - Paulo de Souza Junior,11 - Diego Jose Clementino
22:00,2T,Macaé/RJ,16 - Junio Cesar Arcanjo,10 - Magnum Rafael Farias Tava ...
24:00,2T,Macaé/RJ,18 - Bruno Luiz de Almeida Rod ...,9 - Maycon Carvalho Inez
32:00,2T,Mogi Mirim/SP,18 - Luan Cesar Messias,5 - Alan Girotto Mota
41:00,2T,Macaé/RJ,13 - Lucas Goncalves Reis Sant ...,8 - Willean Bernardo Willemen ...
"Ocorrências / ObservaçõesInformo que não houve o pagamento das taxas, diárias e outras despesas do quarteto de arbitragem, delegado da partida, assessor dearbitragem e o motorista. comunico ainda que os recibos e demais documentos da partida foram colocados no envelope que seráencaminhado à cbf.informo que foi respeitado momento de silencio em homenagem póstuma ao senhor joão havelange.Motivo de atraso no início e/ou reinício, e de acréscimos:AVALIAÇÃO E RETIRADA DE ATLETAS SUPOSTAMENTE LESIONADOS; ATENDIMENTO AO GOLEIRO DO MACAE E SUBSTITUIÇÕES.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu04:001TMogi Mirim/SP19 - Joarlem Batista Santos9 - Ronieli Gomes dos Santos18:001TMogi Mirim/SP20 - Paulo de Souza Junior11 - Diego Jose Clementino22:002TMacaé/RJ16 - Junio Cesar Arcanjo10 - Magnum Rafael Farias Tava ...24:002TMacaé/RJ18 - Bruno Luiz de Almeida Rod ...9 - Maycon Carvalho Inez32:002TMogi Mirim/SP18 - Luan Cesar Messias5 - Alan Girotto Mota41:002TMacaé/RJ13 - Lucas Goncalves Reis Sant ...8 - Willean Bernardo Willemen ..."
Ocorrências / Observações
"Informo que não houve o pagamento das taxas, diárias e outras despesas do quarteto de arbitragem, delegado da partida, assessor de"
arbitragem e o motorista. comunico ainda que os recibos e demais documentos da partida foram colocados no envelope que será
encaminhado à cbf.
""
informo que foi respeitado momento de silencio em homenagem póstuma ao senhor joão havelange.
"Ocorrências / ObservaçõesInformo que não houve o pagamento das taxas, diárias e outras despesas do quarteto de arbitragem, delegado da partida, assessor dearbitragem e o motorista. comunico ainda que os recibos e demais documentos da partida foram colocados no envelope que seráencaminhado à cbf.informo que foi respeitado momento de silencio em homenagem póstuma ao senhor joão havelange.Motivo de atraso no início e/ou reinício, e de acréscimos:AVALIAÇÃO E RETIRADA DE ATLETAS SUPOSTAMENTE LESIONADOS; ATENDIMENTO AO GOLEIRO DO MACAE E SUBSTITUIÇÕES.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu04:001TMogi Mirim/SP19 - Joarlem Batista Santos9 - Ronieli Gomes dos Santos18:001TMogi Mirim/SP20 - Paulo de Souza Junior11 - Diego Jose Clementino22:002TMacaé/RJ16 - Junio Cesar Arcanjo10 - Magnum Rafael Farias Tava ...24:002TMacaé/RJ18 - Bruno Luiz de Almeida Rod ...9 - Maycon Carvalho Inez32:002TMogi Mirim/SP18 - Luan Cesar Messias5 - Alan Girotto Mota41:002TMacaé/RJ13 - Lucas Goncalves Reis Sant ...8 - Willean Bernardo Willemen ..."
"Motivo de atraso no início e/ou reinício, e de acréscimos:"
AVALIAÇÃO E RETIRADA DE ATLETAS SUPOSTAMENTE LESIONADOS; ATENDIMENTO AO GOLEIRO DO MACAE E SUBSTITUIÇÕES.
