"",,Arbitragem
Arbitro:,Marcio Henrique de Gois (CBF / SP),
Arbitro Assistente 1:,Fabio Rogerio Baesteiro (CBF / SP),
Arbitro Assistente 2:,Luiz Alberto Andrini Nogueira (CBF / SP),
Quarto Arbitro:,Rodrigo Gomes Paes Domingues (CBF / SP),
Assessor:,Gilberto Corrale (CBF / SP),
Delegado Local:,Joel Teixeira Caires (CBF / SP),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:20Atraso:,,Não Houve Entrada do mandante: 16:31,Atraso:,,Não Houve
Entrada do visitante:,15:19Atraso:,,Não Houve Entrada do visitante: 16:32,Atraso:,,Não Houve
Início 1o Tempo:,15:30 Atraso:,,Não Houve Início do 2o Tempo: 16:34,Atraso:,,Não Houve
Término do 1o Tempo:,16:19 Acréscimo:,,4 min Término do 2o Tempo: 17:23,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,Relação de Jogadores,,,
"",,Mogi Mirim / SP,,,São Bento / SP,,
No,Apelido,Nome Completo,T/R P/A,CBF No Apelido,Nome Completo T/R P/A,,CBF
1,Poti,Aparecido Jesus Flora,T(g) P,297440 1 Rodrigo,Rodrigo Viana Conceicao T(g),P,298952
2,Rodrigo,Rodrigo Ferreira da  ...,T P,406738 2 Muriel,Muriel Leite Magalhaes T,P,188557
3,Emerson,Emerson Feliciano de ...,T P,154197 3 Rafael,Rafael Tavares de So... T,P,176129
4,Henrique,Henrique Marcelino Motta,T P,187333 4 Joao Paulo,Joao Paulo Goncalves... T,P,161639
5,Vinicius,Vinicius Pereira Bor ...,T P,318000 5 Fábio Bahia,Fabio Junior Nascime... T,P,156835
6,Matheus,Matheus de Lima Oliveira,T A,387813 6 Marcelo,Marcelo Cordeiro de ... T,P,159612
7,Victor,Victor Hugo Coelho V ...,T P,300810 7 Caio,Caio Cezar Valerio R... T,P,340657
8,Regis,Regis dos Santos Silva,T P,188165 8 Felipe Man ...,Felipe Manoel Goncalves T,P,292320
9,Gustavo,Gustavo Vintecinco,T P,327271 9 Hudson,Hudson Ney Batista d... T,P,318788
10,Jefferson  ...,Jefferson Fernando I ...,T P,464377 10 Maicon,Maicon Souza de Jesus T,P,188294
11,Felipe de  ...,Felipe de Almeida Pe ...,T P,509872 11 Judson,Judson Augusto do Bo... T,P,292481
12,Jose Geraldo,Jose Geraldo de Souz ...,R P,308961 12 Matheus,Matheus Gomes Sanchez R,P,352611
13,Stefano,Stefano Sean de Sous ...,R A,435432 13 Lucas Mendes,Lucas Ferreira Mende... R,P,305809
14,Roni,Ronilson Joaquim dos ...,R A,541166 14 Rogério,Rogério Campos Nicolau R,P,172886
16,Sid,Sidlei Vieira Guimaraes,R A,530043 15 Muller,Mateus Muller de Sou... R,P,373728
"",,,,16 Leandro,Leandro Domingos de Melo R,P,163929
"",,,,17 Cassio,Cassio Gabriel Vilel... R,P,320834
"",,,,18 Matheus,Matheus Cardoso de Souza R,P,333800
"",,,,19 Everaldo,Everaldo Silva do Na... R,P,438556
"",,,,20 Anderson,Anderson Aparecido d... R,P,181490
"",,Comissão Técnica
"",Mogi Mirim / SP,São Bento / SP
Técnico:,Mário Martins Junior - 0094967791,Técnico: Paulo Roberto Dos Santos - 2653114
Auxiliar Técnico:,. - .,Auxiliar Técnico: Luiz Ronaldo Nunes Rangel - 026608737
Médico:,Pedro Henrique Perez Da Costa - 152137,Médico: Cassio Augusto De Mello Rusconi - 89272
Preparador Físico:,Gabriel Bonavena De Oliveira - 06593-G/SP,Preparador Físico: Renato Vinhas Antunes - 009932-G/RJ
Massagista:,Marcus Vinicius B. Do E. Santos - 377907145,Massagista: Maurício Ferreira Da Silva - 17721249
Preparador De Goleiro. :- .,,Preparador De GoleiroJe: an Carlos Garcia - 277138097
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
11:00,2T,São Bento/SP,18 - Matheus Cardoso de Souza,8 - Felipe Manoel Goncalves
11:00,2T,São Bento/SP,20 - Anderson Aparecido dos Sa ...,9 - Hudson Ney Batista da Sil ...
23:00,2T,São Bento/SP,19 - Everaldo Silva do Nascime ...,11 - Judson Augusto do Bonfim  ...
33:00,2T,Mogi Mirim/SP,13 - Stefano Sean de Sousa Men ...,10 - Jefferson Fernando Isidio ...
