"",,Arbitragem
Arbitro:,Italo Medeiros de Azevedo (AB / RN),
Arbitro Assistente 1:,Lorival Candido das Flores (CD / RN),
Arbitro Assistente 2:,Francisco Jailson Fernandes da Silva (CD / RN),
Quarto Arbitro:,Marco Aurelio Augusto Fazekas Ferreira (CD / MG),
Delegado Local:,Olavo Guilherme Ferreira (CBF / ),
Analista de Campo:,Joel Tolentino da Mata Junior (CBF / MG),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:48Atraso:,,Não Houve Entrada do mandante: 16:58,Atraso:,,Não Houve
Entrada do visitante:,15:48Atraso:,,Não Houve Entrada do visitante: 16:58,Atraso:,,Não Houve
Início 1o Tempo:,16:00 Atraso:,,Não Houve Início do 2o Tempo: 17:01,Atraso:,,Não Houve
Término do 1o Tempo:,16:46 Acréscimo:,,1 min Término do 2o Tempo: 17:51,Acréscimo:,,5 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 1 X 0,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,15:48,Atraso:,Não Houve Entrada do mandante:,16:58,Atraso:,Não Houve
Início 1o Tempo:,16:00,Atraso:,Não Houve,Início do 2o Tempo:,17:01,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Paulo,Paulo Henrique Alves ...,T(g) P,347014,1,Rodrigo,Rodrigo Viana Conceicao,T(g) P,298952
"",,Comissão Técnica
"",Tupi / MG,São Bento / SP
Técnico:,Ailton Dos Santos Ferraz - 88532712720,Técnico: Paulo Roberto Dos Santos - 2653114
Supervisor:,Altamiro Alexandre Lira Gomes - 4467631607,Auxiliar Técnico: Luiz Ronaldo Nunes Rangel - 026608737
Massagista:,Creso Heleno Cordeiro - 15750175634,Médico: Plinio Cesar Dios Cardoso - 69098
Médico:,Leonardo Fortuna Freguglia - 60388,Preparador Físico: Renato Vinhas Antunes - 009932
Preparador Físico:,Luis Augusto Alvim Alves - 15338,Massagista: Mauricio Ferreira Da Silva - 17721249
Auxiliar Técnico:,Ricardo Valerio Leao - 89206983687,Preparador De GoleiroJe: an Carlos Garga - 277138097
Treinador De GoleirosW: alker Campos Pinto - 728172674,,
Preparador De GoleiroW: alker Campos Pinto - 00728172674,,Gols
Tempo 1T/2T,No Tipo Nome do Jogador,Equipe
10:00 2T,6 NR Bruno Luiz dos Santos,Tupi/MG
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Acréscimo devido a reposição de bolas, substituições e entrada da maca para retirada de atletas supostamente lesionados.Observações EventuaisINFORMO QUE, DEVIDO A FALTA DE IMPRESSORA, A COMUNICAÇÃO DE PENALIDADES FOI ELABORADA MANUALMENTE.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTSão Bento/SP19 - Alvaro Andre Rodrigues da ...11 - Judson Augusto do Bonfim  ...11:002TTupi/MG18 - Flavio Henrique de Carval ...9 - Rafael Teixeira de Souza15:002TSão Bento/SP17 - Cassio Gabriel Vilela Fer ...5 - Fabio Junior Nascimento S ...22:002TTupi/MG17 - Marcio Amaral de Oliveira ...8 - Diego Luis Severino da Si ...25:002TSão Bento/SP15 - Mateus Muller de Souza Lo ...6 - Marcelo Cordeiro de Souza ...32:002TTupi/MG13 - Marcos Wilson da Silva2 - Patrick William Sa de Oli ..."
"Motivo de atraso no início e/ou reinício, e de acréscimos:"
"Acréscimo devido a reposição de bolas, substituições e entrada da maca para retirada de atletas supostamente lesionados."
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Acréscimo devido a reposição de bolas, substituições e entrada da maca para retirada de atletas supostamente lesionados.Observações EventuaisINFORMO QUE, DEVIDO A FALTA DE IMPRESSORA, A COMUNICAÇÃO DE PENALIDADES FOI ELABORADA MANUALMENTE.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTSão Bento/SP19 - Alvaro Andre Rodrigues da ...11 - Judson Augusto do Bonfim  ...11:002TTupi/MG18 - Flavio Henrique de Carval ...9 - Rafael Teixeira de Souza15:002TSão Bento/SP17 - Cassio Gabriel Vilela Fer ...5 - Fabio Junior Nascimento S ...22:002TTupi/MG17 - Marcio Amaral de Oliveira ...8 - Diego Luis Severino da Si ...25:002TSão Bento/SP15 - Mateus Muller de Souza Lo ...6 - Marcelo Cordeiro de Souza ...32:002TTupi/MG13 - Marcos Wilson da Silva2 - Patrick William Sa de Oli ...",,,,
Ocorrências / Observações,,,,
Nada houve de anormal,,,,
"Motivo de atraso no início e/ou reinício, e de acréscimos:",,,,
"Acréscimo devido a reposição de bolas, substituições e entrada da maca para retirada de atletas supostamente lesionados.",,,,
Observações Eventuais,,,,
"INFORMO QUE, DEVIDO A FALTA DE IMPRESSORA, A COMUNICAÇÃO DE PENALIDADES FOI ELABORADA MANUALMENTE.",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,São Bento/SP,19 - Alvaro Andre Rodrigues da ...,11 - Judson Augusto do Bonfim  ...
11:00,2T,Tupi/MG,18 - Flavio Henrique de Carval ...,9 - Rafael Teixeira de Souza
15:00,2T,São Bento/SP,17 - Cassio Gabriel Vilela Fer ...,5 - Fabio Junior Nascimento S ...
22:00,2T,Tupi/MG,17 - Marcio Amaral de Oliveira ...,8 - Diego Luis Severino da Si ...
25:00,2T,São Bento/SP,15 - Mateus Muller de Souza Lo ...,6 - Marcelo Cordeiro de Souza ...
32:00,2T,Tupi/MG,13 - Marcos Wilson da Silva,2 - Patrick William Sa de Oli ...
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Acréscimo devido a reposição de bolas, substituições e entrada da maca para retirada de atletas supostamente lesionados.Observações EventuaisINFORMO QUE, DEVIDO A FALTA DE IMPRESSORA, A COMUNICAÇÃO DE PENALIDADES FOI ELABORADA MANUALMENTE.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTSão Bento/SP19 - Alvaro Andre Rodrigues da ...11 - Judson Augusto do Bonfim  ...11:002TTupi/MG18 - Flavio Henrique de Carval ...9 - Rafael Teixeira de Souza15:002TSão Bento/SP17 - Cassio Gabriel Vilela Fer ...5 - Fabio Junior Nascimento S ...22:002TTupi/MG17 - Marcio Amaral de Oliveira ...8 - Diego Luis Severino da Si ...25:002TSão Bento/SP15 - Mateus Muller de Souza Lo ...6 - Marcelo Cordeiro de Souza ...32:002TTupi/MG13 - Marcos Wilson da Silva2 - Patrick William Sa de Oli ...",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,São Bento/SP,19 - Alvaro Andre Rodrigues da ...,11 - Judson Augusto do Bonfim  ...
