"",,Arbitragem
Arbitro:,Edivaldo Elias da Silva (CD / PR),
Arbitro Assistente 1:,Diego Grubba Schitkovski (CD / PR),
Arbitro Assistente 2:,Diogo Morais (CD / PR),
Quarto Arbitro:,Adriano de Assis Miranda (CD / SP),
Analista de Campo:,Philippe Lombard (CBF / SP),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:20Atraso:,,Não Houve Entrada do mandante: 16:31,Atraso:,,Não Houve
Entrada do visitante:,15:20Atraso:,,Não Houve Entrada do visitante: 16:30,Atraso:,,Não Houve
Início 1o Tempo:,15:30 Atraso:,,Não Houve Início do 2o Tempo: 16:33,Atraso:,,Não Houve
Término do 1o Tempo:,16:18 Acréscimo:,,3 min Término do 2o Tempo: 17:21,Acréscimo:,,3 min
Resultado do 1o Tempo: 1 X 0,,,Resultado Final: 2 X 0,,,
"",,,,Relação de Jogadores,,,
"",,Mogi Mirim / SP,,,Tupi / MG,,
No,Apelido,Nome Completo,T/R P/A,CBF No Apelido,Nome Completo,T/R P/A,CBF
1,Adilson,Adilson Aguero dos S ...,T(g) P,349146 1 Paulo,Paulo Henrique Alves...,T(g) P,347014
2,Rodrigo,Rodrigo Ferreira da  ...,T P,406738 2 Patrick,Patrick William Sa d...,T P,363866
3,Emerson,Emerson Feliciano de ...,T P,154197 3 Fernando,Fernando Fernandes R...,T P,307295
4,Vinicius,Vinicius Pereira Bor ...,T P,318000 4 Edmario,Edmario Miguel dos S...,T P,299727
5,Moradei,Daniel Moradei de Al ...,T P,169519 5 Bonilha,Wallace Bonilha Felix,T P,308548
6,Ewerton,Ewerton Nogueira Avila,T P,309941 6 Bruno Luiz,Bruno Luiz dos Santos,T P,185199
7,Victor,Victor Hugo Coelho V ...,T P,300810 7 Nenem,Marcel Costa de Souza,T P,179582
8,Regis,Regis dos Santos Silva,T P,188165 8 Diego,Diego Luis Severino ...,T P,333979
9,Gustavo,Gustavo Vintecinco,T P,327271 9 Rafael,Rafael Teixeira de Souza,T P,298740
10,Ivailson,Ivailson da Silva Ga ...,T P,338503 10 Andrey,Andrey Falinski Rodr...,T P,355847
11,Anderson,Anderson Indalencio  ...,T P,326257 11 Lucas Carv ...,Lucas Carvalho da Silva,T P,411414
12,Murilo,Paulo Murilo de Moraes,R(g) A,387783 12 Ricardo Vi ...,Ricardo Kaschensky Vilar,R(g) P,161666
13,Lucas,Lucas Garcia de Souza,R P,334201 13 Marcos,Marcos Wilson da Silva,R P,403127
14,Nichollas,Nichollas Barros Val ...,R P,308090 14 Johnathan,Johnathan Carlos Pereira,R P,346994
15,Ruster,Ruster Santos Dajuda,R P,386631 15 Faisca,Carlos Roberto de Al...,R P,186784
16,Welesson B ...,Welesson Barreto Borges,R P,459518 16 Luan,Luan Borges Machado ...,R P,334605
17,Felipe de  ...,Felipe de Almeida Pe ...,R P,509872 17 Marcio,Marcio Amaral de Oli...,R P,313066
18,Jefferson  ...,Jefferson Fernando I ...,R P,464377 18 Flávio,Flavio Henrique de C...,R P,181073
"",,,,19 Romarinho,Romario de Souza Far...,R P,349089
"",,,,20 Italo,Italo de Carvalho Ro...,R P,375401
"",,Comissão Técnica,
"",Mogi Mirim / SP,,Tupi / MG
Técnico:,Marcelo Castelo Veiga - 10760374-SP,Técnico: Ailton Dos Santos Ferraz - 054563333,
Auxiliar Técnico:,Sergio Ricardo Dos Santos - 119265540-SP,Supervisor: Altamiro Alexandre Lira Gomes - 4467631607,
Médico:,Alexandre V. V. Carvalhal - 128984-T,Massagista: Creso Heleno Cordeiro - 7726784,
Preparador Físico:,Gabriel Bonavena De Oliveira - 065953G-SP,Preparador Físico: Luis Augusto Alvim Alves - 15338-G/MG,
Massagista:,Marcus Vinicius Braga Do Espirito Santos - 377907145-SP Auxiliar Técnico:,Ricardo Valerio Leao - 4230721,
Preparador De GoleiroD:o uglas Ramos De Paiva - 47580780-SP,,Médico: Rodrigo Gonzalez Bocos - 169812,
"",,Preparador De Goleiro. :- .,
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
31:00,1T,2,PN,Rodrigo Ferreira da Silva,,Mogi Mirim/SP
39:00,2T,18,NR,Jefferson Fernando Isidio,,Mogi Mirim/SP
"Ocorrências / ObservaçõesInformo que a taxa de arbitragem, diária e transporte foi pago em cheque do banco 341 itau, agencia 1622 conta 3692-7 em nome de rosane lde araujo como segue:cheque numero 148 edivaldo elias da silvacheque numero 149 diego grubba schitkovskicheque numero 147 diogo moraischeque numero 157 adriano de assis mirandaMotivo de atraso no início e/ou reinício, e de acréscimos:ACRÉSCIMOS DEVIDO A SUBSTITUIÇÕES, ATENDIMENTO MÉDICO AOS ATLETAS E PARALISAÇÕES HAVIDAS.Observações EventuaisNADA HOUVE DE ANORMALRelatório do AssistenteNADA A RELATAR.SubstituiçõesTempo1T/2TEquipeEntrouSaiu11:002TTupi/MG18 - Flavio Henrique de Carval ...8 - Diego Luis Severino da Si ...18:002TMogi Mirim/SP18 - Jefferson Fernando Isidio ...10 - Ivailson da Silva Gabriel ...20:002TTupi/MG19 - Romario de Souza Faria Fi ...9 - Rafael Teixeira de Souza25:002TTupi/MG17 - Marcio Amaral de Oliveira ...11 - Lucas Carvalho da Silva33:002TMogi Mirim/SP16 - Welesson Barreto Borges9 - Gustavo Vintecinco41:002TMogi Mirim/SP13 - Lucas Garcia de Souza5 - Daniel Moradei de Almeida ..."
Observações Eventuais
NADA HOUVE DE ANORMAL
"Ocorrências / ObservaçõesInformo que a taxa de arbitragem, diária e transporte foi pago em cheque do banco 341 itau, agencia 1622 conta 3692-7 em nome de rosane lde araujo como segue:cheque numero 148 edivaldo elias da silvacheque numero 149 diego grubba schitkovskicheque numero 147 diogo moraischeque numero 157 adriano de assis mirandaMotivo de atraso no início e/ou reinício, e de acréscimos:ACRÉSCIMOS DEVIDO A SUBSTITUIÇÕES, ATENDIMENTO MÉDICO AOS ATLETAS E PARALISAÇÕES HAVIDAS.Observações EventuaisNADA HOUVE DE ANORMALRelatório do AssistenteNADA A RELATAR.SubstituiçõesTempo1T/2TEquipeEntrouSaiu11:002TTupi/MG18 - Flavio Henrique de Carval ...8 - Diego Luis Severino da Si ...18:002TMogi Mirim/SP18 - Jefferson Fernando Isidio ...10 - Ivailson da Silva Gabriel ...20:002TTupi/MG19 - Romario de Souza Faria Fi ...9 - Rafael Teixeira de Souza25:002TTupi/MG17 - Marcio Amaral de Oliveira ...11 - Lucas Carvalho da Silva33:002TMogi Mirim/SP16 - Welesson Barreto Borges9 - Gustavo Vintecinco41:002TMogi Mirim/SP13 - Lucas Garcia de Souza5 - Daniel Moradei de Almeida ...",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
11:00,2T,Tupi/MG,18 - Flavio Henrique de Carval ...,8 - Diego Luis Severino da Si ...
18:00,2T,Mogi Mirim/SP,18 - Jefferson Fernando Isidio ...,10 - Ivailson da Silva Gabriel ...
20:00,2T,Tupi/MG,19 - Romario de Souza Faria Fi ...,9 - Rafael Teixeira de Souza
25:00,2T,Tupi/MG,17 - Marcio Amaral de Oliveira ...,11 - Lucas Carvalho da Silva
33:00,2T,Mogi Mirim/SP,16 - Welesson Barreto Borges,9 - Gustavo Vintecinco
41:00,2T,Mogi Mirim/SP,13 - Lucas Garcia de Souza,5 - Daniel Moradei de Almeida ...
"Ocorrências / ObservaçõesInformo que a taxa de arbitragem, diária e transporte foi pago em cheque do banco 341 itau, agencia 1622 conta 3692-7 em nome de rosane lde araujo como segue:cheque numero 148 edivaldo elias da silvacheque numero 149 diego grubba schitkovskicheque numero 147 diogo moraischeque numero 157 adriano de assis mirandaMotivo de atraso no início e/ou reinício, e de acréscimos:ACRÉSCIMOS DEVIDO A SUBSTITUIÇÕES, ATENDIMENTO MÉDICO AOS ATLETAS E PARALISAÇÕES HAVIDAS.Observações EventuaisNADA HOUVE DE ANORMALRelatório do AssistenteNADA A RELATAR.SubstituiçõesTempo1T/2TEquipeEntrouSaiu11:002TTupi/MG18 - Flavio Henrique de Carval ...8 - Diego Luis Severino da Si ...18:002TMogi Mirim/SP18 - Jefferson Fernando Isidio ...10 - Ivailson da Silva Gabriel ...20:002TTupi/MG19 - Romario de Souza Faria Fi ...9 - Rafael Teixeira de Souza25:002TTupi/MG17 - Marcio Amaral de Oliveira ...11 - Lucas Carvalho da Silva33:002TMogi Mirim/SP16 - Welesson Barreto Borges9 - Gustavo Vintecinco41:002TMogi Mirim/SP13 - Lucas Garcia de Souza5 - Daniel Moradei de Almeida ...",,,,
Ocorrências / Observações,,,,
"Informo que a taxa de arbitragem, diária e transporte foi pago em cheque do banco 341 itau, agencia 1622 conta 3692-7 em nome de rosane l",,,,
de araujo como segue:,,,,
cheque numero 148 edivaldo elias da silva,,,,
cheque numero 149 diego grubba schitkovski,,,,
cheque numero 147 diogo morais,,,,
cheque numero 157 adriano de assis miranda,,,,
"Motivo de atraso no início e/ou reinício, e de acréscimos:",,,,
"ACRÉSCIMOS DEVIDO A SUBSTITUIÇÕES, ATENDIMENTO MÉDICO AOS ATLETAS E PARALISAÇÕES HAVIDAS.",,,,
Observações Eventuais,,,,
NADA HOUVE DE ANORMAL,,,,
Relatório do Assistente,,,,
NADA A RELATAR.,,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
11:00,2T,Tupi/MG,18 - Flavio Henrique de Carval ...,8 - Diego Luis Severino da Si ...
18:00,2T,Mogi Mirim/SP,18 - Jefferson Fernando Isidio ...,10 - Ivailson da Silva Gabriel ...
20:00,2T,Tupi/MG,19 - Romario de Souza Faria Fi ...,9 - Rafael Teixeira de Souza
25:00,2T,Tupi/MG,17 - Marcio Amaral de Oliveira ...,11 - Lucas Carvalho da Silva
33:00,2T,Mogi Mirim/SP,16 - Welesson Barreto Borges,9 - Gustavo Vintecinco
41:00,2T,Mogi Mirim/SP,13 - Lucas Garcia de Souza,5 - Daniel Moradei de Almeida ...
