Campeonato:,Campeonato Brasileiro - Série C/2018,,Rodada:,14
Jogo:,Remo / PA X Botafogo / PB,,,
Data:,14/07/2018 Horário: 17:00 Estádio:,Olímpico do Pará / Belem,,
"",Arbitragem
Arbitro:,Vinicius Gonçalves Dias Araujo (AB / SP)
Arbitro Assistente 1:,Herman Brumel Vani (AB / SP)
Arbitro Assistente 2:,Vitor Carmona Metestaine (AB / SP)
Quarto Arbitro:,Andrey da Silva E Silva (AB / PA)
Analista de Campo:,Lucio Ipojucan Ribeiro da Silva de Mattos (CBF / PA)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,16:50Atraso:,,Não Houve Entrada do mandante: 18:00,,Atraso:,Não Houve
Entrada do visitante:,16:50Atraso:,,Não Houve Entrada do visitante: 18:00,,Atraso:,Não Houve
Início 1o Tempo:,17:00Atraso:,,Não Houve Início do 2o Tempo: 18:03,,Atraso:,Não Houve
Término do 1o Tempo:,17:48Acréscimo:,,3 min Término do 2o Tempo: 18:53,Acréscimo:,,5 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,Remo / PA,,,,Botafogo / PB,,,
No,Apelido,Nome Completo T/R,,P/A,CBF No Apelido,Nome Completo T/R,,P/A,CBF
1,Vinicius,Damiao Vinicius Silv ... T(g),,P,165699 1 Saulo,Saulo Squarsone Rodr... T(g),,P,169020
2,Nininho,Salatiel Bartolomeu  ...,T,P,313712 3 Gladstone,Gladstone Pereira De... T,,P,158421
3,Mimica,Ademilson Silva Marques,T,P,172741 7 Clayton,Clayton da Rosa Peixoto T,,P,330413
4,Bruno,Bruno Goncalves Maia ...,T,P,183732 10 Marcos Aur ...,Marcos Aurelio de Ol... T,,P,166253
5,Dudu,Eduardo Henrique Sou ...,T,P,172851 15 Gedeilson,Gedeilson Vander Alv... T,,P,317361
6,Fernandes,Micerlanio Fernandes ...,T,P,161974 21 Junior Lopes,Lourival Junior de A... T,,P,168670
7,Gabriel,Gabriel Farias de Lima,T,P,539022 25 Juninho,Cicero Jose da Silva... T,,P,163793
8,Leandro Br ...,Leandro de Medeiros Silva,T,P,166249 30 Jatai,Rafael Fagundes Mariano T,,P,175008
9,Isac,Isac Felix da Silva,T,P,176302 32 Daniel,Daniel Rodrigues Nazare T,,P,336836
10,Rodrigo Silva,Rodrigo Souza Silva,T,P,168206 33 Rogerio,Rogerio Antonio Siqu... T,,P,177456
11,Esquerdinha,Gilvan Gomes Vieira,T,P,157314 35 Leandro,Leandro Araujo Kivel T,,P,158903
12,Douglas,Douglas Dias de Sousa R(g),,P,177953 12 Remerson,Remerson Cesar dos SantoRs(g),,P,178876
13,Pedro,Pedro Levy Pereira Paixao,R,P,182847 6 Fabio,Fabio Alves da Silva R,,P,187325
14,Lucas,Moises Lucas da Silv ...,R,P,350930 8 Dias,Allan Monteiro Dias R,,P,174353
15,Andre,Andre da Silva Carneiro,R,P,399717 9 Nando,Luis Fernando Batista R,,P,177626
16,Romario,Romario Sousa Martins,R,P,299811 14 Lula,Carlos Henrique dos ... R,,P,328778
17,Kevem,Kevem Lopes Botelho,R,P,582620 16 Humberto,Humberto Marques Saraiva R,,P,178915
18,Eliandro,Eliandro dos Santos  ...,R,P,185060 23 Jobinho,Jocenando Rocha RodriguesR,,P,174397
19,Ruan,Ruan Carlos Gomes Co ...,R,P,332261 34 Mario Sergio,Mario Sergio Pereira... R,,P,430175
20,Dudu,Luiz Eduardo Fleuri  ...,R,P,432058,,,,
21,Keoma,Keoma Lourenco da Si ...,R,P,516076,,,,
22,Bruno,Bruno Alves Gadelha,R,P,304173,,,,
25,Evandro,Evandro Cardoso de Sousa,R,P,166923,,,,
"",,Comissão Técnica,
"",Remo / PA,,Botafogo / PB
Auxiliar Técnico:,JOAO NASSER SIMAO NETO,Técnico:,EVARISTO DE TOLEDO PIZA
Médico:,JOSE CARLOS FREITAS MORAES,Auxiliar Técnico:,THIAGO CARPINI BARBOSA
Treinador De Goleiros:,JOSE CARLOS GONCALVES JUNIOR,Médico:,FABIO FARIAS DE LIMA
Preparador Físico:,ROBSON FABIO MELO SILVA,Treinador De Goleiros:,SILVANO DE MORAIS SILVA
Massagista:,JOSE HAMILTON OLIVEIRA DE JESUS,Preparador Físico:,CLAUDIO ROBERTO CREATTO
"",,Massagista:,ERMIRIO DE SOUZA LIMA FILHO
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
45:00,INT,Remo/PA,,19 - Ruan Carlos Gomes Costa da S...,6 - Micerlanio Fernandes da Silva
05:00,2T,Remo/PA,,18 - Eliandro dos Santos Gonzaga,19 - Ruan Carlos Gomes Costa da S...
16:00,2T,Botafogo/PB,,9 - Luis Fernando Batista,35 - Leandro Araujo Kivel
16:00,2T,Remo/PA,,15 - Andre da Silva Carneiro,9 - Isac Felix da Silva
16:00,2T,Botafogo/PB,,23 - Jocenando Rocha Rodrigues,7 - Clayton da Rosa Peixoto
26:00,2T,Botafogo/PB,,16 - Humberto Marques Saraiva,30 - Rafael Fagundes Mariano
