"",,Arbitragem
Arbitro:,Felipe Duarte Varejao (CBF-2 / ES),
Arbitro Assistente 1:,Fabiano da Silva Ramires (ESP-2 / ES),
Arbitro Assistente 2:,Vanderson Antonio Zanotti (CBF-1 / ES),
Quarto Arbitro:,Estevão Cunha da Trindade (CBF-2 / RJ),
Assessor:,Sergio de Oliveira Santos (ASS / RJ),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,14:55Atraso:,,Não Houve Entrada do mandante: 16:00,Atraso:,,Não Houve
Entrada do visitante:,14:52Atraso:,,Não Houve Entrada do visitante: 15:59,Atraso:,,Não Houve
Início 1o Tempo:,15:00 Atraso:,,Não Houve Início do 2o Tempo: 16:01,Atraso:,,Não Houve
Término do 1o Tempo:,15:46 Acréscimo:,,1 min Término do 2o Tempo: 16:49,Acréscimo:,,3 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,14:55,Atraso:,Não Houve Entrada do mandante:,16:00,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Dida,Abedias Rodrigues de ...,T P,148882,1,Matheus,Matheus Fernando Cav...,T P,168926
"",,Comissão Técnica
"",Boavista / RJ,Pelotas / RS
Tecnico:,Luiz Antônio Ferreira - CREF001749-G/RJ,Tecnico: Julio Cesar Camargo - 6017384261
Auxiliar Tecnico:,XxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxAxuxxxilxiaxrx xTxexcxnxixcxox:x x - XIXvaXmX XBXriXtoX SXoXaXreXsX  X- X8059251127,
Medico:,Leonardo Sturm - 52-74063-2,Medico: Xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx - XXXXXXXXXXXXXXX
Preparador Fisico:,Braulio Ferreira Pinheiro  - 3168G/RJ,Preparador Fisico: Luciano Ilha - 3901-G/RS
Massagista:,André Oliveira Amorim (fisioterapeuta) - CREFITO117609-FMassagista:,José Paulo De Lima Manso - 5027136562
"",,Comissão Técnica
"",Boavista / RJ,Pelotas / RS
Tecnico:,Luiz Antônio Ferreira - CREF001749-G/RJ,Tecnico: Julio Cesar Camargo - 6017384261
Auxiliar Tecnico:,XxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxAxuxxxilxiaxrx xTxexcxnxixcxox:x x - XIXvaXmX XBXriXtoX SXoXaXreXsX  X- X8059251127,
Medico:,Leonardo Sturm - 52-74063-2,Medico: Xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Preparador Fisico:,Braulio Ferreira Pinheiro  - 3168G/RJ,Preparador Fisico: Luciano Ilha - 3901-G/RS
Massagista:,André Oliveira Amorim (fisioterapeuta) - CREFITO117609-FMassagista:,José Paulo De Lima Manso - 5027136562
"",,Gols
NÃO HOUVE MARCADORES,,
"",,Cartões Amarelos
Tempo 1T/2T,No Nome do Jogador,Equipe
28:00 1T,6 Willian Marlon Ferreira Moraes,Boavista/RJ
"",Motivo: Por calçar seu adversário,
03:00 2T,8 Jonata Escobar,Pelotas/RS
"",Motivo: Retardar reinício da partida,
07:00 2T,11 Jhonatan da Silva Pereira,Pelotas/RS
"",Motivo: Calçar o adversário,
24:00 2T,19 Romulo Carvalho de Almeida,Boavista/RJ
"",Motivo: Por calçar seu adversário,
33:00 2T,16 Daniel Silva dos Santos,Boavista/RJ
"",Motivo: Por calçar seu adversário,
37:00 2T,5 Marcos Rogerio Oliveira Duarte,Pelotas/RS
"",Motivo: Discordar das marcações da arbitragem,
43:00 2T,10 Jefferson Luis Teixeira Silva,Pelotas/RS
"",Motivo: Calçar o adversário,
"",,Cartões Vermelhos
Tempo 1T/2T,No Nome do Jogador,
28:00 2T,19 Romulo Carvalho de Almeida - Boavista Sport Club (antigo Esporte Clube Barreira)/RJ,
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
24:00,1T,Pelotas/RS,,16 - Bruno Renan Trombelli,6 - Anderson Luis Domingos
16:00,2T,Boavista/RJ,,16 - Daniel Silva dos Santos,9 - Luiz Carlos Vieira Junior ...
22:00,2T,Boavista/RJ,,19 - Romulo Carvalho de Almeid ...,10 - Willian Bersan Sieiro
31:00,2T,Boavista/RJ,,14 - Leomir Silveira Constanci ...,5 - Weverton Pereira Honorio
32:00,2T,Pelotas/RS,,18 - Feliphe Ludtke de Bem,9 - Francisco das Chagas Soar ...
42:00,2T,Pelotas/RS,,17 - Willian Leandro,7 - Clayton Augusto Baldisser ...
