Campeonato:,Campeonato Brasileiro - Série D/2019,,Rodada:,Volta
Jogo:,América / RN X Bahia de Feira / BA,,,
Data:,18/05/2019 Horário: 17:00 Estádio:,Arena das Dunas / Natal,,
"",,Arbitragem
Arbitro:,Djalma Alves de Lima Filho (INT / PI),
Arbitro Assistente 1:,Thyago Costa Leitao (AB / PI),
Arbitro Assistente 2:,Mauro Cezar Evangelista de Sousa (AB / PI),
Quarto Arbitro:,Tarcisio Flores da Silva (CD / RN),
Analista de Campo:,Izac Marcio da Silva Oliveira (CBF / RN),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,16:49Atraso:,,Não Houve Entrada do mandante: 18:00,,Atraso:,Não Houve
Entrada do visitante:,16:50Atraso:,,Não Houve Entrada do visitante: 18:00,,Atraso:,Não Houve
Início 1o Tempo:,17:00Atraso:,,Não Houve Início do 2o Tempo: 18:03,,Atraso:,Não Houve
Término do 1o Tempo:,17:48Acréscimo:,,3 min Término do 2o Tempo: 18:53,Acréscimo:,,5 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,América / RN,,,,Bahia de Feira / BA,,,
No,Apelido,Nome Completo T/R,,P/A,CBF No Apelido,Nome Completo,T/R,P/A,CBF
1,Ewerton Fe ...,Ewerton Ferreira da Silva T(g),,P,507551 1 Jair,Jair Neilon da Silva,T(g),P,136474
2,Joazi,Joazi Oliveira da Silva T,,P,392907 2 Carlinhos,Carlos Ademir Santos ...,T,P,308061
3,Adriano,Adriano Alves dos Santos T,,P,154599 4 Paulo Paraiba,Paulo Roberto Timoso ...,T,P,177822
4,Alisson,Alisson Christhian Brand T,,P,303987 6 Josue,Josue de Oliveira Almeida,T,P,345227
5,Leandro,Leandro Domingos de Melo T,,P,163929 9 Deon,Jose Aldean Oliveira ...,T,P,177240
6,Kaike,Kaike Silva Mendes T,,P,379282 10 Jefferson,Jefferson Bruno Ferr ...,T,P,294494
7,Jean Patric,Jean Patric Lima dos Reis T,,P,462674 16 Ilson Cedric,Ilson Cedric Borges  ...,T,P,437380
8,Adenilson,Adenilson Martins do ... T,,P,366127 17 Cazumba,Alex dos Santos Cazumba,T,P,172555
9,Max,Max Brendon Costa Pi ... T,,P,178836 19 Capone,Leandro Xavier da Silva,T,P,176420
10,Roger,Roger Roberto dos Santos T,,P,172933 20 Ebinho,Jose Edipo Deodato d ...,T,P,295399
11,Adriano Pa ...,Antonio Adriano Antu ... T,,P,172563 22 Vitor,Vitor Hugo Goncalves,T,P,177464
12,Copetti,Rafael Copetti Fernandes R(g),,P,292051 12 Rodolfo,Rodolfo dos Santos d ...,R(g),P,293294
13,Alison,Alison Wagner Lira F ... R,,P,162004 3 Menezes,Antonio Santos Menezes,R,P,292117
14,GENINHO,Genisson Correia dos ... R,,P,340109 8 Jarbas,Jarbas Rodrigo Coelh ...,R,P,346572
15,Daniel,Daniel dos Santos de ... R,,P,435958 11 Matheus,Matheus Roberto dos  ...,R,P,384398
16,Jeffson,Jose Jeffson Cordeir ... R,,P,178383 14 Jadson,Wender Jadson Silva  ...,R,P,378939
17,Fabio,Fabio Goncalves de Souza R,,P,376499 15 Dionisio,Dionisio Pereira de  ...,R,P,350705
18,Claudio,Claudio Henrique da  ... R,,P,548382 21 Fabricio,Fabrício Nascimento  ...,R,P,536361
19,Hilton,Hilton Conceição de  ... R,,P,346926,,,,
20,Carlos,Luis Carlos dos Sant ... R,,P,429554,,,,
21,MIKA,Mikael Severo Burkatt R,,P,348458,,,,
31,Lucas,Lucas Gomes da Silva R,,P,403319,,,,
"",,Comissão Técnica,
"",América / RN,,Bahia de Feira / BA
Técnico:,Moacir Vieira Araujo Junior,Técnico:,Quintino Barbosa De Novaes Neto
Auxiliar Técnico:,Alexsander Nascif De Barros,Médico:,Aelson Moacir E Silva
Médico:,Marcos Cabral Fagundes Rego,Treinador De Goleiros:,Ivanilson Dos Santos
Treinador De Goleiros:,Rodrigo Gomes Das Neves,Preparador Físico:,Michel Pinheiro Santos
Preparador Físico:,Fabio Rangel Dos Santos,Massagista:,Pedro Vasconcelos Da Costa
Massagista:,Edcarlos Augusto Fernandes Da Silva,,
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
+1:00,2T,Bahia de Feira/BA,21 - Fabrício Nascimento dos San...,9 - Jose Aldean Oliveira de Jesus
45:00,INT,Bahia de Feira/BA,8 - Jarbas Rodrigo Coelho Lima,6 - Josue de Oliveira Almeida
15:00,2T,América/RN,19 - Hilton Conceição de Sousa,10 - Roger Roberto dos Santos
15:00,2T,Bahia de Feira/BA,11 - Matheus Roberto dos Santos,10 - Jefferson Bruno Ferreira dos...
27:00,2T,América/RN,21 - Mikael Severo Burkatt,9 - Max Brendon Costa Pinheiro
42:00,2T,América/RN,20 - Luis Carlos dos Santos Amorim,6 - Kaike Silva Mendes
