Campeonato:,Campeonato Brasileiro - Série D/2021,,,Rodada:,Volta
Jogo:,Bahia de Feira / BA X Itabaiana / SE,,,,
Data:,11/07/2021 Horário: 16:00 Estádio:,Professor Jodilton Souza,/ Feira de Santana,,
"",,Arbitragem
Arbitro:,Rejane Caetano da Silva (FIFA / RJ),
Arbitro Assistente 1:,Paulo de Tarso Bregalda Gussen (AB / BA),
Arbitro Assistente 2:,Wesley Silva Santos (CD / BA),
Quarto Arbitro:,Moises Ferreira Simao (CD / BA),
Analista de Campo:,Claudio Antônio Dias Aragão (CBF / BA),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:54Atraso:,,Não Houve Entrada do mandante: 17:01,,Atraso:,Não Houve
Entrada do visitante:,15:55Atraso:,,Não Houve Entrada do visitante: 17:02,,Atraso:,Não Houve
Início 1o Tempo:,16:00Atraso:,,Não Houve Início do 2o Tempo: 17:05,,Atraso:,Não Houve
Término do 1o Tempo:,16:50Acréscimo:,,05 min Término do 2o Tempo: 17:55,Acréscimo:,,05 min
Resultado do 1o Tempo: 0 X 1,,,Resultado Final: 0 X 1,,,
"",,,,,Relação de Jogadores,,,,
"",,Bahia de Feira / BA,,,Itabaiana / SE,,,,
No,Apelido,Nome Completo T/R,,P/A,CBF No Apelido Nome Completo T/R,,,P/A,CBF
1,ALAN,Alan Silva da Costa T(g),,P,639922 1 Jonathas Jonathas Bastos da Silva T(g),,,P,365522
3,Vital,Johnatan Lucas da Si ...,T,P,605729 2 Talles Talles Almeida Silva T,,,P,530443
4,Paulo Paraiba,Paulo Roberto Timoso ...,T,P,177822 3 Diego Bispo Diego Andrade Silva Bispo T,,,P,291647
5,Ricardo Sa ...,Ricardo Santana Silva,T,P,514269 4 Hugo Hugo Teixeira Santos T,,,P,177289
8,Diones,Diones Coelho da Costa,T,P,172714 5 Ramon Ramon da Silva Santos T,,,P,507648
9,Deon,Jose Aldean Oliveira ...,T,P,177240 7 Jacobina Edimar dos Santos T,,,P,179050
10,BRENO,Breno Caetano de Souza,T,P,692824 8 Batata Geovanio Santos de O ... T,,,P,341263
14,Jarbas,Jarbas Rodrigo Coelh ...,T,P,346572 10 Aurelio Aurelio Paulo Dias d ... T,,,P,332077
17,Cazumba,Alex dos Santos Cazumba,T,P,172555 11 CLEITON Cleiton da Conceicao ... T,,,P,628153
19,BRUNINHO,Jefferson Bruno Ferr ...,T,P,294494 20 Pedro Henr ... Pedro Henrique dos Santos T,,,P,545875
21,Thiaguinho,Thiago Dias da Silva ...,T,P,431004 21 Tessio Tessio Lucas Ferreir ... T,,,P,361925
12,João,Janilson Cabral da Paz R(g),,P,393603 22 Jose Victor Jose Victor das Mont ... R(g),,,P,508920
2,JONATHAN,Jonathan David Olive ...,R,P,657006 6 Rafael Rafael da Silva Chagas R,,,P,620732
6,Gabriel,Gabriel Matos Dourad ...,R,P,590926 9 THIAGO SANTOTShiago de Jesus Santos R,,,P,321122
7,Gabriel LUCAS Gabriel Pereira Lucas,,R,P,435793 13 Koffi Prosper Costa Koffi R,,,P,366270
11,Tico,Carlos Eduardo Basto ...,R,P,465642 14 Pinheiro Manoel Pinheiro do N ... R,,,P,409008
13,Jeferson,Jeferson Borges Carvalho,R,P,567495 15 Fabricio Fabricio Ramos da Silva R,,,P,322030
15,Tiago Jose ...,Tiago Jose Santos,R,P,459281 16 Soares Geovany dos Santos SoaresR,,,P,639230
16,Alessandro ...,Alessandro Miranda Santos,R,P,515378 17 Thiago Thiago Fagundes da S ... R,,,P,536267
18,Tiago,Tiago de Santana da Silva,R,P,531490 18 Carlos Carlos dos Santos Freitas R,,,P,358479
20,Edson,Edson dos Santos Reis,R,P,178301 19 Ila Willians Ferreira da ... R,,,P,167918
22,Newton,Newton Araujo da Cos ...,R,P,628110 23 Luis Luis Felipe Leal Dias R,,,P,538031
"",,Comissão Técnica,
"",Bahia de Feira / BA,,Itabaiana / SE
Técnico:,Oliveira Dos Santos Lopes,Técnico:,Evandro Braz Guimaraes
Assistente Técnico:,Luiz Vinicius Da Silva,Assistente Técnico:,Jose Ferreira Dos Santos
Médico:,Jose Gomes Muniz Filho,Médico:,Jose Humberto Martins
Treinador De Goleiros:,Victon Miller Rodrigues Dos Santos,Treinador De Goleiros:,Andre Godoi Da Silva
Preparador Físico:,Geraldo Horacio Lantyer Azevedo,Preparador Físico:,Hilario Teixeira De Melo Junior
Massagista:,Pedro Vasconcelos Da Costa,Massagista:,Edilson Gomes Da Silva
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
+2,1T,2,NR,Talles Almeida Silva,,Itabaiana/SE
"",,,,Cartões Vermelhos
Tempo 1T/2T,No,,Nome do Jogador,
33:00 2T,4,,Paulo Roberto Timoso dos Santos - Bahia de Feira/BA,
2o Cartão Amarelo,,,Motivo: V2.8.  Outro motivo (detalhar no campo expulsões) - Por tocar na bola com o braço  em posição antinatunal na disputa de bola,
"Ocorrências / ObservaçõesNada houve de anormal.Motivo de atraso no início e/ou reinício, e de acréscimos:Não houve atrasos, acréscimos devidos as substituições, entrada da maca em campo para retirada dos atletas possivelmente lesionados e reposição de bola emjogo. informo que foi obedecido um minuto de silencio em homenagem as vitimas do covid-19.Observações EventuaisNada houve de anormal.Relatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTBahia de Feira/BA15 - Tiago Jose Santos14 - Jarbas Rodrigo Coelho Lima45:00INTBahia de Feira/BA20 - Edson dos Santos Reis10 - Breno Caetano de Souza15:002TItabaiana/SE19 - Willians Ferreira da Silva11 - Cleiton da Conceicao Araujo21:002TItabaiana/SE13 - Prosper Costa Koffi10 - Aurelio Paulo Dias de Oliveira24:002TBahia de Feira/BA13 - Jeferson Borges Carvalho9 - Jose Aldean Oliveira de Jesus24:002TBahia de Feira/BA11 - Carlos Eduardo Bastos dos Sa...19 - Jefferson Bruno Ferreira dos...24:002TBahia de Feira/BA7 - Gabriel Pereira Lucas21 - Thiago Dias da Silva Martins41:002TItabaiana/SE14 - Manoel Pinheiro do Nasciment...2 - Talles Almeida Silva41:002TItabaiana/SE9 - Thiago de Jesus Santos20 - Pedro Henrique dos Santos"
Ocorrências / Observações
Nada houve de anormal.
"Ocorrências / ObservaçõesNada houve de anormal.Motivo de atraso no início e/ou reinício, e de acréscimos:Não houve atrasos, acréscimos devidos as substituições, entrada da maca em campo para retirada dos atletas possivelmente lesionados e reposição de bola emjogo. informo que foi obedecido um minuto de silencio em homenagem as vitimas do covid-19.Observações EventuaisNada houve de anormal.Relatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTBahia de Feira/BA15 - Tiago Jose Santos14 - Jarbas Rodrigo Coelho Lima45:00INTBahia de Feira/BA20 - Edson dos Santos Reis10 - Breno Caetano de Souza15:002TItabaiana/SE19 - Willians Ferreira da Silva11 - Cleiton da Conceicao Araujo21:002TItabaiana/SE13 - Prosper Costa Koffi10 - Aurelio Paulo Dias de Oliveira24:002TBahia de Feira/BA13 - Jeferson Borges Carvalho9 - Jose Aldean Oliveira de Jesus24:002TBahia de Feira/BA11 - Carlos Eduardo Bastos dos Sa...19 - Jefferson Bruno Ferreira dos...24:002TBahia de Feira/BA7 - Gabriel Pereira Lucas21 - Thiago Dias da Silva Martins41:002TItabaiana/SE14 - Manoel Pinheiro do Nasciment...2 - Talles Almeida Silva41:002TItabaiana/SE9 - Thiago de Jesus Santos20 - Pedro Henrique dos Santos"
Observações Eventuais
Nada houve de anormal.
"Ocorrências / ObservaçõesNada houve de anormal.Motivo de atraso no início e/ou reinício, e de acréscimos:Não houve atrasos, acréscimos devidos as substituições, entrada da maca em campo para retirada dos atletas possivelmente lesionados e reposição de bola emjogo. informo que foi obedecido um minuto de silencio em homenagem as vitimas do covid-19.Observações EventuaisNada houve de anormal.Relatório do AssistenteNada a relatar.SubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTBahia de Feira/BA15 - Tiago Jose Santos14 - Jarbas Rodrigo Coelho Lima45:00INTBahia de Feira/BA20 - Edson dos Santos Reis10 - Breno Caetano de Souza15:002TItabaiana/SE19 - Willians Ferreira da Silva11 - Cleiton da Conceicao Araujo21:002TItabaiana/SE13 - Prosper Costa Koffi10 - Aurelio Paulo Dias de Oliveira24:002TBahia de Feira/BA13 - Jeferson Borges Carvalho9 - Jose Aldean Oliveira de Jesus24:002TBahia de Feira/BA11 - Carlos Eduardo Bastos dos Sa...19 - Jefferson Bruno Ferreira dos...24:002TBahia de Feira/BA7 - Gabriel Pereira Lucas21 - Thiago Dias da Silva Martins41:002TItabaiana/SE14 - Manoel Pinheiro do Nasciment...2 - Talles Almeida Silva41:002TItabaiana/SE9 - Thiago de Jesus Santos20 - Pedro Henrique dos Santos",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,Bahia de Feira/BA,15 - Tiago Jose Santos,14 - Jarbas Rodrigo Coelho Lima
45:00,INT,Bahia de Feira/BA,20 - Edson dos Santos Reis,10 - Breno Caetano de Souza
15:00,2T,Itabaiana/SE,19 - Willians Ferreira da Silva,11 - Cleiton da Conceicao Araujo
21:00,2T,Itabaiana/SE,13 - Prosper Costa Koffi,10 - Aurelio Paulo Dias de Oliveira
