"",Arbitragem
Arbitro:,Emerson de Almeida Ferreira (ASP-FIFA / MG)
Arbitro Assistente 1:,Luiz Antonio Barbosa (CBF-2 / MG)
Arbitro Assistente 2:,Marconi Helbert Vieira (CBF-1 / MG)
Quarto Arbitro:,Igor Junio Benevenuto (ASP-FIFA / MG)
Inspetor:,Alexandre Lourenço Barreto (ASS / RS)
Delegado Local:,Pedro Ivo Siqueira de Belli (000 / )
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,18:20Atraso:,,Não Houve Entrada do mandante: 19:29,Atraso:,,Não Houve
Entrada do visitante:,18:20Atraso:,,Não Houve Entrada do visitante: 19:30,Atraso:,,Não Houve
Início 1o Tempo:,18:30 Atraso:,,Não Houve Início do 2o Tempo: 19:31,Atraso:,,Não Houve
Término do 1o Tempo:,19:16 Acréscimo:,,1 min Término do 2o Tempo: 20:21,Acréscimo:,,5 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,Relação de Jogadores,,,
"",,Grêmio / RS,,,Palmeiras / SP,,
No,Apelido,Nome Completo T/R P/A,,CBF No Apelido,Nome Completo,T/R P/A,CBF
1,M. Grohe,Marcelo Grohe T(g),P,168351 49 Jailson,Jailson Marcelino do...,T(g) P,153229
3,Geromel,Pedro Tonon Geromel T,P,165322 3 Edu Dracena,Eduardo Luis Abonizi...,T P,136752
4,Kannemann,Walter Kannemann T,P,554626 4 Vitor Hugo,Vitor Hugo Franchesc...,T P,300140
5,Walace,Walace Souza Silva T,P,387400 7 Dudu,Eduardo Pereira Rodr...,T P,291738
7,Luan,Luan Guilherme de Je ... T,P,409960 11 Ze Roberto,Jose Roberto da Silv...,T P,120815
10,Douglas,Douglas dos Santos T,P,146817 18 Gabriel,Gabriel Girotto Franco,T P,320839
23,Miller,Miler Alejandro Bola ... T,P,541503 21 Thiago San ...,Thiago dos Santos,T P,293712
25,Jailson,Jailson Marques Siqueira T,P,407095 23 Roger,Roger Krug Guedes,T P,389307
26,M. Oliveira,Marcelo Oliveira Fer ... T,P,172123 28 Mineiro,Moises Lima Magalhaes,T P,178704
32,Pedro Rocha,Pedro Rocha Neves T,P,379462 32 Danilo,Danilo Das Neves Pin...,T P,308348
33,Edilson,Edilson Mendes Guimaraes T,P,161745 33 Gabriel Je ...,Gabriel Fernando de ...,T P,431525
6,Fred,Frederico Burgel Xavier R,P,172404 2 Fabiano,Fabiano Leismann,R P,352647
14,Wallace Reis,Wallace Reis Silva R,P,166649 6 Egidio,Egidio de Araujo Per...,R P,157280
15,Rafael Thy ...,Rafael Thyere de Alb ... R,P,313474 8 Lucas Barr ...,Lucas Ramon Barrios,R P,532800
17,Ramiro,Ramiro Moschen Benetti R,P,295418 10 Cleiton Xa ...,Cleiton Ribeiro Xavier,R P,154144
27,Lincoln,Lincoln Henrique Oli ... R,P,421665 14 Erik,Erik Nascimento de Lima,R P,302795
28,Kaio,Kaio Silva Mendes R,P,359493 15 Agustin,Agustin Lionel Allione,R P,509926
29,Tilica,Leonardo Costa Silva R,P,345823 16 Fabricio,Fabricio dos Santos ...,R P,172408
30,Bruno Grassi,Bruno Medeiros Grassi R,P,172342 19 Rafael Mar ...,Rafael Marques Mariano,R P,158615
34,Iago,Iago Sampaio Silva R,P,308774 25 Vagner,Vagner Antonio Brand...,R P,191609
35,Batista,Matheus dos Santos B ... R,P,353511 27 Matheus,Matheus de Sales Cabral,R P,338849
38,Guilherme,Guilherme Augusto Vi ... R,P,410547 30 Leandro,Leandro Marcos Pereira,R P,306149
91,H. Almeida,Henrique Almeida Cai ... R,P,178303 31 Thiago,Thiago Martins Bueno,R P,353798
"",,Comissão Técnica
"",Grêmio / RS,Palmeiras / SP
Auxiliar Técnico:,James Francisco Freitas Iahnke - 056371,Técnico: Alexi Stival  - 3662038-2
Massagista:,Jose Fernandes Flores - 511231,Auxiliar Técnico: Avlamir Dirceo Stival - 5002651-5
Médico:,Marcio Augusto Bolzoni - 12567,Médico: Rubens Sampaio Neto - 70137
Técnico:,Roger Machado Marques - 056134,Preparador Físico: Jose Omar Alves Feitosa  - 001179-G/PR
Treinador De GoleirosR: ogerio Augusto Godoy Da Silva - 51650320000,,Massagista: Marcelo Massao Gondo  - 15880819-8
Preparador Físico:,Rogerio Dias Luiz - 003934-G/RS,Preparador De Goleiro--:-  - ---
Preparador De GoleiroR:o gerio Augusto Godoy Da Silva - 513012,,
"",,Gols
NÃO HOUVE MARCADORES,,
"",,Cartões Amarelos
Tempo 1T/2T,No Nome do Jogador,Equipe
16:00 2T,3 Eduardo Luis Abonizio de Souza,Palmeiras/SP
"",Motivo: A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Por calçar seu,
"",adversário de maneira temerária na disputa da bola.,
39:00 2T,18 Gabriel Girotto Franco,Palmeiras/SP
"",Motivo: A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Por calçar seu,
"",adversário de maneira temerária na disputa da bola.,
+04:00 2T,49 Jailson Marcelino dos Santos,Palmeiras/SP
"",Motivo: A3.4.  Retardar excessivamente a execução de um arremesso lateral ou tiro livre - Por retardar excessivamente a execução de,
"",um tiro de meta .,
06:00 2T,4 Walter Kannemann,Grêmio/RS
"",Motivo: A1.4.  Segurar um adversário por motivo tático para afastá-lo da bola - Por segurar seu adversário pela camisa impedindo um,
"",ataque promissor.,
09:00 2T,10 Douglas dos Santos,Grêmio/RS
"",Motivo: A2.1.  Reclamar / protestar (verbalmente ou por gestos) ostensiva e ofensivamente contra decisão da arbitragem. - Por,
"",reclamar ostensivamente  contra as marcações da arbitragem.,
15:00 2T,5 Walace Souza Silva,Grêmio/RS
"",Motivo: A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Por calçar seu,
"",adversário de maneira temerária na disputa da bola.,
36:00 1T,33 Edilson Mendes Guimaraes,Grêmio/RS
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
30:00,1T,Palmeiras/SP,19 - Rafael Marques Mariano,33 - Gabriel Fernando de Jesus ...
20:00,2T,Palmeiras/SP,10 - Cleiton Ribeiro Xavier,23 - Roger Krug Guedes
24:00,2T,Palmeiras/SP,8 - Lucas Ramon Barrios,28 - Moises Lima Magalhaes
26:00,2T,Grêmio/RS,17 - Ramiro Moschen Benetti,5 - Walace Souza Silva
34:00,2T,Grêmio/RS,38 - Guilherme Augusto Vieira  ...,32 - Pedro Rocha Neves
36:00,2T,Grêmio/RS,35 - Matheus dos Santos Batist ...,23 - Miler Alejandro Bolanos R ...
