"",Arbitragem
Arbitro:,Manoel Nunes Lopo Garrido (CBF-1 / BA)
Arbitro Assistente 1:,Lilian da Silva Fernandes Bruno (ESP-1 / RJ)
Arbitro Assistente 2:,Andrea I M Marcelino de Sa (CBF-1 / RJ)
Quarto Arbitro:,Geanderson da Conceição Godoi (CBF-2 / )
Assessor:,Jose Tarcisio Coelho (ASS / )
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,20:25Atraso:,,Não Houve Entrada do mandante: 21:30,Atraso:,,Não Houve
Entrada do visitante:,20:22Atraso:,,Não Houve Entrada do visitante: 21:31,Atraso:,,Não Houve
Início 1o Tempo:,20:30 Atraso:,,Não Houve Início do 2o Tempo: 21:32,Atraso:,,Não Houve
Término do 1o Tempo:,21:16 Acréscimo:,,1 min Término do 2o Tempo: 22:19,Acréscimo:,,2 min
Resultado do 1o Tempo: 1 X 0,,,Resultado Final: 1 X 0,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,20:25,Atraso:,Não Houve Entrada do mandante:,21:30,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Felipe Higo,Felipe Higo Guedes Bento,T P,167413,1,Bruno,Bruno de Carlo Fuso,T P,170161
"",,Comissão Técnica,
"",Desportiva / ES,,Abc / RN
Tecnico:,Eleomar Pereira - 784858,Tecnico:,Jose Roberto Fernandes Barros - 3701706
Auxiliar Tecnico:,******************** - ***********,Auxiliar Tecnico:,Miguel Luiz Muller - CREF 037200-P
Medico:,José Vasconcelos Lopes - 2829,Medico:,Fabio Pereira Freire - 5804
Preparador Fisico:,Wallace Pessanha - 3560,Preparador Fisico:,Ranielle Damasceno Ribeiro - 000442G
Massagista:,Isaias Da Penha - 1397856,Massagista:,Janilson Ribeiro Dos Santos - 713137
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
13:00,1T,6,NR,Wandecley de Assis Almeida,,Desportiva/ES
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRÉSCIMOS POR MOTIVO DE SUBSTITUIÇÕES E RETIRADA DE ATLETAS MACHUCADOS DE CAMPO.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu41:001TAbc/RN15 - Pablo Moises Barros Rodri ...9 - Lucio Flavio da Silva Oli ...12:002TDesportiva/ES16 - Marcio Luiz Leal de Almei ...10 - Dorielson Santana Meirell ...15:002TAbc/RN17 - Roberto Victor Silva de L ...3 - Marlon Ventura Rodrigues19:002TDesportiva/ES15 - Osvaldo Alves da Silva Fi ...9 - Hercules Cardoso Ottoni25:002TAbc/RN18 - Álvaro Felipe da Silva10 - Octavio Merlo Manteca25:002TDesportiva/ES13 - Renan Costa Ramos11 - Victor Neves Rangel"
"Motivo de atraso no início e/ou reinício, e de acréscimos:"
ACRÉSCIMOS POR MOTIVO DE SUBSTITUIÇÕES E RETIRADA DE ATLETAS MACHUCADOS DE CAMPO.
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRÉSCIMOS POR MOTIVO DE SUBSTITUIÇÕES E RETIRADA DE ATLETAS MACHUCADOS DE CAMPO.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu41:001TAbc/RN15 - Pablo Moises Barros Rodri ...9 - Lucio Flavio da Silva Oli ...12:002TDesportiva/ES16 - Marcio Luiz Leal de Almei ...10 - Dorielson Santana Meirell ...15:002TAbc/RN17 - Roberto Victor Silva de L ...3 - Marlon Ventura Rodrigues19:002TDesportiva/ES15 - Osvaldo Alves da Silva Fi ...9 - Hercules Cardoso Ottoni25:002TAbc/RN18 - Álvaro Felipe da Silva10 - Octavio Merlo Manteca25:002TDesportiva/ES13 - Renan Costa Ramos11 - Victor Neves Rangel",,,,
Ocorrências / Observações,,,,
Nada houve de anormal,,,,
"Motivo de atraso no início e/ou reinício, e de acréscimos:",,,,
ACRÉSCIMOS POR MOTIVO DE SUBSTITUIÇÕES E RETIRADA DE ATLETAS MACHUCADOS DE CAMPO.,,,,
Observações Eventuais,,,,
NADA HOUVE DE ANORMAL,,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
41:00,1T,Abc/RN,15 - Pablo Moises Barros Rodri ...,9 - Lucio Flavio da Silva Oli ...
12:00,2T,Desportiva/ES,16 - Marcio Luiz Leal de Almei ...,10 - Dorielson Santana Meirell ...
15:00,2T,Abc/RN,17 - Roberto Victor Silva de L ...,3 - Marlon Ventura Rodrigues
19:00,2T,Desportiva/ES,15 - Osvaldo Alves da Silva Fi ...,9 - Hercules Cardoso Ottoni
25:00,2T,Abc/RN,18 - Álvaro Felipe da Silva,10 - Octavio Merlo Manteca
25:00,2T,Desportiva/ES,13 - Renan Costa Ramos,11 - Victor Neves Rangel
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRÉSCIMOS POR MOTIVO DE SUBSTITUIÇÕES E RETIRADA DE ATLETAS MACHUCADOS DE CAMPO.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu41:001TAbc/RN15 - Pablo Moises Barros Rodri ...9 - Lucio Flavio da Silva Oli ...12:002TDesportiva/ES16 - Marcio Luiz Leal de Almei ...10 - Dorielson Santana Meirell ...15:002TAbc/RN17 - Roberto Victor Silva de L ...3 - Marlon Ventura Rodrigues19:002TDesportiva/ES15 - Osvaldo Alves da Silva Fi ...9 - Hercules Cardoso Ottoni25:002TAbc/RN18 - Álvaro Felipe da Silva10 - Octavio Merlo Manteca25:002TDesportiva/ES13 - Renan Costa Ramos11 - Victor Neves Rangel",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
41:00,1T,Abc/RN,15 - Pablo Moises Barros Rodri ...,9 - Lucio Flavio da Silva Oli ...
12:00,2T,Desportiva/ES,16 - Marcio Luiz Leal de Almei ...,10 - Dorielson Santana Meirell ...
15:00,2T,Abc/RN,17 - Roberto Victor Silva de L ...,3 - Marlon Ventura Rodrigues
19:00,2T,Desportiva/ES,15 - Osvaldo Alves da Silva Fi ...,9 - Hercules Cardoso Ottoni
25:00,2T,Abc/RN,18 - Álvaro Felipe da Silva,10 - Octavio Merlo Manteca
25:00,2T,Desportiva/ES,13 - Renan Costa Ramos,11 - Victor Neves Rangel
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRÉSCIMOS POR MOTIVO DE SUBSTITUIÇÕES E RETIRADA DE ATLETAS MACHUCADOS DE CAMPO.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu41:001TAbc/RN15 - Pablo Moises Barros Rodri ...9 - Lucio Flavio da Silva Oli ...12:002TDesportiva/ES16 - Marcio Luiz Leal de Almei ...10 - Dorielson Santana Meirell ...15:002TAbc/RN17 - Roberto Victor Silva de L ...3 - Marlon Ventura Rodrigues19:002TDesportiva/ES15 - Osvaldo Alves da Silva Fi ...9 - Hercules Cardoso Ottoni25:002TAbc/RN18 - Álvaro Felipe da Silva10 - Octavio Merlo Manteca25:002TDesportiva/ES13 - Renan Costa Ramos11 - Victor Neves Rangel"
Observações Eventuais
NADA HOUVE DE ANORMAL
