"",Arbitragem
Arbitro:,Italo Medeiros de Azevedo (CBF-1 / RN)
Arbitro Assistente 1:,Luis Carlos Camara Bezerra (CBF-1 / RN)
Arbitro Assistente 2:,Izac Marcio da Silva Oliveira (CBF-2 / RN)
Quarto Arbitro:,Caio Max Augusto Vieira (CBF-2 / RN)
Assessor:,Reinaldo Gomes de Paula (ASS / RN)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:59Atraso:,,Não Houve Entrada do mandante: 17:10,Atraso:,,Não Houve
Entrada do visitante:,15:59Atraso:,,Não Houve Entrada do visitante: 17:10,Atraso:,,Não Houve
Início 1o Tempo:,16:10 Atraso:,,Não Houve Início do 2o Tempo: 17:11,Atraso:,,Não Houve
Término do 1o Tempo:,16:56 Acréscimo:,,1 min Término do 2o Tempo: 17:59,Acréscimo:,,3 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,15:59,Atraso:,Não Houve Entrada do mandante:,17:10,Atraso:,Não Houve
Início 1o Tempo:,16:10,Atraso:,Não Houve,Início do 2o Tempo:,17:11,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Gilvan,Gilvan Ghidotti Firm ...,T P,139305,1,Andrey,Andrey Nazario Afonso,T P,146153
"",,Comissão Técnica,
"",Abc / RN,,América / RN
Tecnico:,Jose Teodoro Bomfim Queiroz - 1046316-GO,Tecnico:,Marcelo Martelotte - 13407709-SP
Auxiliar Tecnico:,Marcio Rocha - 051921-P/SP,Auxiliar Tecnico:,Antonio Carlos Ribeiro Junior - 37147-P/SP
Medico:,Roberto Vital - 1182,Medico:,Marcos Cabral Fagundes Rego - 5621
Preparador Fisico:,Ranielle Damasceno Ribeiro - 442-G/RN,Preparador Fisico:,Luis Fernando Goulart - 7361-G/RN
Massagista:,Janilson Ribeiro Dos Santos  - 713137-RN,Massagista:,Jose Thiago Gomes De Freitas - 2155402-RN
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRESCIMOS DEVIDO AS SUBSTITUIÇÕES E RETIRADA DE JOGADORES DE CAMPO PELA MACA.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu12:002TAmérica/RN16 - Wanderson Carvalho Olivei ...10 - Arthur Brasiliano Maia20:002TAbc/RN22 - Lucio Flavio da Silva Oli ...10 - Rogerio Miranda Silva20:002TAbc/RN21 - Cassio Luis Rissardo8 - Paulo Rogerio Reis Silva30:002TAmérica/RN20 - Maikel Daniel Costa7 - Fabio Goncalves32:002TAbc/RN20 - Jorge de Araujo Soares Ju ...11 - Joao Paulo da Silva Arauj ...36:002TAmérica/RN18 - Jean Cleber Santos da Sil ...8 - Lucivaldo Lazaro de Abreu ..."
"Motivo de atraso no início e/ou reinício, e de acréscimos:"
ACRESCIMOS DEVIDO AS SUBSTITUIÇÕES E RETIRADA DE JOGADORES DE CAMPO PELA MACA.
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRESCIMOS DEVIDO AS SUBSTITUIÇÕES E RETIRADA DE JOGADORES DE CAMPO PELA MACA.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu12:002TAmérica/RN16 - Wanderson Carvalho Olivei ...10 - Arthur Brasiliano Maia20:002TAbc/RN22 - Lucio Flavio da Silva Oli ...10 - Rogerio Miranda Silva20:002TAbc/RN21 - Cassio Luis Rissardo8 - Paulo Rogerio Reis Silva30:002TAmérica/RN20 - Maikel Daniel Costa7 - Fabio Goncalves32:002TAbc/RN20 - Jorge de Araujo Soares Ju ...11 - Joao Paulo da Silva Arauj ...36:002TAmérica/RN18 - Jean Cleber Santos da Sil ...8 - Lucivaldo Lazaro de Abreu ...",,,,
Ocorrências / Observações,,,,
Nada houve de anormal,,,,
"Motivo de atraso no início e/ou reinício, e de acréscimos:",,,,
ACRESCIMOS DEVIDO AS SUBSTITUIÇÕES E RETIRADA DE JOGADORES DE CAMPO PELA MACA.,,,,
Observações Eventuais,,,,
NADA HOUVE DE ANORMAL,,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
12:00,2T,América/RN,16 - Wanderson Carvalho Olivei ...,10 - Arthur Brasiliano Maia
20:00,2T,Abc/RN,22 - Lucio Flavio da Silva Oli ...,10 - Rogerio Miranda Silva
20:00,2T,Abc/RN,21 - Cassio Luis Rissardo,8 - Paulo Rogerio Reis Silva
30:00,2T,América/RN,20 - Maikel Daniel Costa,7 - Fabio Goncalves
32:00,2T,Abc/RN,20 - Jorge de Araujo Soares Ju ...,11 - Joao Paulo da Silva Arauj ...
36:00,2T,América/RN,18 - Jean Cleber Santos da Sil ...,8 - Lucivaldo Lazaro de Abreu ...
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRESCIMOS DEVIDO AS SUBSTITUIÇÕES E RETIRADA DE JOGADORES DE CAMPO PELA MACA.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu12:002TAmérica/RN16 - Wanderson Carvalho Olivei ...10 - Arthur Brasiliano Maia20:002TAbc/RN22 - Lucio Flavio da Silva Oli ...10 - Rogerio Miranda Silva20:002TAbc/RN21 - Cassio Luis Rissardo8 - Paulo Rogerio Reis Silva30:002TAmérica/RN20 - Maikel Daniel Costa7 - Fabio Goncalves32:002TAbc/RN20 - Jorge de Araujo Soares Ju ...11 - Joao Paulo da Silva Arauj ...36:002TAmérica/RN18 - Jean Cleber Santos da Sil ...8 - Lucivaldo Lazaro de Abreu ...",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
12:00,2T,América/RN,16 - Wanderson Carvalho Olivei ...,10 - Arthur Brasiliano Maia
20:00,2T,Abc/RN,22 - Lucio Flavio da Silva Oli ...,10 - Rogerio Miranda Silva
20:00,2T,Abc/RN,21 - Cassio Luis Rissardo,8 - Paulo Rogerio Reis Silva
30:00,2T,América/RN,20 - Maikel Daniel Costa,7 - Fabio Goncalves
32:00,2T,Abc/RN,20 - Jorge de Araujo Soares Ju ...,11 - Joao Paulo da Silva Arauj ...
36:00,2T,América/RN,18 - Jean Cleber Santos da Sil ...,8 - Lucivaldo Lazaro de Abreu ...
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:ACRESCIMOS DEVIDO AS SUBSTITUIÇÕES E RETIRADA DE JOGADORES DE CAMPO PELA MACA.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu12:002TAmérica/RN16 - Wanderson Carvalho Olivei ...10 - Arthur Brasiliano Maia20:002TAbc/RN22 - Lucio Flavio da Silva Oli ...10 - Rogerio Miranda Silva20:002TAbc/RN21 - Cassio Luis Rissardo8 - Paulo Rogerio Reis Silva30:002TAmérica/RN20 - Maikel Daniel Costa7 - Fabio Goncalves32:002TAbc/RN20 - Jorge de Araujo Soares Ju ...11 - Joao Paulo da Silva Arauj ...36:002TAmérica/RN18 - Jean Cleber Santos da Sil ...8 - Lucivaldo Lazaro de Abreu ..."
Observações Eventuais
NADA HOUVE DE ANORMAL
