"",Arbitragem
Arbitro:,Fledes Rodrigues Santos (CBF-1 / RO)
Arbitro Assistente 1:,Arnildo Lino dos Santos (CBF-2 / RO)
Arbitro Assistente 2:,Jonathan Antero Silva (CBF-2 / RO)
Quarto Arbitro:,Fabio Santos de Santana (CBF-2 / AC)
Assessor:,Rodomilson Lucas de Lima (ASS / AC)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,19:19Atraso:,,Não Houve Entrada do mandante: 20:24,Atraso:,,Não Houve
Entrada do visitante:,19:20Atraso:,,Não Houve Entrada do visitante: 20:27,Atraso:,,1 min
Início 1o Tempo:,19:30 Atraso:,,Não Houve Início do 2o Tempo: 20:28,Atraso:,,1 min
Término do 1o Tempo:,20:17 Acréscimo:,,2 min Término do 2o Tempo: 21:18,Acréscimo:,,5 min
Resultado do 1o Tempo: 0 X 1,,,Resultado Final: 0 X 1,,,
"",,,,Relação de Jogadores,,
"",,Atlético / AC,,,Real Noroeste Capixaba / ES,
No,Apelido,Nome Completo,T/R P/A,CBF No Apelido,Nome Completo T/R P/A,CBF
1,Douglas,Douglas dos Santos M ...,T P,173599 1 Harrison,Harrison Rodrigues d... T P,359929
2,Januário,Rogério Carriço Januário,T P,342228 2 Arlindo,Arlindo Pancieri Netto T P,178037
3,Ceildo,Alceildo Souza do Na ...,T P,293951 3 Jeferson,Jeferson Silva dos S... T P,342430
4,Zidane,Izane Silva de Morais,T P,179519 4 Suchi,Danilo Bigasz T P,187371
5,Wilson,Wilson Freire de Melo,T P,163274 5 Wanderson,Wanderson Ernesto No... T P,358944
6,Esquerdinha,Jeverson Paulo Moura ...,T P,177820 6 Pedrinho,Pedro Henrique Ferre... T P,179409
7,Morais,Ajaciel da Silva Moraes,T P,293946 7 Waltair,Waltair Freitas de L... T P,176638
8,Valtenir,Valtenir Ferreira de ...,T P,157220 8 Marcio Luiz,Marcio Luiz Leal de ... T P,307300
9,Ailton,Ailton Oliveira da Silva,T P,174020 9 Sidevaldo  ...,Sidevaldo Pereira do... T P,460534
10,Testinha,Djames Nascimento da ...,T P,132067 10 Iverton,Iverton Paes T P,149075
11,Eduardo,Eduardo Amancio Alve ...,T P,308668 11 Marcio,Marcio Roberto Valen... T P,186431
12,Cledioneide,Cledioneide Fernande ...,R P,309047 12 Marcao,Marcos Antonio Corsi... R P,177927
13,Antonio Ma ...,Antonio Marcos Rodri ...,R P,179335 13 Sebastian,Sebastian Gonzaga Ri... R P,309769
14,Daniego de ...,Daniego de Matos Silva,R P,461401 14 Fabio,Fabio Junior Vieira R P,131149
15,Gustavo,Gustavo Augusto dos  ...,R P,308255 15 Mirim,Frank da Silva Batista R P,168228
16,Josa,Josue Silva dos Santos,R P,175137 16 Alcenil,Alcenil Soares Filho R P,154372
17,Sandro,Adessandro Dinamark  ...,R P,186755 17 Gustavo,Gustavo Henrique Amaral R P,352966
18,Júnior,Júnior da Silva Trag ...,R P,340929 18 Stenio,Stenio Garcia Dutra R P,401735
19,Marinho,Ricky Oliveira de Souza,R P,158672,,
20,João Paulo,Joao Paulo Lourenco  ...,R P,141083,,
21,Sávio,Sávio Souza Alves,R P,415339,,
22,William,William Gomes da Silva,R P,522047,,
"",,Comissão Técnica,
"",Atlético / AC,,Real Noroeste Capixaba / ES
Tecnico:,Gilmar Salescrmento - 116736 SSP/AC,Tecnico:,Vagner Roberto Oliveira  - 12371 CREF / MG
Auxiliar Tecnico:,Não Houve - XXXXXX,Auxiliar Tecnico:,Não Houve - XXXXXXX
Medico:,Nilson Gomes De Farias Junior - 876 CRMAC,Medico:,Não Houve - XXXXXX
Preparador Fisico:,Afonso Alves Da Silva - 000047 - G AC,Preparador Fisico:,Leandro Pereira Neto - 3483 -G / GO
Massagista:,Raimundo Florencio Ribeiro - 101560 SSP/AC,Massagista:,Domingo Souza Barcelos - 486050 - ES
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
39:00,1T,9,NR,Sidevaldo Pereira dos Santos,,Real Noroeste Capixaba/ES
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
45:00,INT,Atlético/AC,,15 - Gustavo Augusto dos Santo ...,7 - Ajaciel da Silva Moraes
14:00,2T,Atlético/AC,,13 - Antonio Marcos Rodrigues  ...,6 - Jeverson Paulo Moura dos  ...
15:00,2T,Real Noroeste Capixaba/ES,,16 - Alcenil Soares Filho,10 - Iverton Paes
25:00,2T,Real Noroeste Capixaba/ES,,18 - Stenio Garcia Dutra,11 - Marcio Roberto Valentim B ...
29:00,2T,Atlético/AC,,18 - Júnior da Silva Tragodara ...,2 - Rogério Carriço Januário
41:00,2T,Real Noroeste Capixaba/ES,,15 - Frank da Silva Batista,5 - Wanderson Ernesto Nogueir ...
