"",Arbitragem
Arbitro:,Zandick Gondim Alves Junior (CBF-2 / RN)
Arbitro Assistente 1:,Flavio Gomes Barroca (CBF-1 / RN)
Arbitro Assistente 2:,Vinicius Melo de Lima (CBF-2 / RN)
Quarto Arbitro:,Leandro Saraiva Dantas de Oliveira (CBF-2 / RN)
Assessor:,Aldeilma Luzia da Silva (000 / RN)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,18:50Atraso:,,Não Houve Entrada do mandante: 19:59,Atraso:,,Não Houve
Entrada do visitante:,18:50Atraso:,,Não Houve Entrada do visitante: 19:59,Atraso:,,Não Houve
Início 1o Tempo:,19:00 Atraso:,,Não Houve Início do 2o Tempo: 20:01,Atraso:,,Não Houve
Término do 1o Tempo:,19:47 Acréscimo:,,2 min Término do 2o Tempo: 20:51,Acréscimo:,,5 min
Resultado do 1o Tempo: 1 X 0,,,Resultado Final: 1 X 0,,,
"",,,,Relação de Jogadores,,,
"",,América / RN,,,Abc / RN,,
No,Apelido,Nome Completo T/R P/A,,CBF No Apelido,Nome Completo,T/R P/A,CBF
1,Daniel,Daniel Martins Guimaraes,T P,174365 1 Vanailson,Vanailson Luciano de...,T P,190231
2,Gustavo,Gustavo Henrique Gom ...,T P,186804 2 Filipi,Filipi de Souza Barros,T P,176655
3,Everton,Everton Silva de Castro,T P,367072 3 Bastos,Gustavo Nascimento B...,T P,161673
4,Nininho,Richardson Jussier M ...,T P,297954 4 Leonardo,Leonardo Fortunato d...,T P,155864
5,Emerson,Emerson Gomes de Moura,T P,183099 5 Marcio,Marcio Henrique Maia...,T P,165353
6,Joao Paulo,Joao Paulo de Souza  ...,T P,178285 6 Alex,Alex Ruan Vasconcelo...,T P,370091
7,Joao,Joao Gabriel dos San ...,T P,323439 7 Erivelton,Marcos Erivelton Ara...,T P,313930
8,Bruno,Bruno Leonardo Formigoni,T P,181212 8 Echeverria,Eduardo Alberto Eche...,T P,541203
9,Toledo,Raphael Toledo Mauricio,T P,187548 9 Nando,Luis Fernando Batista,T P,177626
10,Elias,Elias Ribeiro de Oli ...,T P,150547 10 Lucio Flavio,Lucio Flavio dos Santos,T P,130978
11,Thiago,Thiago Jefferson da  ...,T P,177887 11 Jones da S ...,Jones da Silva Lopes,T P,189999
12,Cabecao,Cleilton Camilo da C ...,R P,175246 12 Jonatan,Jonatan Piccoli Silveira,R P,345830
13,Bruno,Bruno Nascimento Furtado,R P,328302 13 Gabriel,Gabriel Francisco Ma...,R P,190331
14,Toninho,José Antonio Horacio ...,R P,329561 14 Cleiton,Cleiton Kelly da Silva,R P,291835
15,Jobson,Jobson de Brito Gonzaga,R P,371018 15 Peu,Zaquel Jose de Oliveira,R P,182304
16,Felipe,Felipe de Souza Macena,R P,348355 16 Luiz,Luiz Felipe da Silva...,R P,407477
17,Pedro,Pedro Ivo Gomes da Silva,R P,300322 17 Glekson,Glekson Marrone Pire...,R P,331630
18,Luiz Eduardo,Luiz Eduardo Azevedo ...,R P,162692 18 Anderson,Anderson Carvalho Tr...,R P,160150
19,Lucio,Lucio Teofilo da Silva,R P,176623 19 Guedes,Felipe Duarte Guedes,R P,189991
20,Mateus,Mateus Leandro da Si ...,R P,347452 20 Victor Rom ...,Victor Luis Romano,R P,296885
21,Brendo,Brendo Wallace Souza ...,R P,434953 21 Leonardo,Leonardo Marcelino d...,R P,432502
22,Reis,Isnairo Reis Silva M ...,R P,370113 22 Luan,Dalberto Luan Belo,R P,389256
"",,Comissão Técnica
"",América / RN,Abc / RN
Técnico:,Sergio Ricardo Carvalho De Figueiredo - 1983697 PE,Técnico: Eugênio Machado Souto - 3823023 SP
Auxiliar Técnico:,Carlos Antonio Severo Dias Junior - 2199 G RN,Auxiliar Técnico: Ridênio Borges De Oliveira - 6447 GO
Médico:,Marcos Cabral Fagundes Rego - 5621 RN,Médico: Roberto Vital - 1182
Preparador Físico:,Herbert Araujo Da Silva - 1424 G RN,Preparador Físico: Ranielle Damasceno Ribeiro - 442 G RN
Massagista:,Renner Augustho Da Silveira Coutinho - 1690721,Massagista: Janilson Ribeiro Dos Santos - 713137 RN
Preparador De GoleiroR:o drigo Gomes Das Neves - 1711720 RN,,Preparador De GoleiroW: lamir Ney Machado - 34642674SP
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
+1,1T,2,NR,Gustavo Henrique Gomes de Sousa,,América/RN
"Ocorrências / Observações- informo que antes do início da partida foram entregues as ambas as equipes a circular n 18 ao qual se trata sobre as alterações na regra dojogo.- expulsei diretamente com o cartão vermelho aos 8 minutos do primeiro tempo, o sr. gustavo nascimento bastos, atleta n 03, da equipe doabc fc devido o mesmo ter impedido uma clara oportunidade de gol ao segurar o seu adversário no 11. o atleta expulso saiu sem reclamar.Motivo de atraso no início e/ou reinício, e de acréscimos:OS ACRÉSCIMOS FORAM DEVIDOS A RETIRADA DE ATLETAS LESIONADOS DO CAMPO DE JOGO E SUBSTITUIÇÕESObservações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu12:001TAbc/RN18 - Anderson Carvalho Trindad ...7 - Marcos Erivelton Araújo d ...34:001TAmérica/RN19 - Lucio Teofilo da Silva11 - Thiago Jefferson da Silva ...17:002TAmérica/RN20 - Mateus Leandro da Silva A ...9 - Raphael Toledo Mauricio25:002TAbc/RN22 - Dalberto Luan Belo6 - Alex Ruan Vasconcelos Fer ...32:002TAmérica/RN16 - Felipe de Souza Macena4 - Richardson Jussier Medeir ...42:002TAbc/RN19 - Felipe Duarte Guedes10 - Lucio Flavio dos Santos"
Observações Eventuais
NADA HOUVE DE ANORMAL
"Ocorrências / Observações- informo que antes do início da partida foram entregues as ambas as equipes a circular n 18 ao qual se trata sobre as alterações na regra dojogo.- expulsei diretamente com o cartão vermelho aos 8 minutos do primeiro tempo, o sr. gustavo nascimento bastos, atleta n 03, da equipe doabc fc devido o mesmo ter impedido uma clara oportunidade de gol ao segurar o seu adversário no 11. o atleta expulso saiu sem reclamar.Motivo de atraso no início e/ou reinício, e de acréscimos:OS ACRÉSCIMOS FORAM DEVIDOS A RETIRADA DE ATLETAS LESIONADOS DO CAMPO DE JOGO E SUBSTITUIÇÕESObservações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu12:001TAbc/RN18 - Anderson Carvalho Trindad ...7 - Marcos Erivelton Araújo d ...34:001TAmérica/RN19 - Lucio Teofilo da Silva11 - Thiago Jefferson da Silva ...17:002TAmérica/RN20 - Mateus Leandro da Silva A ...9 - Raphael Toledo Mauricio25:002TAbc/RN22 - Dalberto Luan Belo6 - Alex Ruan Vasconcelos Fer ...32:002TAmérica/RN16 - Felipe de Souza Macena4 - Richardson Jussier Medeir ...42:002TAbc/RN19 - Felipe Duarte Guedes10 - Lucio Flavio dos Santos",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
12:00,1T,Abc/RN,18 - Anderson Carvalho Trindad ...,7 - Marcos Erivelton Araújo d ...
34:00,1T,América/RN,19 - Lucio Teofilo da Silva,11 - Thiago Jefferson da Silva ...
17:00,2T,América/RN,20 - Mateus Leandro da Silva A ...,9 - Raphael Toledo Mauricio
25:00,2T,Abc/RN,22 - Dalberto Luan Belo,6 - Alex Ruan Vasconcelos Fer ...
32:00,2T,América/RN,16 - Felipe de Souza Macena,4 - Richardson Jussier Medeir ...
42:00,2T,Abc/RN,19 - Felipe Duarte Guedes,10 - Lucio Flavio dos Santos
"Ocorrências / Observações- informo que antes do início da partida foram entregues as ambas as equipes a circular n 18 ao qual se trata sobre as alterações na regra dojogo.- expulsei diretamente com o cartão vermelho aos 8 minutos do primeiro tempo, o sr. gustavo nascimento bastos, atleta n 03, da equipe doabc fc devido o mesmo ter impedido uma clara oportunidade de gol ao segurar o seu adversário no 11. o atleta expulso saiu sem reclamar.Motivo de atraso no início e/ou reinício, e de acréscimos:OS ACRÉSCIMOS FORAM DEVIDOS A RETIRADA DE ATLETAS LESIONADOS DO CAMPO DE JOGO E SUBSTITUIÇÕESObservações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu12:001TAbc/RN18 - Anderson Carvalho Trindad ...7 - Marcos Erivelton Araújo d ...34:001TAmérica/RN19 - Lucio Teofilo da Silva11 - Thiago Jefferson da Silva ...17:002TAmérica/RN20 - Mateus Leandro da Silva A ...9 - Raphael Toledo Mauricio25:002TAbc/RN22 - Dalberto Luan Belo6 - Alex Ruan Vasconcelos Fer ...32:002TAmérica/RN16 - Felipe de Souza Macena4 - Richardson Jussier Medeir ...42:002TAbc/RN19 - Felipe Duarte Guedes10 - Lucio Flavio dos Santos"
Ocorrências / Observações
- informo que antes do início da partida foram entregues as ambas as equipes a circular n 18 ao qual se trata sobre as alterações na regra do
jogo.
""
"- expulsei diretamente com o cartão vermelho aos 8 minutos do primeiro tempo, o sr. gustavo nascimento bastos, atleta n 03, da equipe do"
abc fc devido o mesmo ter impedido uma clara oportunidade de gol ao segurar o seu adversário no 11. o atleta expulso saiu sem reclamar.
"Ocorrências / Observações- informo que antes do início da partida foram entregues as ambas as equipes a circular n 18 ao qual se trata sobre as alterações na regra dojogo.- expulsei diretamente com o cartão vermelho aos 8 minutos do primeiro tempo, o sr. gustavo nascimento bastos, atleta n 03, da equipe doabc fc devido o mesmo ter impedido uma clara oportunidade de gol ao segurar o seu adversário no 11. o atleta expulso saiu sem reclamar.Motivo de atraso no início e/ou reinício, e de acréscimos:OS ACRÉSCIMOS FORAM DEVIDOS A RETIRADA DE ATLETAS LESIONADOS DO CAMPO DE JOGO E SUBSTITUIÇÕESObservações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu12:001TAbc/RN18 - Anderson Carvalho Trindad ...7 - Marcos Erivelton Araújo d ...34:001TAmérica/RN19 - Lucio Teofilo da Silva11 - Thiago Jefferson da Silva ...17:002TAmérica/RN20 - Mateus Leandro da Silva A ...9 - Raphael Toledo Mauricio25:002TAbc/RN22 - Dalberto Luan Belo6 - Alex Ruan Vasconcelos Fer ...32:002TAmérica/RN16 - Felipe de Souza Macena4 - Richardson Jussier Medeir ...42:002TAbc/RN19 - Felipe Duarte Guedes10 - Lucio Flavio dos Santos"
"Motivo de atraso no início e/ou reinício, e de acréscimos:"
OS ACRÉSCIMOS FORAM DEVIDOS A RETIRADA DE ATLETAS LESIONADOS DO CAMPO DE JOGO E SUBSTITUIÇÕES
