"",Arbitragem
Arbitro:,Marcelo Aparecido R de Souza (CBF-1 / SP)
Arbitro Assistente 1:,Helcio Araujo Neves (CBF-1 / PA)
Arbitro Assistente 2:,Dimmi Yuri das Chagas Cardoso (CBF-2 / PA)
Quarto Arbitro:,Wasley do Couto Leao (CBF-2 / PA)
Assessor:,Paulo C da Rocha Romano (ASS / PA)
Delegado Local:,Juarez Scotta (000 / )
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,16:50Atraso:,,Não Houve Entrada do mandante: 18:03,Atraso:,,1 min
Entrada do visitante:,16:50Atraso:,,Não Houve Entrada do visitante: 18:00,Atraso:,,Não Houve
Início 1o Tempo:,17:00 Atraso:,,Não Houve Início do 2o Tempo: 18:04,Atraso:,,2 min
Término do 1o Tempo:,17:47 Acréscimo:,,2 min Término do 2o Tempo: 18:52,Acréscimo:,,3 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 2 X 0,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,16:50,Atraso:,Não Houve Entrada do mandante:,18:03,Atraso:,1 min
Início 1o Tempo:,17:00,Atraso:,Não Houve,Início do 2o Tempo:,18:04,Atraso:,2 min
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Emerson,Emerson Jose da Conc ...,T P,145650,1,Alencar,Alencar Bau,T P,159391
"",,Comissão Técnica,
"",Paysandu / PA,,Independente / PA
Técnico:,Luiz Eduardo Barros Cavalcanti - 6022178 PE,Técnico:,Ricardo Mendes Nascimento - 25265947 SP
Auxiliar Técnico:,Rogerio Suares Gameleira - 2789899 PA,Auxiliar Técnico:,Isaac Simao Melul  - 2746497 PA
Médico:,Wilson Alves Fiel - 3930 PA,Médico:,Fabio Carvalho De Oliveira - 9643 PA
Preparador Físico:,Frederico Petean Pozzebom - 185100764 SP,Preparador Físico:,Edmilson Soeiro Da Vitoria - 001972 G PA
Massagista:,Alan Francisco Figueiredo Souza - 501663 PA,Massagista:,Waldemir Oliveira Dos Santos - 4528869 PA
Preparador De GoleiroM:a rcos Muniz Gomes - 1046150965 RS,,,
"",,Gols,
Tempo 1T/2T,No Tipo Nome do Jogador,,Equipe
09:00 2T,20 PN Celso Luis Honorato Junior,,Paysandu/PA
31:00 2T,16 NR Raphael Luz Pessoa,,Paysandu/PA
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Houveram 2 minutos de atraso no reinicio do jogo, devido a entrada com atraso pela equipe do Paysandu Sport Club.Acresci 2 minutos no primeiro tempo devidoparalisações e retiradas de jogadores para atendimento médico, e 3 minutos no segundo tempo devido a paralisações, substituições e gols.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu27:001TIndependente/PA17 - Jayme Juan Alves da Silva ...7 - Joao Daniel Tavares Nasci ...13:002TIndependente/PA18 - Heliton Antonio Oliveira  ...5 - EDUARDO HENRIQUE SOUZA SA ...18:002TPaysandu/PA16 - Raphael Luz Pessoa6 - Raimundo Jose Cutrim Mart ...35:002TPaysandu/PA21 - Bruno Smith Nogueira Cama ...20 - Celso Luis Honorato Junio ...40:002TIndependente/PA19 - Leandro Jose Lima da Silv ...10 - Carlos Alexandre Santana  ...42:002TPaysandu/PA22 - Ilailson Aguiar da Silva5 - Ricardo da Silva Guerra"
Observações Eventuais
NADA HOUVE DE ANORMAL
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:Houveram 2 minutos de atraso no reinicio do jogo, devido a entrada com atraso pela equipe do Paysandu Sport Club.Acresci 2 minutos no primeiro tempo devidoparalisações e retiradas de jogadores para atendimento médico, e 3 minutos no segundo tempo devido a paralisações, substituições e gols.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu27:001TIndependente/PA17 - Jayme Juan Alves da Silva ...7 - Joao Daniel Tavares Nasci ...13:002TIndependente/PA18 - Heliton Antonio Oliveira  ...5 - EDUARDO HENRIQUE SOUZA SA ...18:002TPaysandu/PA16 - Raphael Luz Pessoa6 - Raimundo Jose Cutrim Mart ...35:002TPaysandu/PA21 - Bruno Smith Nogueira Cama ...20 - Celso Luis Honorato Junio ...40:002TIndependente/PA19 - Leandro Jose Lima da Silv ...10 - Carlos Alexandre Santana  ...42:002TPaysandu/PA22 - Ilailson Aguiar da Silva5 - Ricardo da Silva Guerra",,,,
Ocorrências / Observações,,,,
Nada houve de anormal,,,,
"Motivo de atraso no início e/ou reinício, e de acréscimos:",,,,
"Houveram 2 minutos de atraso no reinicio do jogo, devido a entrada com atraso pela equipe do Paysandu Sport Club.Acresci 2 minutos no primeiro tempo devido",,,,
"paralisações e retiradas de jogadores para atendimento médico, e 3 minutos no segundo tempo devido a paralisações, substituições e gols.",,,,
Observações Eventuais,,,,
NADA HOUVE DE ANORMAL,,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
27:00,1T,Independente/PA,17 - Jayme Juan Alves da Silva ...,7 - Joao Daniel Tavares Nasci ...
13:00,2T,Independente/PA,18 - Heliton Antonio Oliveira  ...,5 - EDUARDO HENRIQUE SOUZA SA ...
18:00,2T,Paysandu/PA,16 - Raphael Luz Pessoa,6 - Raimundo Jose Cutrim Mart ...
35:00,2T,Paysandu/PA,21 - Bruno Smith Nogueira Cama ...,20 - Celso Luis Honorato Junio ...
40:00,2T,Independente/PA,19 - Leandro Jose Lima da Silv ...,10 - Carlos Alexandre Santana  ...
