"",,Arbitragem
Arbitro:,Diego Almeida Real (CBF-1 / RS),
Arbitro Assistente 1:,Alexandre A Pruinelli Kleiniche (CBF-1 / RS),
Arbitro Assistente 2:,Jorge Eduardo Bernardi (CBF-1 / RS),
Quarto Arbitro:,Edson da Silva (CBF-2 / SC),
Assessor:,Claudemir Maffessoni (000 / SC),
Delegado Local:,Delfim Mario Padua Peixoto Neto (000 / ),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,21:20Atraso:,,Não Houve Entrada do mandante: 22:28,Atraso:,,Não Houve
Entrada do visitante:,21:20Atraso:,,Não Houve Entrada do visitante: 22:33,Atraso:,,2 min
Início 1o Tempo:,21:30 Atraso:,,Não Houve Início do 2o Tempo: 22:33,Atraso:,,2 min
Término do 1o Tempo:,22:16 Acréscimo:,,1 min Término do 2o Tempo: 23:24,Acréscimo:,,6 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 2 X 0,,,
"",,,,Relação de Jogadores,,
"",,Chapecoense / SC,,,Princesa do Solimões / AM,
No,Apelido,Nome Completo,T/R P/A,CBF No Apelido,Nome Completo T/R P/A,CBF
12,Marcelo Bo ...,Marcelo Boeck,T P,154969 1 Raice,Rascifran de Sena Souza T P,166597
3,Rafael,Rafael Ramos de Lima,T P,160686 2 Emerson Ta ...,Emerson Alves Tavares T P,292109
5,Josimar,Josimar Rosado da Si ...,T P,168939 3 Pastor,Alessandro de Souza ... T P,177424
13,Marcelo,Marcelo Augusto Math ...,T P,330386 4 Hitalo,Hitalo Rogerio Coelh... T P,291704
15,Diego Alaniz,Diego Martin Alaniz  ...,T P,541373 5 Amaral,Cleyton da Silva Reis T P,292110
24,Joao,Joao Lucas Cardoso,T P,303237 6 Guilherme,Guilherme Roberto Sa... T P,292358
26,Silvinho,Silvio Jose Cardoso  ...,T P,185301 7 Denis,Denis dos Santos T P,141589
28,Moises,Moises Ribeiro Santos,T P,328812 8 Michell,Michell Carvalho Machado T P,166724
30,Odair,Odair Souza,T P,146284 9 Alessandro ...,Alessandro Liborio V... T P,156228
33,Kempes,Everton Kempes dos S ...,T P,165524 10 Lacraia,Dionizio Vidal da Si... T P,291996
41,Claudio,Claudio Winck Neto,T P,330720 11 Edinho,Raimundo Edinho de S... T P,341995
7,Lourency,Lourency do Nascimen ...,R P,413816 12 Caio,Caio Henrique Vieira... R P,299172
16,Michel,Michel Carlos Gilioli,R P,357009 13 Samir,Samir Paes Pimentel R P,144804
17,Andrei,Andrei Alba,R P,359808 14 Kito,Walminey Paz de Oliveira R P,178856
18,Brondani,Igor Brondani da Luz,R P,360036 15 Vanderson,Jose Vanderson Santo... R P,158151
19,Lucas,Lucas Luiz Scalon,R P,412529 16 Weverton,Weverton Nunes Coelho R P,393357
20,Wesley Nat ...,Wesley Nata Wachholz,R P,292672 17 Branco,Josinaldo Lima dos S... R P,163722
25,Nilson,Francinilson Santos  ...,R P,303766 18 Randerson,Randerson Paiva dos ... R P,400404
29,Pedro,Pedro Henrique Perotti,R P,419436 19 Marinelson,Marinelson Saldanha ... R P,164841
31,Lucas,Lucas da Silva Izidoro,R P,389361 20 Wander,Marcos Wanderley Fer... R P,328313
36,Nivaldo,Jose Nivaldo Martins ...,R P,122714,,
55,Rodrigo,Rodrigo Andrade da Silva,R P,184095,,
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
06:00,2T,33,NR,Everton Kempes dos Santos Goncalves,,Chapecoense/SC
+4,2T,55,PN,Rodrigo Andrade da Silva,,Chapecoense/SC
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
17:00,2T,Princesa do Solimões/AM,18 - Randerson Paiva dos Santo ...,5 - Cleyton da Silva Reis
17:00,2T,Princesa do Solimões/AM,16 - Weverton Nunes Coelho,11 - Raimundo Edinho de Souza  ...
19:00,2T,Chapecoense/SC,25 - Francinilson Santos Meire ...,15 - Diego Martin Alaniz Avila ...
29:00,2T,Chapecoense/SC,55 - Rodrigo Andrade da Silva,30 - Odair Souza
29:00,2T,Chapecoense/SC,18 - Igor Brondani da Luz,26 - Silvio Jose Cardoso Reis  ...
34:00,2T,Princesa do Solimões/AM,17 - Josinaldo Lima dos Santos ...,2 - Emerson Alves Tavares
